year,doy,hod,A,E,gs,gb,Pleaf,Tleaf
[-],[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[MPa],[deg C]
2000,75,9,7.34,5.06,0.3,2.84,-1.25,35.67
2000,75,9,4.53,6.35,0.54,2.84,-1.9,36.61
2000,75,9,7.79,2.68,0.12,2.84,-1.4,35.75
2000,75,9,3.74,1.8,0.15,2.84,-1.3,30.89
2000,75,9,11.42,4.38,0.32,2.84,-0.85,34.62
2000,75,9,7.84,4.87,0.38,2.84,-1.35,34.15
2000,75,9,5.08,7.46,0.56,2.84,-1.85,37.98
2000,75,9,6.68,7.25,0.5,2.84,-1.8,38.2
2000,75,9,7.2,5.58,0.29,2.84,-1.0,36.98
2000,75,9,9.76,3.98,0.58,2.84,-0.9,31.76
2000,75,9,12.28,3.92,0.54,2.84,-0.9,31.87
2000,75,11,1.15,1.79,0.03,2.84,-1.9,43.86
2000,75,11,4.93,6.77,0.28,2.84,-1.1,40.6
2000,75,11,4.98,3.51,0.14,2.84,-2.85,36.94
2000,75,11,8.38,4.69,0.22,2.84,-1.7,36.41
2000,75,11,10.03,5.21,0.31,2.84,-1.8,36.99
2000,75,11,6.55,6.29,0.4,2.84,-2.25,37.66
2000,75,11,6.03,4.49,0.43,2.84,-1.9,34.02
2000,75,11,7.55,5.24,0.38,2.84,-1.5,34.74
2000,75,11,6.1,6.62,0.43,2.84,-1.95,37.81
2000,75,13,0.98,1.35,0.02,2.84,-1.9,43.79
2000,75,13,1.95,2.75,0.06,2.84,-1.65,42.02
2000,75,13,3.8,1.1,0.04,2.84,-1.85,35.15
2000,75,13,5.91,4.19,0.24,2.84,-1.7,35.38
2000,75,13,7.43,5.22,0.29,2.84,-1.65,37.7
2000,75,13,8.61,6.66,0.67,2.84,-1.15,36.34
2000,75,13,6.12,4.45,0.18,2.84,-1.75,37.92
2000,75,13,5.69,2.66,0.15,2.84,-1.65,34.03
2000,75,13,5.53,6.09,0.32,2.84,-1.5,38.89
2000,75,15,4.38,2.65,0.11,2.84,-1.55,36.22
2000,75,15,1.51,1.48,0.03,2.84,-2.25,42.09
2000,75,15,5.18,5.36,0.21,2.84,-2.15,38.72
2000,75,15,6.56,2.44,0.05,2.84,-1.5,39.95
2000,75,15,10.48,5.67,0.34,2.84,-1.2,36.56
2000,75,15,5.34,2.28,0.05,2.84,-1.35,39.3
2000,75,15,1.77,1.47,0.03,2.84,-2.3,42.47
2000,75,15,6.31,2.47,0.05,2.84,-1.2,38.69
2000,75,15,8.35,5.19,0.71,2.84,-1.5,33.04
2000,75,17,7.81,3.63,0.24,2.84,-1.2,34.27
2000,75,17,1.28,1.45,0.04,2.84,-1.55,39.15
2000,75,17,4.53,6.08,0.22,2.84,-1.0,40.23
2000,75,17,3.42,2.08,0.15,2.84,-1.2,32.18
2000,75,17,2.26,0.87,0.03,2.84,-1.1,37.45
2000,75,17,5.41,3.12,0.26,2.84,-1.0,32.6
2000,75,17,6.11,5.94,0.31,2.84,-1.1,38.14
2000,75,17,1.44,1.11,0.02,2.84,-1.55,40.62
2000,75,17,3.44,2.78,0.09,2.84,-1.85,38.06
2000,75,17,2.09,0.97,0.05,2.84,-1.15,32.98
2000,75,17,4.77,4.9,0.15,2.84,-1.1,40.8
2000,228,9,1.13,0.46,0.02,2.84,-2.85,30.03
2000,228,9,2.66,0.78,0.04,2.84,-3.9,30.44
2000,228,9,1.81,1.51,0.05,2.84,-1.55,33.96
2000,228,9,2.95,0.61,0.02,2.84,-2.25,34.52
2000,228,9,4.72,1.62,0.05,2.84,-5.05,34.88
2000,228,9,0.72,0.7,0.02,2.84,-4.95,35.67
2000,228,9,2.78,0.75,0.02,2.84,-3.8,34.77
2000,228,9,1.12,0.35,0.02,2.84,-3.7,28.95
2000,228,9,1.52,0.92,0.03,2.84,-4.1,35.71
2000,228,9,1.45,0.49,0.02,2.84,-2.3,32.53
2000,228,9,1.0,0.34,0.02,2.84,-3.0,29.2
2000,228,9,2.87,0.52,0.03,2.84,-3.2,29.27
2000,228,11,7.3,2.57,0.09,2.84,-2.8,34.71
2000,228,11,4.0,1.38,0.04,2.84,-2.7,36.0
2000,228,11,0.43,0.82,0.02,2.84,-5.4,38.56
2000,228,11,3.24,0.75,0.02,2.84,-4.35,35.25
2000,228,11,2.23,0.69,0.02,2.84,-3.25,33.09
2000,228,11,3.24,0.75,0.02,2.84,-3.2,35.25
2000,228,11,2.23,0.69,0.02,2.84,-4.25,33.09
2000,228,11,1.51,0.9,0.02,2.84,-5.25,37.53
2000,228,11,1.65,1.32,0.03,2.84,-5.15,37.08
2000,228,11,2.45,0.87,0.02,2.84,-2.75,35.64
2000,228,13,0.93,0.79,0.02,2.84,-4.35,35.72
2000,228,13,1.23,0.67,0.01,2.84,-4.2,38.14
2000,228,13,1.65,1.5,0.03,2.84,-3.4,39.05
2000,228,13,0.64,0.57,0.01,2.84,-5.3,38.68
2000,228,13,3.9,2.05,0.05,2.84,-2.85,38.01
2000,228,13,1.12,0.77,0.02,2.84,-4.25,36.51
2000,228,13,2.81,0.68,0.01,2.84,-3.4,39.71
2000,228,13,2.14,1.29,0.04,2.84,-1.75,36.01
2000,228,13,0.88,0.71,0.02,2.84,-5.45,37.44
2000,228,13,1.49,0.66,0.02,2.84,-5.35,36.5
2000,228,13,1.72,1.29,0.05,2.84,-2.0,33.07
2000,228,15,1.57,0.94,0.02,2.84,-4.4,36.29
2000,228,15,1.5,0.65,0.03,2.84,-2.25,30.71
2000,228,15,1.25,0.71,0.02,2.84,-4.35,36.93
2000,228,15,0.7,0.48,0.02,2.84,-5.35,33.11
2000,228,15,2.98,1.35,0.04,2.84,-2.2,34.59
2000,228,15,0.74,0.42,0.01,2.84,-5.4,35.18
2000,228,15,1.08,0.55,0.01,2.84,-3.2,37.85
2000,228,15,1.38,0.95,0.03,2.84,-2.3,35.58
2000,228,15,0.53,0.55,0.02,2.84,-5.4,34.15
2000,228,15,1.61,1.22,0.03,2.84,-3.25,37.08
2000,228,17,2.79,0.68,0.03,2.84,-2.5,29.98
2000,228,17,0.76,0.47,0.02,2.84,-5.3,30.81
2000,228,17,0.25,0.31,0.01,2.84,-5.3,31.19
2000,228,17,0.75,0.29,0.01,2.84,-4.3,32.28
2000,228,17,0.9,0.39,0.01,2.84,-4.25,34.06
2000,228,17,0.69,0.38,0.02,2.84,-5.3,30.96
2000,228,17,3.61,0.94,0.05,2.84,-2.55,28.99
2000,228,17,0.84,0.37,0.01,2.84,-4.3,32.73
2000,228,17,2.27,0.47,0.02,2.84,-3.1,32.36
2000,228,17,1.82,0.67,0.03,2.84,-3.1,31.67
2001,135,9,8.78,3.64,0.21,2.84,-2.65,34.21
2001,135,9,11.53,5.85,0.44,2.84,-1.85,35.09
2001,135,9,7.96,3.36,0.17,2.84,-2.9,34.99
2001,135,9,6.9,3.08,0.16,2.84,-2.7,34.27
2001,135,9,12.31,5.91,0.34,2.84,-2.0,36.43
2001,135,9,9.27,4.45,0.26,2.84,-1.7,35.27
2001,135,9,5.08,2.07,0.11,2.84,-2.7,33.13
2001,135,9,11.09,6.12,0.46,2.84,-1.85,35.45
2001,135,9,4.24,3.65,0.15,2.84,-2.3,36.86
