year,doy,hod,Ps,PPFD,Tair,Tleaf,VPD,Patm,u,CO2,gb,O2,Vmax25,gamstar25,Tref,JV,Rlref,TRlref,Kc25,Ko25,alpha,c1,c2,c3,c4,eps_l,albedo_l,tau_l,chi_l,kn,Ev,Ej,Egamstar,Ec,Eo,deltaSv,deltaSj,Hdv,Hdj,height,LAI,max_leaf_width,g1,g1T,Kappa,Lambda,Eta,P50,P88,kmax,kmax2,kmaxT,kmaxWUE,kmaxCN,kmaxCM,kmaxLC,kmaxS1,kmaxS2,ksc_prev,krlC,krlM,ratiocrit,ksrmaxC,ksrmaxM,sref,srefT,PrefT,PcritC,PcritM,Alpha,Beta,ground_area,Ztop,Zbottom,Psie,hyds,theta_sat,fc,pwp,bch
[-],[-],[h],[MPa],[umol m-2 s-1],[deg C],[deg C],[kPa],[kPa],[m s-1],[Pa],[mol m-2 s-1],[kPa],[umol m-2 s-1],[Pa],[deg C],[-],[umol m-2 s-1],[deg C],[Pa],[Pa],[mol(photon) mol(e-)-1],[-],[-],[-],[-],[-],[-],[-],[-],[-],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1 K-1],[J mol-1 K-1],[J mol-1],[J mol-1],[m],[m2 m-2],[m],[kPa0.5],[-],[umol m-2 s-1],[mol mol-1],[mol mol-1],[-MPa],[-MPa],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[-],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[MPa-1],[MPa-1],[MPa],[MPa],[MPa],[mol m-2 s-1 MPa-2],[mol m-2 s-1 MPa-1],[m2],[m],[m],[MPa],[m s-1],[m3 m-3],[m3 m-3],[m3 m-3],[-]
2010,124,7.86666666666667,-0.8,2000,13.52,16.23,1.45,81.2,0.0,38.70615,5.0,20.8,17.4012854,4.22,25.0,2.077106306,0.525,25.0,39.96,27.48,0.3,0.7,0.99,0.83,0.93,0.97,0.05,0.05,0.00999999978,0.001,60000.0,30000.0,37830.0,79430.0,36380.0,650.0,650.0,200000.0,200000.0,3.5,1.0,0.001,2.4942,3.5,5.0,5.0,5.0,4.36,5.43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.8,0.5599999999999999,1.0,1.0,0.05,10000000.0,10000000.0,2.0,1.0174411688366796,-1.6000000000000616,-4.36,-4.36,5.0,1.0,1.0,0.02,1.0,-0.001332331,9.305051e-06,0.4079013,0.213388,0.1027524,6.4566625
2010,124,8.05,-1.05,2000,13.61,16.78,1.31,81.2,0.0,36.477,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,124,8.38333333333333,-1.2,2000,14.37,15.5,1.21,81.2,0.0,36.67965,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,124,9.41666666666667,-0.8,2000,15.74,19.37,1.79,81.1,0.0,38.604825,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,124,9.56666666666667,-1.05,2000,15.74,20.59,1.74,81.1,0.0,36.67965,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,124,9.96666666666667,-1.2,2000,17.07,18.6,1.51,81.1,0.0,37.08495,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,124,11.3833333333333,-1.05,2000,20.22,25.89,2.64,81.0,0.0,37.490249999999996,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,124,11.666666666666698,-1.2,2000,20.68,24.23,2.43,81.0,0.0,37.89555,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,124,12.766666666666698,-1.05,2000,22.05,28.41,3.29,80.9,0.0,38.402175,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,124,13.1333333333333,-1.2,2000,22.79,27.45,3.1,80.9,0.0,38.0982,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,124,14.433333333333302,-1.05,2000,23.4,30.87,3.91,80.8,0.0,38.9088,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,124,14.783333333333301,-1.2,2000,23.52,29.62,3.69,80.8,0.0,39.11145,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,124,16.1833333333333,-1.05,2000,23.93,30.63,3.85,80.8,0.0,38.807475,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,124,16.5,-1.2,2000,23.99,30.67,3.91,80.8,0.0,39.212775,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,124,17.6166666666667,-1.05,2000,23.58,29.35,3.69,80.8,0.0,38.9088,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,124,17.9166666666667,-1.2,2000,23.24,27.9,3.28,80.8,0.0,38.9088,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,152,7.5333333333333306,-1.5,2000,20.41,23.37,2.11,81.2,0.0,37.591575,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
