year,doy,hod,Ps,PPFD,Tair,VPD,Patm,u,CO2,gb,O2,Vmax25,gamstar25,Tref,JV,Rlref,TRlref,Kc25,Ko25,alpha,c1,c2,c3,c4,eps_l,albedo_l,tau_l,chi_l,kn,Ev,Ej,Egamstar,Ec,Eo,deltaSv,deltaSj,Hdv,Hdj,height,LAI,max_leaf_width,g1,g1T,Kappa,Lambda,Eta,P50,P88,kmax,kmax2,kmaxT,kmaxWUE,kmaxCN,kmaxCM,kmaxLC,kmaxS1,kmaxS2,krlC,krlM,ratiocrit,sref,srefT,PrefT,PcritC,PcritM,Alpha,Beta,ground_area,Ztop,Zbottom,Psie,hyds,theta_sat,fc,pwp,bch
[-],[-],[h],[MPa],[umol m-2 s-1],[deg C],[kPa],[kPa],[m s-1],[Pa],[mol m-2 s-1],[kPa],[umol m-2 s-1],[Pa],[deg C],[-],[umol m-2 s-1],[deg C],[Pa],[Pa],[mol(photon) mol(e-)-1],[-],[-],[-],[-],[-],[-],[-],[-],[-],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1 K-1],[J mol-1 K-1],[J mol-1],[J mol-1],[m],[m2 m-2],[m],[kPa0.5],[-],[umol m-2 s-1],[mol mol-1],[mol mol-1],[-MPa],[-MPa],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[-],[MPa-1],[MPa-1],[MPa],[MPa],[MPa],[mol m-2 s-1 MPa-2],[mol m-2 s-1 MPa-1],[m2],[m],[m],[MPa],[m s-1],[m3 m-3],[m3 m-3],[m3 m-3],[-]
2016,70,7.316666667000001,-0.9,100.70837399999999,27.65521812,0.9953729659999999,99.6103363,0,40.44729869,2.840000033,20.8,50.76112968,4.22,25.0,1.6529225440000002,0.525,25.0,39.96,27.48,0.3,0.7,0.99,0.83,0.93,0.97,0.2,0.05,0.01,0.001,60000.0,30000.0,37830.0,79430.0,36380.0,650.0,650.0,200000.0,200000.0,26.6,1.0,0.001,3.80069741,7.04800934,7.73212439,1.01467157,7.52507543,3.28,4.34,1.1637018999999997,3.76133098,7.1987273,1.2209069,1.2209069,1.1637018999999997,0.62686097,0.40242876,1.11427301,2.33022479,2.19702601,0.05,0.01007696,0.6771742159999999,-0.7,-3.120133,-3.85212398,4.41673001,2.6452421000000004,1.0,0.02,1.0,-0.0015621460000000002,9.31e-06,0.40790129999999997,0.21338800000000002,0.1027524,9.513247292
2016,70,7.416666667,-0.9,100.29135129999999,27.646413800000005,0.946580028,99.61581421,0,40.30200543,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,70,9.666666667000001,-0.9,1749.355591,29.57773209,1.156546527,99.74089813,0,40.5023534,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,70,9.833333332999999,-0.9,1751.37085,29.66961098,1.207092168,99.74143982,0,39.59211613,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,70,11.63333333,-0.9,2000.203857,30.24138451,1.343178491,99.67836761,0,39.68893089,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,70,12.01666667,-0.9,1999.7325440000002,30.26523209,1.139640704,99.67427826,0,39.73459986,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,70,14.03333333,-0.9,1999.2763670000002,30.07463837,1.4963136559999999,99.50365448,0,39.86145308,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,70,14.35,-0.9,1998.987671,29.98759842,1.436603554,99.50524902,0,39.77251041,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,70,15.83333333,-0.9,1769.5576170000002,29.72399712,1.433305052,99.37850952,0,39.90760774,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,70,16.41666667,-0.9,1769.1159670000002,29.81724548,1.447639946,99.37373352,0,39.93066975,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,70,17.56666667,-0.9,214.51074219999998,28.33411598,1.131708306,99.34606171,0,39.54745155,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,70,18.13333333,-0.9,214.70103450000002,28.320158000000003,1.121359682,99.36274719,0,39.53994791,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,112,7.3,-1.0,99.8293457,27.14332771,0.982979499,99.23803711,0,39.12847261,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,112,8.583333332999999,-1.0,551.1224976,28.46425819,0.781480581,99.37321472,0,39.476710100000005,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,112,9.35,-1.0,548.4920654,28.49384689,0.76190254,99.38222504,0,39.3834064,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,112,10.36666667,-1.0,1499.709106,28.879152299999998,0.666368174,99.42462158,0,39.09548886,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,112,11.08333333,-1.0,1499.12146,28.83768082,0.683805152,99.42224884,0,39.18970304,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,112,12.23333333,-1.0,660.8161011,29.50737,0.8621345090000001,99.36999512,0,40.08426333,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,112,12.25,-1.0,659.0723267000001,29.53666306,0.8116403170000001,99.36388397,0,39.901758799999996,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,112,13.18333333,-1.0,400.79974369999996,29.59067535,0.894023912,99.22322083,0,39.74196132,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,112,13.61666667,-1.0,400.08312989999996,29.61370659,0.8153150109999999,99.22854614,0,39.4865446,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,112,15.06666667,-1.0,365.33993530000004,29.76800346,0.959100035,99.08766174,0,39.42708283,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,112,16.2,-1.0,300.3681335,29.28905296,0.9853302620000001,99.00777435,0,39.78854384,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,112,16.4,-1.0,300.048584,29.29323006,0.926542913,99.00800323,0,39.67775945,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,145,7.6333333329999995,-0.55,104.9614868,26.94794464,0.6314894679999999,99.51176453,0,39.0818364,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,145,10.26666667,-0.55,1898.4827879999998,29.18091774,0.722471924,99.68688202,0,38.24290037,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,145,10.28333333,-0.55,1898.9550780000002,28.71753502,0.7184423059999999,99.68121338,0,38.94086392,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,145,12.46666667,-0.55,350.6584778,29.00823975,0.5886265820000001,99.64348602,0,39.76958905,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,145,12.6,-0.55,351.30282589999996,29.00087738,0.59351141,99.64022064,0,39.62085062,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,145,14.73333333,-0.55,1599.9803470000002,30.34132576,0.500736728,99.56609344,0,39.54077133,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,145,16.73333333,-0.55,220.82693480000003,30.22519302,0.7929489559999999,99.48155975,0,39.97592763,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,145,17.18333333,-0.55,218.7961121,30.17938423,0.728692021,99.4883728,0,39.90727353,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
