Model,training,sub-sample,solver,Rank,BIC,Ntotal,p1,v1,p2,v2
CAP,wet,0.0,differential_evolution,1,1976.01453,892080.0,krlC,1.7893738,PcritC,-3.24892654
CAP,wet,0.0,basinhopping,2,1980.59695,20471230.0,krlC,1.781686,PcritC,-3.32087559
CAP,wet,0.0,Nelder-Mead,6,2014.26986,144550.0,krlC,1.77591034,PcritC,-3.21244392
CAP,wet,0.0,Powell,7,2027.51924,94990.0,krlC,1.87073543,PcritC,-3.14210744
CAP,wet,0.0,COBYLA,5,2011.45922,20060.0,krlC,2.35801295,PcritC,-2.47689008
CAP,wet,0.0,dual_annealing,4,1992.94788,3351790.0,krlC,2.64472179,PcritC,-2.20050282
CAP,wet,0.0,ampgo,3,1988.34803,16414980.0,krlC,1.38884403,PcritC,-4.20951691
CGainNet,wet,0.0,differential_evolution,2,1947.7572,89680.0,beta,7.54020109,,
CGainNet,wet,0.0,basinhopping,6,1991.91225,178770.0,beta,7.22013812,,
CGainNet,wet,0.0,Nelder-Mead,1,1946.04482,21240.0,beta,7.00314433,,
CGainNet,wet,0.0,Powell,3,1953.80342,54870.0,beta,6.85842872,,
CGainNet,wet,0.0,COBYLA,5,1986.5522,12390.0,beta,8.64010194,,
CGainNet,wet,0.0,dual_annealing,4,1972.95455,1186490.0,beta,6.97884025,,
CGainNet,wet,0.0,ampgo,7,2000.81831,2559420.0,beta,5.68289925,,
CMax,wet,0.0,differential_evolution,2,3443.06721,214170.0,Alpha,11.6812531,Beta,7.98873056
CMax,wet,0.0,basinhopping,5,3445.99355,238360.0,Alpha,11.5543722,Beta,7.42310003
CMax,wet,0.0,Nelder-Mead,4,3444.72355,34220.0,Alpha,9.2965137,Beta,4.96855652
CMax,wet,0.0,Powell,3,3443.51423,73750.0,Alpha,9.34576485,Beta,5.01111993
CMax,wet,0.0,COBYLA,6,3446.68759,18290.0,Alpha,9.85336551,Beta,4.85968239
CMax,wet,0.0,dual_annealing,1,3442.5651,2387140.0,Alpha,10.462011,Beta,6.47673374
CMax,wet,0.0,ampgo,7,3821.77018,3152370.0,Alpha,9.09752274,Beta,0.99834736
LeastCost,wet,0.0,differential_evolution,1,2097.05981,483210.0,kmaxLC,0.451696,BoA,89.9065679
LeastCost,wet,0.0,basinhopping,6,2101.39899,18974990.0,kmaxLC,0.45210598,BoA,86.4035782
LeastCost,wet,0.0,Nelder-Mead,3,2097.31506,84960.0,kmaxLC,0.44834707,BoA,89.2247495
LeastCost,wet,0.0,Powell,4,2099.67329,136880.0,kmaxLC,0.45111046,BoA,90.5602052
LeastCost,wet,0.0,COBYLA,7,2146.54015,20060.0,kmaxLC,0.44431251,BoA,104.333088
LeastCost,wet,0.0,dual_annealing,2,2097.17267,3234970.0,kmaxLC,0.44985909,BoA,89.6850801
LeastCost,wet,0.0,ampgo,5,2099.91824,13797150.0,kmaxLC,0.45031501,BoA,86.9524702
MES,wet,0.0,differential_evolution,3,2128.27503,846060.0,krlM,1.76346219,PcritM,-2.20063202
MES,wet,0.0,basinhopping,1,2114.84772,20189210.0,krlM,1.19880618,PcritM,-3.26796802
MES,wet,0.0,Nelder-Mead,6,2263.94112,96760.0,krlM,1.24914025,PcritM,-3.16998447
MES,wet,0.0,Powell,2,2126.16986,110920.0,krlM,1.20664305,PcritM,-3.24833642
MES,wet,0.0,COBYLA,7,2351.96408,18290.0,krlM,1.3004309,PcritM,-2.99953897
MES,wet,0.0,dual_annealing,4,2144.17294,3604900.0,krlM,2.13052652,PcritM,-1.88307098
MES,wet,0.0,ampgo,5,2156.13001,13365270.0,krlM,1.17437077,PcritM,-3.26775149
ProfitMax,wet,0.0,differential_evolution,4,2249.6413,237180.0,kmax,0.90186451,,
ProfitMax,wet,0.0,basinhopping,2,2237.0908,13532830.0,kmax,0.92040945,,
ProfitMax,wet,0.0,Nelder-Mead,3,2244.0329,40710.0,kmax,0.89465679,,
ProfitMax,wet,0.0,Powell,5,2253.71139,75520.0,kmax,0.89742068,,
ProfitMax,wet,0.0,COBYLA,7,2294.27164,11210.0,kmax,0.93319789,,
ProfitMax,wet,0.0,dual_annealing,6,2254.56764,1446090.0,kmax,0.89959183,,
ProfitMax,wet,0.0,ampgo,1,2231.63198,5356020.0,kmax,0.84433102,,
SOX-OPT,wet,0.0,differential_evolution,3,2291.1072,196470.0,kmaxS2,0.56577226,ksc_prev,0.45301015
SOX-OPT,wet,0.0,basinhopping,5,2294.75337,238360.0,kmaxS2,0.56454627,ksc_prev,0.49050217
SOX-OPT,wet,0.0,Nelder-Mead,1,2290.45098,45430.0,kmaxS2,0.5657995,ksc_prev,0.39638034
SOX-OPT,wet,0.0,Powell,4,2292.27079,51920.0,kmaxS2,0.56517393,ksc_prev,0.41109059
SOX-OPT,wet,0.0,COBYLA,6,2296.02012,21830.0,kmaxS2,0.56413372,ksc_prev,0.33829958
SOX-OPT,wet,0.0,dual_annealing,2,2290.71915,2420770.0,kmaxS2,0.56582956,ksc_prev,0.40375035
SOX-OPT,wet,0.0,ampgo,7,2622.9449,2970060.0,kmaxS2,0.63063034,ksc_prev,0.60599463
SOX,wet,0.0,differential_evolution,3,2321.89807,96170.0,kmaxS1,0.30609815,,
SOX,wet,0.0,basinhopping,3,2321.89807,15376580.0,kmaxS1,0.30609816,,
SOX,wet,0.0,Nelder-Mead,3,2321.89807,17700.0,kmaxS1,0.30609424,,
SOX,wet,0.0,Powell,3,2321.89807,17700.0,kmaxS1,0.33030212,,
SOX,wet,0.0,COBYLA,6,2321.89925,12390.0,kmaxS1,0.30601577,,
SOX,wet,0.0,dual_annealing,3,2321.89807,1199470.0,kmaxS1,0.31223678,,
SOX,wet,0.0,ampgo,7,2556.42339,2796600.0,kmaxS1,0.30902483,,
Tuzet,wet,0.0,differential_evolution,5,1895.4469,596490.0,g1T,3.11309277,PrefT,-2.97332534
Tuzet,wet,0.0,basinhopping,4,1895.205,15247370.0,g1T,3.10981874,PrefT,-2.96654346
Tuzet,wet,0.0,Nelder-Mead,2,1894.26246,97940.0,g1T,3.10999504,PrefT,-2.9731211
Tuzet,wet,0.0,Powell,1,1894.23088,158710.0,g1T,3.10999503,PrefT,-2.97364499
Tuzet,wet,0.0,COBYLA,6,1902.93575,57820.0,g1T,3.1118937,PrefT,-2.99383466
Tuzet,wet,0.0,dual_annealing,3,1894.29126,3742960.0,g1T,3.10999502,PrefT,-2.96788736
Tuzet,wet,0.0,ampgo,7,3522.43928,20760330.0,g1T,2.91938238,PrefT,-0.25346276
WUE-LWP,wet,0.0,differential_evolution,3,3625.47114,80830.0,Lambda,8.20827962,,
WUE-LWP,wet,0.0,basinhopping,6,3627.82392,178770.0,Lambda,8.25390831,,
WUE-LWP,wet,0.0,Nelder-Mead,4,3625.75232,24780.0,Lambda,8.0943204,,
WUE-LWP,wet,0.0,Powell,2,3624.76372,28910.0,Lambda,8.10945768,,
WUE-LWP,wet,0.0,COBYLA,5,3626.30008,12980.0,Lambda,8.10845639,,
WUE-LWP,wet,0.0,dual_annealing,1,3624.18818,1193570.0,Lambda,8.29679581,,
WUE-LWP,wet,0.0,ampgo,7,4719.18198,2066180.0,Lambda,15.702138,,
CAP,wet,1.0,differential_evolution,1,277.371636,254040.0,krlC,1.66516505,PcritC,-3.76660972
CAP,wet,1.0,basinhopping,3,294.416835,4737295.0,krlC,1.6655941,PcritC,-3.77160563
CAP,wet,1.0,Nelder-Mead,5,301.187778,33785.0,krlC,1.94960864,PcritC,-3.21187297
CAP,wet,1.0,Powell,4,300.310671,20735.0,krlC,1.98309041,PcritC,-3.1345526
CAP,wet,1.0,COBYLA,7,337.769794,5075.0,krlC,2.55124346,PcritC,-2.46373668
CAP,wet,1.0,dual_annealing,2,289.128546,714560.0,krlC,1.66873949,PcritC,-3.78044331
CAP,wet,1.0,ampgo,6,327.099973,3388650.0,krlC,1.36976817,PcritC,-4.52469077
CGainNet,wet,1.0,differential_evolution,1,475.445224,28565.0,beta,7.27691731,,
CGainNet,wet,1.0,basinhopping,3,496.355885,43935.0,beta,7.54551069,,
CGainNet,wet,1.0,Nelder-Mead,5,503.293101,4205.0,beta,6.99202238,,
CGainNet,wet,1.0,Powell,2,475.547488,7975.0,beta,7.97362185,,
CGainNet,wet,1.0,COBYLA,4,500.877316,2900.0,beta,8.03264356,,
CGainNet,wet,1.0,dual_annealing,6,511.818596,291595.0,beta,7.95262567,,
CGainNet,wet,1.0,ampgo,7,531.974612,859270.0,beta,8.12444777,,
CMax,wet,1.0,differential_evolution,2,856.305265,39585.0,Alpha,6.72800715,Beta,0.99877921
CMax,wet,1.0,basinhopping,3,856.59192,58580.0,Alpha,7.01526735,Beta,1.26037926
CMax,wet,1.0,Nelder-Mead,6,858.967378,7540.0,Alpha,9.54364408,Beta,5.03212262
CMax,wet,1.0,Powell,5,858.514364,18560.0,Alpha,10.5268123,Beta,5.06394339
CMax,wet,1.0,COBYLA,4,858.383325,5075.0,Alpha,10.0658362,Beta,5.04479933
CMax,wet,1.0,dual_annealing,1,856.076256,585800.0,Alpha,7.76427437,Beta,1.7930369
CMax,wet,1.0,ampgo,7,966.581532,795615.0,Alpha,11.6381844,Beta,2.98917816
