Model,training,sub-sample,solver,Rank,BIC,Ntotal,p1,v1,p2,v2
CAP,wet,0.0,differential_evolution,4,3254.93628,713766.0,krlC,1.26168259,PcritC,-4.9741816
CAP,wet,0.0,basinhopping,2,3249.4886,22887814.0,krlC,1.97888056,PcritC,-3.14514249
CAP,wet,0.0,dual_annealing,3,3249.74083,4025612.0,krlC,1.15420484,PcritC,-5.42505172
CAP,wet,1.0,differential_evolution,1,876.646752,255075.0,krlC,2.33234033,PcritC,-2.58745807
CAP,wet,1.0,basinhopping,2,881.553937,5884625.0,krlC,3.73228206,PcritC,-1.63867219
CAP,wet,1.0,dual_annealing,3,884.30696,823042.0,krlC,1.40472159,PcritC,-4.44580635
CAP,wet,2.0,differential_evolution,2,789.034119,253968.0,krlC,1.15456345,PcritC,-5.42918894
CAP,wet,2.0,basinhopping,3,791.173322,5734784.0,krlC,1.85845466,PcritC,-3.23939927
CAP,wet,2.0,dual_annealing,1,787.346742,883696.0,krlC,3.34370514,PcritC,-1.82955363
CAP,wet,3.0,differential_evolution,2,802.289469,347634.0,krlC,2.08284165,PcritC,-2.95506595
CAP,wet,3.0,basinhopping,4,804.090617,5615900.0,krlC,2.70197265,PcritC,-2.22265122
CAP,wet,3.0,dual_annealing,3,803.424266,1165010.0,krlC,5.15254008,PcritC,-1.24298426
CAP,inter,0.0,differential_evolution,3,3660.72498,616338.0,krlC,11.7061812,PcritC,-0.4199979
CAP,inter,0.0,basinhopping,4,3668.56108,18857966.0,krlC,13.0269892,PcritC,-0.37525802
CAP,inter,0.0,dual_annealing,1,3653.6785,3904886.0,krlC,13.3067781,PcritC,-0.38498734
CAP,inter,1.0,differential_evolution,3,905.157429,226077.0,krlC,1.06778545,PcritC,-5.16797576
CAP,inter,1.0,basinhopping,4,909.522071,5703119.0,krlC,1.15471779,PcritC,-5.00320128
CAP,inter,1.0,dual_annealing,1,901.480195,992197.0,krlC,2.86881734,PcritC,-1.90846674
CAP,inter,2.0,differential_evolution,2,895.858424,127248.0,krlC,10.3448262,PcritC,-0.4672936
CAP,inter,2.0,basinhopping,4,900.908069,4046064.0,krlC,16.1374066,PcritC,-0.32144207
CAP,inter,2.0,dual_annealing,1,895.779952,939664.0,krlC,10.3840035,PcritC,-0.47057386
CAP,inter,3.0,differential_evolution,1,906.429919,192774.0,krlC,11.5694719,PcritC,-0.41888781
CAP,inter,3.0,basinhopping,3,917.165701,4437718.0,krlC,10.6590822,PcritC,-0.4461304
CAP,inter,3.0,dual_annealing,2,906.59222,920972.0,krlC,11.6764304,PcritC,-0.41919352
CGain,wet,0.0,differential_evolution,2,2779.18093,107312.0,Kappa,6.40945924,,
CGain,wet,0.0,Nelder-Mead,4,2833.42125,21886.0,Kappa,7.39854332,,
CGain,wet,0.0,dual_annealing,1,2756.42035,1426826.0,Kappa,7.23575627,,
CGain,wet,1.0,differential_evolution,4,729.984015,29893.0,Kappa,6.52332583,,
CGain,wet,1.0,Nelder-Mead,3,727.38616,4833.0,Kappa,5.69741473,,
CGain,wet,1.0,dual_annealing,5,736.255431,361043.0,Kappa,6.31402483,,
CGain,wet,2.0,differential_evolution,6,672.031297,32032.0,Kappa,6.58425052,,
CGain,wet,2.0,Nelder-Mead,3,660.726008,5104.0,Kappa,6.27931681,,
CGain,wet,2.0,dual_annealing,1,647.318885,357456.0,Kappa,7.4679264,,
CGain,wet,3.0,differential_evolution,2,696.758524,35066.0,Kappa,7.629664,,
CGain,wet,3.0,Nelder-Mead,1,696.757513,5518.0,Kappa,7.67718587,,
CGain,wet,3.0,dual_annealing,6,727.837462,360806.0,Kappa,7.96028572,,
CGain,inter,0.0,differential_evolution,5,3808.89879,86132.0,Kappa,7.01470605,,
CGain,inter,0.0,Nelder-Mead,4,3805.37659,20474.0,Kappa,6.54572433,,
CGain,inter,0.0,dual_annealing,1,3789.07075,1425414.0,Kappa,7.21641835,,
CGain,inter,1.0,differential_evolution,3,750.891891,40633.0,Kappa,6.11195554,,
CGain,inter,1.0,Nelder-Mead,2,747.920509,5012.0,Kappa,7.37926197,,
CGain,inter,1.0,dual_annealing,5,755.877246,362117.0,Kappa,7.4896061,,
CGain,inter,2.0,differential_evolution,2,936.688195,32032.0,Kappa,7.53554607,,
CGain,inter,2.0,Nelder-Mead,6,941.372387,5456.0,Kappa,6.28531889,,
CGain,inter,2.0,dual_annealing,1,935.389966,354288.0,Kappa,7.98965915,,
CGain,inter,3.0,differential_evolution,1,941.514438,24386.0,Kappa,7.0865429,,
CGain,inter,3.0,Nelder-Mead,3,941.947126,4984.0,Kappa,7.69678391,,
CGain,inter,3.0,dual_annealing,2,941.561365,359382.0,Kappa,7.21961166,,
CMax,wet,0.0,basinhopping,5,3717.04305,285224.0,Alpha,2.34739247,Beta,0.68104399
CMax,wet,0.0,COBYLA,6,3745.83237,24004.0,Alpha,2.13964963,Beta,0.99513748
CMax,wet,0.0,dual_annealing,1,3665.48917,2850122.0,Alpha,2.46275721,Beta,2.69352952
CMax,wet,1.0,basinhopping,3,941.560163,72316.0,Alpha,2.31592851,Beta,0.82876324
CMax,wet,1.0,COBYLA,5,955.132237,5370.0,Alpha,2.21585995,Beta,0.98611388
CMax,wet,1.0,dual_annealing,1,922.369833,722086.0,Alpha,2.02315412,Beta,4.22464411
CMax,wet,2.0,basinhopping,5,921.51223,71104.0,Alpha,2.36683333,Beta,0.52727289
CMax,wet,2.0,COBYLA,1,895.116112,6688.0,Alpha,2.3891646,Beta,0.98611388
CMax,wet,2.0,dual_annealing,2,904.085874,707344.0,Alpha,2.31902186,Beta,2.45532525
CMax,wet,3.0,basinhopping,1,915.064414,71912.0,Alpha,2.69961539,Beta,1.14771067
CMax,wet,3.0,COBYLA,5,943.46226,5162.0,Alpha,1.85330547,Beta,0.98611388
CMax,wet,3.0,dual_annealing,2,927.610354,716450.0,Alpha,2.64823503,Beta,4.11079644
CMax,inter,0.0,basinhopping,5,4131.92617,285224.0,Alpha,1.98582421,Beta,0.52655669
CMax,inter,0.0,COBYLA,2,4091.60883,20474.0,Alpha,1.86307551,Beta,0.98186171
CMax,inter,0.0,dual_annealing,1,4088.58243,2854358.0,Alpha,2.03407982,Beta,0.36052057
CMax,inter,1.0,basinhopping,4,948.720727,72316.0,Alpha,1.90676126,Beta,3.31982913
CMax,inter,1.0,COBYLA,1,894.850438,5370.0,Alpha,1.64124286,Beta,0.98611388
CMax,inter,1.0,dual_annealing,6,961.064493,720475.0,Alpha,2.16194424,Beta,4.05870295
CMax,inter,2.0,basinhopping,2,1013.94766,71104.0,Alpha,1.686501,Beta,1.05957406
CMax,inter,2.0,COBYLA,1,1012.99626,5984.0,Alpha,1.75712681,Beta,0.98608037
CMax,inter,2.0,dual_annealing,4,1016.633,707872.0,Alpha,1.94846572,Beta,2.50823177
CMax,inter,3.0,basinhopping,2,987.901835,71912.0,Alpha,2.53511019,Beta,0.9429296
CMax,inter,3.0,COBYLA,1,986.15493,5518.0,Alpha,1.76646673,Beta,0.98440261
CMax,inter,3.0,dual_annealing,4,1002.80184,714848.0,Alpha,1.8896839,Beta,3.73469784
Eller,wet,0.0,differential_evolution,2,3418.7153,144730.0,kmaxS1,0.31933178,,
Eller,wet,0.0,Nelder-Mead,3,3418.7153,24004.0,kmaxS1,0.31933097,,
Eller,wet,0.0,Powell,1,3418.7153,22592.0,kmaxS1,0.31933189,,
Eller,wet,1.0,differential_evolution,2,905.082442,27029.0,kmaxS1,0.31821195,,
Eller,wet,1.0,Nelder-Mead,5,905.082443,5012.0,kmaxS1,0.31822166,,
Eller,wet,1.0,Powell,1,905.082442,5728.0,kmaxS1,0.31821206,,
Eller,wet,2.0,differential_evolution,3,834.127642,25872.0,kmaxS1,0.31268816,,
Eller,wet,2.0,Nelder-Mead,1,834.127642,5632.0,kmaxS1,0.31268953,,
Eller,wet,2.0,Powell,4,834.127642,5456.0,kmaxS1,0.31268798,,
Eller,wet,3.0,differential_evolution,1,886.220675,31150.0,kmaxS1,0.31965076,,
Eller,wet,3.0,Nelder-Mead,3,886.220675,5696.0,kmaxS1,0.31964897,,
Eller,wet,3.0,Powell,2,886.220675,5696.0,kmaxS1,0.31965085,,
Eller,inter,0.0,differential_evolution,2,3960.25609,81190.0,kmaxS1,0.22677057,,
Eller,inter,0.0,Nelder-Mead,1,3960.25609,22592.0,kmaxS1,0.22676866,,
Eller,inter,0.0,Powell,4,3960.25609,24004.0,kmaxS1,0.22429563,,
Eller,inter,1.0,differential_evolution,1,934.437544,28998.0,kmaxS1,0.29706669,,
Eller,inter,1.0,Nelder-Mead,4,934.437544,5370.0,kmaxS1,0.29706334,,
Eller,inter,1.0,Powell,3,934.437544,5370.0,kmaxS1,0.2970664,,
Eller,inter,2.0,differential_evolution,2,972.9897,28512.0,kmaxS1,0.2192597,,
Eller,inter,2.0,Nelder-Mead,6,972.989701,4928.0,kmaxS1,0.2192678,,
Eller,inter,2.0,Powell,1,972.9897,5984.0,kmaxS1,0.21925971,,
Eller,inter,3.0,differential_evolution,4,1031.21988,27412.0,kmaxS1,0.21337348,,
Eller,inter,3.0,Nelder-Mead,2,1031.21988,4984.0,kmaxS1,0.21338139,,
Eller,inter,3.0,Powell,3,1031.21988,6230.0,kmaxS1,0.21337349,,
LeastCost,wet,0.0,differential_evolution,2,2763.44916,826020.0,kmaxLC,0.44174636,Eta,3.49958985
LeastCost,wet,0.0,Nelder-Mead,1,2746.40648,84720.0,kmaxLC,0.4438794,Eta,3.69694212
LeastCost,wet,0.0,dual_annealing,3,2768.57579,4470392.0,kmaxLC,0.44987504,Eta,3.90033758
LeastCost,wet,1.0,differential_evolution,1,708.196973,397917.0,kmaxLC,0.45016498,Eta,3.67207641
LeastCost,wet,1.0,Nelder-Mead,3,720.29817,22912.0,kmaxLC,0.45047427,Eta,3.6450031
LeastCost,wet,1.0,dual_annealing,2,718.952185,1164574.0,kmaxLC,0.46462986,Eta,3.83753404
LeastCost,wet,2.0,differential_evolution,3,666.011163,317328.0,kmaxLC,0.447202,Eta,3.41175333
LeastCost,wet,2.0,Nelder-Mead,2,664.963016,19712.0,kmaxLC,0.4513959,Eta,3.87067936
LeastCost,wet,2.0,dual_annealing,1,660.860499,1266496.0,kmaxLC,0.45126295,Eta,3.89564738
LeastCost,wet,3.0,differential_evolution,1,700.52953,288894.0,kmaxLC,0.43178387,Eta,3.58367647
LeastCost,wet,3.0,Nelder-Mead,3,707.747901,22784.0,kmaxLC,0.43110885,Eta,3.51843805
LeastCost,wet,3.0,dual_annealing,2,707.486555,1377008.0,kmaxLC,0.44389154,Eta,3.7182581
LeastCost,inter,0.0,differential_evolution,4,3835.70757,554916.0,kmaxLC,0.3517068,Eta,5.05168514
LeastCost,inter,0.0,Nelder-Mead,2,3829.72703,86132.0,kmaxLC,0.34940499,Eta,5.19272652
LeastCost,inter,0.0,dual_annealing,1,3825.74653,6067364.0,kmaxLC,0.349266,Eta,5.0964009
LeastCost,inter,1.0,differential_evolution,1,750.682457,302331.0,kmaxLC,0.42071125,Eta,3.74403852
LeastCost,inter,1.0,Nelder-Mead,2,751.832455,20048.0,kmaxLC,0.42247505,Eta,3.90413577
LeastCost,inter,1.0,dual_annealing,3,756.278957,847207.0,kmaxLC,0.42931361,Eta,4.18460005
LeastCost,inter,2.0,differential_evolution,3,947.222101,138864.0,kmaxLC,0.35304315,Eta,5.07586542
LeastCost,inter,2.0,Nelder-Mead,4,947.344414,21120.0,kmaxLC,0.35504025,Eta,6.18868228
LeastCost,inter,2.0,dual_annealing,1,944.889385,1166704.0,kmaxLC,0.35761832,Eta,6.00009669
LeastCost,inter,3.0,differential_evolution,6,948.151032,150054.0,kmaxLC,0.31144555,Eta,4.49823863
LeastCost,inter,3.0,Nelder-Mead,5,947.779067,19936.0,kmaxLC,0.32744681,Eta,5.52109737
LeastCost,inter,3.0,dual_annealing,1,945.75306,997334.0,kmaxLC,0.31936892,Eta,4.89167461
MES,wet,0.0,differential_evolution,3,3296.04926,976398.0,krlM,1.73636656,PcritM,-2.20512981
MES,wet,0.0,Powell,2,3282.01866,238628.0,krlM,1.18802882,PcritM,-3.2735303
MES,wet,0.0,dual_annealing,1,3279.94085,4402616.0,krlM,1.18762693,PcritM,-3.2720349
MES,wet,1.0,differential_evolution,1,862.20627,188487.0,krlM,1.18820516,PcritM,-3.26395697
MES,wet,1.0,Powell,3,866.359343,30430.0,krlM,1.17083541,PcritM,-3.27283174
MES,wet,2.0,differential_evolution,2,806.963925,256080.0,krlM,2.14074459,PcritM,-1.8905422
MES,wet,2.0,Powell,1,806.454182,40128.0,krlM,1.24021284,PcritM,-3.25305294
MES,wet,2.0,dual_annealing,3,809.504794,1043152.0,krlM,1.79773122,PcritM,-2.1978038
MES,wet,3.0,differential_evolution,1,841.86523,198114.0,krlM,1.43380029,PcritM,-2.64152898
MES,wet,3.0,Powell,3,850.753788,42008.0,krlM,1.16558389,PcritM,-3.28407087
MES,wet,3.0,dual_annealing,2,846.820493,1025636.0,krlM,1.13503624,PcritM,-3.30255228
MES,inter,0.0,differential_evolution,1,3531.58644,580332.0,krlM,14.096259,PcritM,-0.24448883
MES,inter,0.0,Powell,5,3934.93224,187090.0,krlM,0.86869519,PcritM,-3.27829585
MES,inter,0.0,dual_annealing,2,3532.45757,3828638.0,krlM,13.9524121,PcritM,-0.24577238
MES,inter,1.0,differential_evolution,3,872.129734,221244.0,krlM,2.44339391,PcritM,-1.48870133
MES,inter,1.0,Powell,4,873.910089,46003.0,krlM,1.11478656,PcritM,-3.2959518
MES,inter,1.0,dual_annealing,2,871.634694,1012066.0,krlM,1.57561885,PcritM,-2.20926047
MES,inter,2.0,differential_evolution,2,863.483605,134640.0,krlM,14.1368575,PcritM,-0.24847167
MES,inter,2.0,Powell,5,975.434578,33264.0,krlM,0.92467825,PcritM,-3.25326491
MES,inter,2.0,dual_annealing,1,863.483605,853600.0,krlM,14.1368576,PcritM,-0.24974811
MES,inter,3.0,differential_evolution,4,902.339571,144714.0,krlM,6.54943016,PcritM,-0.45366416
MES,inter,3.0,Powell,5,1001.48232,35244.0,krlM,0.86401542,PcritM,-3.14912036
MES,inter,3.0,dual_annealing,1,883.482538,910292.0,krlM,13.418871,PcritM,-0.23873872
ProfitMax,wet,0.0,differential_evolution,4,3385.84322,326172.0,kmax,0.87170221,,
ProfitMax,wet,0.0,basinhopping,2,3370.9093,20070168.0,kmax,0.88675905,,
ProfitMax,wet,0.0,Nelder-Mead,1,3370.75792,57186.0,kmax,0.88676579,,
ProfitMax,wet,1.0,differential_evolution,2,885.658924,83593.0,kmax,0.84865358,,
ProfitMax,wet,1.0,basinhopping,1,881.389592,4429176.0,kmax,0.89612654,,
ProfitMax,wet,1.0,Nelder-Mead,5,905.261757,13962.0,kmax,0.81692467,,
ProfitMax,wet,2.0,differential_evolution,3,802.251016,96272.0,kmax,0.89033958,,
ProfitMax,wet,2.0,basinhopping,2,801.850234,4089360.0,kmax,0.89071786,,
ProfitMax,wet,2.0,Nelder-Mead,5,810.010406,12672.0,kmax,0.87420867,,
ProfitMax,wet,3.0,differential_evolution,1,850.070769,89712.0,kmax,0.88805953,,
ProfitMax,wet,3.0,basinhopping,3,850.073869,4876666.0,kmax,0.93654045,,
ProfitMax,wet,3.0,Nelder-Mead,2,850.071898,13350.0,kmax,0.88806181,,
ProfitMax,inter,0.0,differential_evolution,4,3919.0541,172970.0,kmax,0.67664918,,
ProfitMax,inter,0.0,basinhopping,3,3916.42336,18714648.0,kmax,0.66227586,,
ProfitMax,inter,0.0,Nelder-Mead,1,3911.47279,52244.0,kmax,0.6706126,,
ProfitMax,inter,1.0,differential_evolution,1,877.407305,129238.0,kmax,0.80809495,,
ProfitMax,inter,1.0,basinhopping,3,881.967115,4570228.0,kmax,0.80826997,,
ProfitMax,inter,1.0,Nelder-Mead,4,883.612484,13604.0,kmax,0.83098269,,
ProfitMax,inter,2.0,differential_evolution,4,958.562111,80080.0,kmax,0.66272251,,
ProfitMax,inter,2.0,basinhopping,5,958.895754,4461072.0,kmax,0.70414036,,
ProfitMax,inter,2.0,Nelder-Mead,1,957.021798,11440.0,kmax,0.67252545,,
ProfitMax,inter,3.0,differential_evolution,2,974.205541,57494.0,kmax,0.63222535,,
ProfitMax,inter,3.0,basinhopping,1,974.193819,4716822.0,kmax,0.67299918,,
ProfitMax,inter,3.0,Nelder-Mead,5,980.033065,12994.0,kmax,0.6470106,,
ProfitMax2,wet,0.0,differential_evolution,3,2080.7118,362178.0,kmax2,1.99108238,,
ProfitMax2,wet,0.0,basinhopping,1,2080.3833,17057666.0,kmax2,1.98812109,,
ProfitMax2,wet,0.0,dual_annealing,2,2080.59216,1593442.0,kmax2,2.01523459,,
