Model,training,solver,Rank,BIC,Ntotal,p1,v1,p2,v2
CAP,Corrigin_Eucalyptus_capillosa,differential_evolution,2,1038.68298,10602.0,krlC,59.1702226,PcritC,-8.54992565
CAP,Corrigin_Eucalyptus_capillosa,Powell,2,1038.68298,11970.0,krlC,79.9999999,PcritC,-8.54999661
CAP,Corrigin_Eucalyptus_capillosa,dual_annealing,2,1038.68298,465006.0,krlC,79.9997628,PcritC,-8.55
CGainNet,Corrigin_Eucalyptus_capillosa,differential_evolution,3,776.27722,12198.0,beta,28.9384517,,
CGainNet,Corrigin_Eucalyptus_capillosa,Powell,2,775.771765,8436.0,beta,30.3550263,,
CGainNet,Corrigin_Eucalyptus_capillosa,dual_annealing,1,772.552557,230166.0,beta,28.7998876,,
CMax,Corrigin_Eucalyptus_capillosa,differential_evolution,1,854.682391,34542.0,Alpha,6.13628079,Beta,1.75635619
CMax,Corrigin_Eucalyptus_capillosa,Powell,3,855.891803,26334.0,Alpha,7.18996719,Beta,4.80437964
CMax,Corrigin_Eucalyptus_capillosa,dual_annealing,2,854.747534,459534.0,Alpha,6.18216491,Beta,0.37642991
LeastCost,Corrigin_Eucalyptus_capillosa,differential_evolution,1,766.842966,63612.0,kmaxLC,4.09540709,BoA,72.2257969
LeastCost,Corrigin_Eucalyptus_capillosa,Powell,3,767.637466,20064.0,kmaxLC,3.95617815,BoA,74.1802452
LeastCost,Corrigin_Eucalyptus_capillosa,dual_annealing,2,766.896557,695856.0,kmaxLC,4.08935641,BoA,75.8208297
Medlyn-LWP,Corrigin_Eucalyptus_capillosa,differential_evolution,1,769.294204,63954.0,sref,0.41481576,g1,13.4665443
Medlyn-LWP,Corrigin_Eucalyptus_capillosa,Powell,3,1038.72431,2850.0,sref,7.54600978,g1,14.7851251
Medlyn-LWP,Corrigin_Eucalyptus_capillosa,dual_annealing,1,769.294204,464322.0,sref,0.41481963,g1,13.4767929
MES,Corrigin_Eucalyptus_capillosa,differential_evolution,3,1038.70307,14022.0,krlM,56.7003992,PcritM,-8.54986851
MES,Corrigin_Eucalyptus_capillosa,Powell,2,1038.70267,6156.0,krlM,80.0,PcritM,-8.52058357
MES,Corrigin_Eucalyptus_capillosa,dual_annealing,1,1038.70129,508782.0,krlM,0.37966252,PcritM,-8.44385386
ProfitMax,Corrigin_Eucalyptus_capillosa,differential_evolution,3,746.912966,37278.0,kmax,13.1205739,,
ProfitMax,Corrigin_Eucalyptus_capillosa,Powell,1,745.428332,6726.0,kmax,13.3580733,,
ProfitMax,Corrigin_Eucalyptus_capillosa,dual_annealing,2,745.932144,264822.0,kmax,13.2401804,,
SOX-OPT,Corrigin_Eucalyptus_capillosa,differential_evolution,3,749.381861,31122.0,kmaxS2,6.95649407,ksc_prev,3.65208856
