xpe,A(std1),A(std2),A(tuz),A(sox1),A(sox2),A(wue),A(cgn),A(pmax),A(cmax),A(lcst),A(cap),A(mes),E(std1),E(std2),E(tuz),E(sox1),E(sox2),E(wue),E(cgn),E(pmax),E(cmax),E(lcst),E(cap),E(mes)
highCa_dry_inter,716.342096177603,916.3990553242667,1024.6107181669577,1056.511726051738,1117.6277039368479,1334.6923618551568,1266.7337858164592,1109.799010542777,1257.182888084216,1128.8145497058463,362.1773617417399,392.3868978402462,99.19376867705927,118.15496642067855,168.0327068754146,143.93573290225402,153.0136980832894,503.54607733716756,212.32625832195015,133.73307464733875,328.0841367013405,146.2612407748083,57.2678637223959,75.60430109490297
highCa_dry_wet,716.342096177603,792.4202541054223,1167.7922668147353,1143.7895543037732,1186.5384613513324,1306.7015588334884,1228.8121488372744,1170.295975665535,1195.335121118575,1199.0265634637453,341.58630212288926,364.54671677530996,99.19376867705927,94.52723348960701,218.19858985397397,183.45760323538107,187.79983372060062,336.0974475824042,178.70202311129316,161.39786907183225,210.24947981474867,185.84683621954468,52.54171091560935,66.81623304059792
highCa_inter_inter,1436.5638965474236,1453.56144577696,1363.5866174941973,1417.1406030535165,1463.821777819933,1631.7082030091365,1556.0570984165086,1459.6625891209085,1602.854495741434,1491.6529218150215,781.1694425421698,888.4972147820002,217.20223322101666,216.10192040413318,237.58108266047634,221.29181440982197,228.4879351900465,746.2762363515554,307.7226887022898,200.25441582387876,512.8566443704509,218.46151052687406,107.82209945966062,150.90687583433848
highCa_inter_wet,1436.5638965474236,1408.6426943721617,1498.6459052713556,1490.3516648180457,1515.5559379162758,1597.3174425481698,1526.4800921057947,1508.170622800947,1549.7538515035017,1542.5108235736743,716.9787318280092,766.426564614747,217.20223322101666,190.34993485544405,291.2171373916022,280.4984346227063,279.1037287914144,457.41823707428506,258.78060761834365,240.84995395795553,330.2476924159187,275.3824155877019,97.52580123103196,128.57949654624795
highCa_wet_inter,1516.9380407192423,1469.7310190578119,1364.23287677806,1427.8768327352043,1469.4048947771619,1632.3723659212105,1558.5191723868074,1464.7739357220437,1604.8441983480927,1495.0241995912297,1335.3131263150842,1431.2971116986841,274.7507741974443,227.670787065514,236.7928192505766,228.00674557624578,233.07414158272348,754.3975174257923,312.7199744699727,203.68016557197615,524.5368182703464,221.10390182757112,228.08421805557035,312.2642071779197
highCa_wet_wet,1516.9380407192423,1438.550938202589,1512.5149599355477,1497.8228022642643,1519.933476214424,1597.3322562347212,1530.1878912972331,1512.5227154699226,1554.4224851893814,1544.2885492083558,1316.1126771342656,1412.209014708064,274.7507741974443,206.0975003729346,296.02241462464974,288.82108415773695,285.13646286185514,457.4145658476777,264.4029037495679,245.85517560980225,339.60247554849303,278.0207459830547,217.79750161193184,286.62051786369074
highD_dry_inter,386.2928206293288,474.688288534782,762.6212455253345,563.3343696533127,508.5124777756687,683.6474277369837,679.6324129506057,523.3218438665938,648.5913738853935,503.0158314219229,181.73316041974942,162.01182164776984,169.45572689296972,188.9108775500463,478.0098246619844,239.67677793653516,184.60779805435746,314.8055750178021,293.8336689210902,186.61799070640626,283.7033136234391,172.74797962412677,113.81780296931997,99.38533073608738
highD_dry_wet,386.2928206293288,392.3142183103757,852.0414205513321,653.2485968860929,606.9745134865105,576.3100582786608,584.753771270377,607.9124179114921,524.7414695172265,594.2638730133808,168.02195199983666,147.46314480168684,169.45572689296972,145.79094620199353,598.9243840593323,312.2903014588584,251.31294791072406,265.0972918261887,224.01511443989207,242.09592469921145,185.10393926058072,230.99659613430998,102.17438385254316,88.1876368680309
highD_inter_inter,821.9273424053462,836.374437811643,1064.6533203768645,801.7639099151762,728.2816828775289,851.1470123762614,932.1179482162702,751.4791112493234,911.3242538339326,722.1426821239618,392.01180926369,359.1739281771878,370.98479124507713,365.47335009174566,709.5031917151912,373.58849312676506,285.073494097587,405.8356795130784,444.81224797759967,287.8244229035753,444.7770352570236,264.57495925486603,216.42514589002351,195.1795597154646
highD_inter_wet,821.9273424053462,758.8003835126281,1112.3995787952142,909.396439229809,851.8954490401962,766.0263919818673,837.4612574270941,856.4231305047439,693.7346598110072,839.8030111012207,362.10530794270306,325.7987364343036,370.98479124507713,303.9177462291332,825.1426870600299,483.05710701678976,385.13760221383353,398.2185964799197,351.416269454477,371.18494268789726,255.05677477820126,351.63098006378686,194.1442795664773,171.53516102313458
highD_wet_inter,967.8638575042459,866.9032413850107,1066.4651612124976,815.4159156566068,737.6184208702197,851.2272633193571,938.5454691821882,758.8322615103674,922.3221028914546,728.9755205025108,788.2358692408351,745.0509543554313,506.2899010858429,392.97188261652127,710.9296846847847,385.7748484361345,291.7249612023668,405.8714448426778,452.29233246738005,293.0472858783115,457.64098584899745,268.8765593143313,502.3625857643705,449.9157273459722
highD_wet_wet,967.8638575042459,808.1034836116785,1110.97191483692,921.9462054901744,860.8175970777833,768.9187265222778,846.319030486397,864.5954142696082,711.4254096011281,846.5809658846725,764.0958777084406,717.803798380599,506.2899010858429,340.9521227884027,824.4136426507347,498.25360056684343,393.7233731701479,403.8503655408183,358.9781188422467,378.8813804520542,266.61434788653804,357.24804309603434,470.52404091498937,418.45124576340055
insample_dry_inter,458.4783294791272,572.5420707464774,718.5585136124513,703.6386519536838,709.0845380032385,952.9932222177513,871.5976530881471,708.2195526387969,843.8578713639503,709.447919895899,231.43556207735043,217.9178331357401,126.4491058597989,144.58167662727166,241.34708722952098,194.82228837012883,184.5712095894064,413.24444866609355,265.86441247801326,166.12583271433746,297.08632756689474,165.2670757208799,87.15766754466452,81.67246151779628
