output,driver,S1,S1_conf,ST,ST_conf,S2,S2_conf
gs(std1),PPFD,0.0007436609666887769,0.0010356880008579622,0.013933010609355269,0.0030845876068550503,,
gs(std1),Tair,0.019320050153074607,0.0037454766502741017,0.17060348045388088,0.012524673277414073,,
gs(std1),VPD,0.04098803836694052,0.007336195502224278,0.2768569183338923,0.019712490268311147,,
gs(std1),CO2,3.6416884662079275e-05,0.0020842698506833538,0.03202507575604001,0.003902644101357606,,
gs(std1),Ps,0.5743180965450289,0.022096126905179612,0.921711441710923,0.04257406839935363,,
gs(std1),PPFD-Tair,,,,,0.0006619717865055628,0.0020831428446578077
gs(std1),PPFD-VPD,,,,,0.000982044487329095,0.002233075690697811
gs(std1),PPFD-CO2,,,,,2.6815478385835028e-05,0.0018774329561011733
gs(std1),PPFD-Ps,,,,,0.005772583390328934,0.0040626699288906516
gs(std1),Tair-VPD,,,,,0.007245647504754746,0.008820838022499692
gs(std1),Tair-CO2,,,,,0.0018953994213162808,0.005935444256447667
gs(std1),Tair-Ps,,,,,0.09900843986424834,0.014561431102164712
gs(std1),VPD-CO2,,,,,0.0064255087668063145,0.02093171433813108
gs(std1),VPD-Ps,,,,,0.18022512054030893,0.041189415556807885
gs(std1),CO2-Ps,,,,,0.00817696718894445,0.00833664638508125
gs(tuz),PPFD,0.05443963556506129,0.0033484268670655663,0.10328932583415744,0.0025138363080351184,,
gs(tuz),Tair,0.5374731488336532,0.006630568728694047,0.6569015277410902,0.0065668026402908985,,
gs(tuz),VPD,-7.060209743466481e-05,0.001108324151491238,0.018251488268889428,0.0012609879636762366,,
gs(tuz),CO2,0.06851811852849603,0.0033167413662404865,0.14192517129810114,0.002143538917608413,,
gs(tuz),Ps,0.20035610419823835,0.005038912853075535,0.2743935486357273,0.004902681332557794,,
gs(tuz),PPFD-Tair,,,,,0.018992992767943084,0.004065141056080758
gs(tuz),PPFD-VPD,,,,,0.0013082664425200412,0.003947483769107945
gs(tuz),PPFD-CO2,,,,,0.0018405372810357395,0.004460408299271765
gs(tuz),PPFD-Ps,,,,,0.006758210130482695,0.003968364050531707
gs(tuz),Tair-VPD,,,,,8.946623548030262e-05,0.007693291016174794
gs(tuz),Tair-CO2,,,,,0.04390111000544068,0.008785023803844032
gs(tuz),Tair-Ps,,,,,0.032542493843159104,0.008352782336734664
gs(tuz),VPD-CO2,,,,,0.00098665082192409,0.0018970751584960386
gs(tuz),VPD-Ps,,,,,0.0010472406317492688,0.0017867591138167607
gs(tuz),CO2-Ps,,,,,0.009803942020732537,0.004918226808480725
gs(sox1),PPFD,-0.00019578568774608824,0.00037645793235393637,0.001999690364634065,0.00019636976716417564,,
gs(sox1),Tair,0.09977452420521472,0.005081825976792756,0.20286164864341216,0.007901711768721753,,
gs(sox1),VPD,0.5316365502618651,0.013890873646732806,0.6980956840625098,0.016260317786974662,,
gs(sox1),CO2,0.019447249356868604,0.002438389045429752,0.04937554851743354,0.0016283541986921177,,
gs(sox1),Ps,0.155003268568447,0.0053388890234647175,0.2597215887185664,0.007234209679841966,,
gs(sox1),PPFD-Tair,,,,,-7.927536710668814,15.018456061193529
gs(sox1),PPFD-VPD,,,,,-6.617134102045929,12.53501420943414
gs(sox1),PPFD-CO2,,,,,-5.227111598874415,9.901670336486733
gs(sox1),PPFD-Ps,,,,,-4.344685742456159,8.230161092461374
gs(sox1),Tair-VPD,,,,,0.0667943966891763,0.011594711506021597
gs(sox1),Tair-CO2,,,,,0.002472824609135324,0.006731336767697862
gs(sox1),Tair-Ps,,,,,0.018833393684036054,0.006802551727352279
gs(sox1),VPD-CO2,,,,,0.015402698642110843,0.025238754162138558
gs(sox1),VPD-Ps,,,,,0.06698263941280605,0.026671084208617087
gs(sox1),CO2-Ps,,,,,0.00496737429543212,0.004218746083241683
gs(sox2),PPFD,0.051364938246092354,0.003507203766516715,0.09512838110542049,0.004477502295056417,,
gs(sox2),Tair,0.08067979842845556,0.00485211136488249,0.18227144355580305,0.008078121846103944,,
gs(sox2),VPD,0.7764989687220979,0.022546305770804333,0.7957025562670484,0.02423917934879226,,
gs(sox2),CO2,0.11890129617061021,0.005480258583635325,0.14638765394855485,0.007014303701586692,,
gs(sox2),Ps,0.07644403002400459,0.003983130550499082,0.14635574045284522,0.006176766648186602,,
gs(sox2),PPFD-Tair,,,,,-0.038920364109328254,0.00441431331722999
gs(sox2),PPFD-VPD,,,,,-0.2191833746751085,0.008370396962188498
gs(sox2),PPFD-CO2,,,,,-0.0642859750816218,0.004337287409342362
gs(sox2),PPFD-Ps,,,,,0.0023325663168612953,0.004670317822334707
gs(sox2),Tair-VPD,,,,,-0.06817320040408581,0.012772163368943702
gs(sox2),Tair-CO2,,,,,-0.11262092479960746,0.007078002021759295
gs(sox2),Tair-Ps,,,,,-0.048011012201632494,0.007122487248049656
gs(sox2),VPD-CO2,,,,,-0.2322382960558185,0.039147538679833734
gs(sox2),VPD-Ps,,,,,-0.009298099948913521,0.04257906606863661
gs(sox2),CO2-Ps,,,,,-0.05115985340160363,0.007948072044823453
gs(wue),PPFD,0.0021499244476527,0.0017239318542458853,0.07112877775906119,0.009576341269395565,,
gs(wue),Tair,0.011924267293949117,0.0032355868556204767,0.15120232793663627,0.014663466273005148,,
gs(wue),VPD,0.7480710784152098,0.030944940970087223,0.9722781496674615,0.03072510211915251,,
gs(wue),CO2,-0.0003518819686673752,0.001076338829679534,0.015501500795593101,0.0008505132564317064,,
gs(wue),Ps,0.013917936311763555,0.0027876244755657706,0.10155152745108412,0.009533443257212964,,
gs(wue),PPFD-Tair,,,,,0.0037705991248622728,0.0033930463278036894
gs(wue),PPFD-VPD,,,,,0.03474957568022086,0.01332077962513312
gs(wue),PPFD-CO2,,,,,0.002354314639518051,0.0029709316363045976
gs(wue),PPFD-Ps,,,,,0.0036887631887513664,0.0033046947775454915
gs(wue),Tair-VPD,,,,,0.09511499785439137,0.021242069103802632
gs(wue),Tair-CO2,,,,,0.002177607987650199,0.005188485841607123
gs(wue),Tair-Ps,,,,,0.0034047523141785135,0.006449976368751071
gs(wue),VPD-CO2,,,,,0.009907279318504944,0.04814200548369759
gs(wue),VPD-Ps,,,,,0.03853483816545719,0.052471384833044456
gs(wue),CO2-Ps,,,,,0.0005803238084045748,0.0017200901193143343
gs(cgn),PPFD,-2.7768263423013182e-05,0.0030120272584017336,0.09440552289137538,0.009612481903014057,,
gs(cgn),Tair,0.0027541731359258755,0.003877899081743522,0.18250412475132366,0.021042393651347687,,
gs(cgn),VPD,0.6699734309935825,0.03812427354726799,0.9604289324322687,0.04520834604279203,,
gs(cgn),CO2,4.4972311651240136e-05,0.0007171094305537053,0.00516324277636108,0.0008843539711965254,,
gs(cgn),Ps,0.02489915129238507,0.004452977791216268,0.26981726969051334,0.02370714046732934,,
gs(cgn),PPFD-Tair,,,,,-0.00011124234115148174,0.003482255756009516
gs(cgn),PPFD-VPD,,,,,-0.010091560103544173,0.017842844597275625
gs(cgn),PPFD-CO2,,,,,0.00014615090708693654,0.0032798217308931785
gs(cgn),PPFD-Ps,,,,,-0.002596416699471797,0.004134738449518223
gs(cgn),Tair-VPD,,,,,0.036381095949078346,0.027673314488558247
gs(cgn),Tair-CO2,,,,,0.002260981532429552,0.005376731207598526
gs(cgn),Tair-Ps,,,,,0.002879401987556214,0.006183341817046105
gs(cgn),VPD-CO2,,,,,-0.012804712476503059,0.054176500356674887
gs(cgn),VPD-Ps,,,,,0.09919736035089355,0.06319451352460183
gs(cgn),CO2-Ps,,,,,0.00029036993999370306,0.0010411682923382687
gs(pmax),PPFD,0.00020383386030636098,0.0032767429764614694,0.11464843165421462,0.011324119909873708,,
gs(pmax),Tair,0.0010658249951473932,0.003777941282479613,0.1554449017467388,0.017338935142030113,,
gs(pmax),VPD,0.6368586214688392,0.03756789539293909,0.9442485135450859,0.03962682205133263,,
gs(pmax),CO2,0.0005159514327705331,0.0006713482423273153,0.005046149062736089,0.0012776587377701153,,
gs(pmax),Ps,0.035204123001300554,0.0056635443122805725,0.33297552416651754,0.026875857917082448,,
gs(pmax),PPFD-Tair,,,,,0.0010597244064015315,0.004368846700600385
gs(pmax),PPFD-VPD,,,,,-0.007825353352607256,0.018945848419042777
gs(pmax),PPFD-CO2,,,,,0.001177327264822547,0.004302894176568056
gs(pmax),PPFD-Ps,,,,,-0.0024775063288109828,0.004682564540763133
gs(pmax),Tair-VPD,,,,,0.010355186984533526,0.022846399757980175
gs(pmax),Tair-CO2,,,,,0.003529335248069794,0.005042065410793948
gs(pmax),Tair-Ps,,,,,0.0023064539846185256,0.0051330099890217985
gs(pmax),VPD-CO2,,,,,-0.008714476307942453,0.057734586429437525
gs(pmax),VPD-Ps,,,,,0.125252827807447,0.06547717856905164
gs(pmax),CO2-Ps,,,,,2.8005795557367597e-05,0.0008873425636895928
gs(cmax),PPFD,-4.6012060991143084e-05,0.0020453597898406127,0.06717510162901395,0.008570446532152477,,
gs(cmax),Tair,0.004673561710250077,0.0031577120475427697,0.15939241579237487,0.02129360174289486,,
gs(cmax),VPD,0.6557756417148959,0.04094310419160682,1.0007338274646629,0.04593136625343173,,
gs(cmax),CO2,0.0006717954696807734,0.0019467291542215235,0.044291534399653436,0.006692559831006515,,
gs(cmax),Ps,0.015564469374649888,0.004895802784962167,0.2601307184200272,0.02503904124381795,,
gs(cmax),PPFD-Tair,,,,,0.0027955427246670076,0.0031724334691053194
gs(cmax),PPFD-VPD,,,,,0.021428974580704696,0.019153955585715896
gs(cmax),PPFD-CO2,,,,,0.002484010298206026,0.00322754946454352
gs(cmax),PPFD-Ps,,,,,0.00291297126984167,0.0034159858464069977
gs(cmax),Tair-VPD,,,,,0.06356360561084728,0.026249380519417605
gs(cmax),Tair-CO2,,,,,0.0015434762148366446,0.0054781753436662275
gs(cmax),Tair-Ps,,,,,0.006440148179026443,0.007109012476290655
gs(cmax),VPD-CO2,,,,,0.0005279030438768387,0.06199746315423181
gs(cmax),VPD-Ps,,,,,0.15207814874684294,0.07449662555724876
gs(cmax),CO2-Ps,,,,,0.0007215141106811616,0.0027498058279242653
gs(lcst),PPFD,0.0010478437485563973,0.0013703766398919471,0.05749170129241294,0.007926992143168495,,
gs(lcst),Tair,0.027312684647906784,0.003896203419615138,0.26327683024247084,0.02207445522663886,,
gs(lcst),VPD,0.6048847472705312,0.033929307028529726,0.9139708029461664,0.038771080267923905,,
gs(lcst),CO2,0.0003424999380964869,0.0009627962396134208,0.016994634137404534,0.0016422963006976576,,
gs(lcst),Ps,0.03053987778912639,0.002982992299128974,0.1483999982801935,0.013439747506410214,,
gs(lcst),PPFD-Tair,,,,,0.0026699025295870427,0.002194585939314707
gs(lcst),PPFD-VPD,,,,,0.016872004246113015,0.01169098954359553
gs(lcst),PPFD-CO2,,,,,0.0021762254490150577,0.0022701710096918234
gs(lcst),PPFD-Ps,,,,,0.0029726948597853797,0.002492074092719139
gs(lcst),Tair-VPD,,,,,0.18184507405226102,0.03321871029000407
gs(lcst),Tair-CO2,,,,,0.0012410511305055876,0.006279342924247752
gs(lcst),Tair-Ps,,,,,0.009681376422120712,0.0074036249223289234
gs(lcst),VPD-CO2,,,,,-0.0031004137348181206,0.06026695003621377
gs(lcst),VPD-Ps,,,,,0.038046899403442726,0.0677359141449298
gs(lcst),CO2-Ps,,,,,0.0012007569178323074,0.0016168057907254222
gs(cap),PPFD,0.0019257984199010402,0.0038887768474174193,0.17646185057334604,0.00565399643953008,,
gs(cap),Tair,0.062391940172988714,0.008906069931989086,0.9175600714324649,0.010260471646552277,,
gs(cap),VPD,0.0028223151370765174,0.005279971063187942,0.30732212357174205,0.007504526933043623,,
gs(cap),CO2,-0.0011471475855379227,0.00885770799840983,0.8241537620287637,0.00898728304452666,,
gs(cap),Ps,0.05095962218302598,0.007001760043832944,0.512632935683831,0.009920348856011115,,
gs(cap),PPFD-Tair,,,,,-0.0007829796829633279,0.005551880978691278
gs(cap),PPFD-VPD,,,,,-0.0018637729964582903,0.00515681498190873
gs(cap),PPFD-CO2,,,,,-0.003692841560902852,0.005138990158109598
gs(cap),PPFD-Ps,,,,,-0.002612041286959743,0.005013785636164227
gs(cap),Tair-VPD,,,,,-0.0040599192386579375,0.01058685233102668
gs(cap),Tair-CO2,,,,,0.37954189619236456,0.014540186188106843
gs(cap),Tair-Ps,,,,,0.021380482112898183,0.011755344789756058
