output,driver,S1,S1_conf,ST,ST_conf,S2,S2_conf
gs(std1),PPFD,0.0016841776547641763,0.0009035509252181218,0.015915158819218313,0.002372771976485534,,
gs(std1),Tair,0.042444174902408004,0.0038946334983569323,0.1915359411803021,0.008149087167710477,,
gs(std1),VPD,0.09648759198669343,0.010179463382455118,0.30838449091607356,0.014388379557852276,,
gs(std1),CO2,0.00033421080352516463,0.0019768909103850124,0.03563300746234836,0.0029810558231913313,,
gs(std1),Ps,0.5255794058186034,0.01778587336082868,0.832494807444012,0.02645400360654632,,
gs(std1),PPFD-Tair,,,,,0.0012803785411144783,0.0016675930530206733
gs(std1),PPFD-VPD,,,,,0.001392399964278715,0.002476757242140475
gs(std1),PPFD-CO2,,,,,0.0003637148548674638,0.0015907146150680237
gs(std1),PPFD-Ps,,,,,0.005889819082323666,0.002939894781194488
gs(std1),Tair-VPD,,,,,0.01470999959932795,0.009445905432076943
gs(std1),Tair-CO2,,,,,0.002467838488500497,0.005974508540268542
gs(std1),Tair-Ps,,,,,0.0913551453739807,0.010143420418617329
gs(std1),VPD-CO2,,,,,0.0024128776773374577,0.018922648739058107
gs(std1),VPD-Ps,,,,,0.1481772496348912,0.033364596680594494
gs(std1),CO2-Ps,,,,,0.007442904703865438,0.006323644682159045
gs(tuz),PPFD,0.00855104251363986,0.001272551089294266,0.02632527285876655,0.0016597831029336468,,
gs(tuz),Tair,0.12454349934770063,0.005085398198046119,0.2687120678458665,0.00640754158335485,,
gs(tuz),VPD,0.5500599821235377,0.008980317988686363,0.7152506824320136,0.009194859582751711,,
gs(tuz),CO2,0.006596886364631742,0.001757382088900496,0.04382950656607583,0.001556084198735506,,
gs(tuz),Ps,0.12412023280895429,0.0035979327510071504,0.1559709610259875,0.0023460260582864644,,
gs(tuz),PPFD-Tair,,,,,0.0022566689856644423,0.0020250321663649925
gs(tuz),PPFD-VPD,,,,,0.009254611199827734,0.002604224226277179
gs(tuz),PPFD-CO2,,,,,0.00011843283423270453,0.0018804196203308626
gs(tuz),PPFD-Ps,,,,,0.0006698425622058413,0.0019981686603305826
gs(tuz),Tair-VPD,,,,,0.10761897423356426,0.00956221721537933
gs(tuz),Tair-CO2,,,,,0.007058006739811366,0.006587501800167404
gs(tuz),Tair-Ps,,,,,0.010284792126011633,0.006561850631939507
gs(tuz),VPD-CO2,,,,,0.0161028375269967,0.013170000181354074
gs(tuz),VPD-Ps,,,,,0.008812745183458592,0.014824582161600092
gs(tuz),CO2-Ps,,,,,0.0013045907801967627,0.003272293594767548
gs(sox1),PPFD,-0.00017324750229747842,0.0004045555697354145,0.0024812807277923335,0.0001892638660410303,,
gs(sox1),Tair,0.13393831568299214,0.004822697987794578,0.2346849340439775,0.008204563692486167,,
gs(sox1),VPD,0.6474335163157016,0.01659219055696122,0.7778583259536036,0.016659445633105265,,
gs(sox1),CO2,0.027164791037936425,0.0022496116786127895,0.05752295983504067,0.0018415839210761205,,
gs(sox1),Ps,0.04813970562152961,0.0026365700536410373,0.07997202331862802,0.002313388625094983,,
gs(sox1),PPFD-Tair,,,,,0.0015914612600967104,0.0005058246261485912
gs(sox1),PPFD-VPD,,,,,0.0001640172909156412,0.001259031459397993
gs(sox1),PPFD-CO2,,,,,0.0003196462424679587,0.0005923573032075109
gs(sox1),PPFD-Ps,,,,,0.00029029394495041355,0.0006228680263465053
gs(sox1),Tair-VPD,,,,,0.0818807663147606,0.0152216530737848
gs(sox1),Tair-CO2,,,,,0.0036053615921514404,0.006053010870732734
gs(sox1),Tair-Ps,,,,,0.005599912676697405,0.0060771642625834146
gs(sox1),VPD-CO2,,,,,0.018724362872172856,0.030883169702973955
gs(sox1),VPD-Ps,,,,,0.019349883716656996,0.030995620784263093
gs(sox1),CO2-Ps,,,,,0.0023201249312092,0.004469778137122238
gs(sox2),PPFD,0.004173575868110696,0.0008808348191249436,0.013316420380700904,0.0010326199992871437,,
gs(sox2),Tair,0.04048292167220334,0.0023358680494229337,0.09511571985406518,0.004160659411096266,,
gs(sox2),VPD,0.77313494070031,0.019480803344635585,0.917361333395277,0.020003858184495314,,
gs(sox2),CO2,0.017744416307553586,0.002726748789114683,0.07965060640689661,0.0032800010331122008,,
gs(sox2),Ps,0.015985768164375105,0.0020199131343807,0.045251039296274956,0.0023806578801776213,,
gs(sox2),PPFD-Tair,,,,,0.0010182594383076407,0.0013895022640721358
gs(sox2),PPFD-VPD,,,,,0.005354799435389301,0.0038559576927627397
gs(sox2),PPFD-CO2,,,,,0.00033762944515418336,0.0013417441826640085
gs(sox2),PPFD-Ps,,,,,0.0002800654930414023,0.001432078459453899
gs(sox2),Tair-VPD,,,,,0.04801150340975813,0.011521096681616178
gs(sox2),Tair-CO2,,,,,-6.710697526194492e-05,0.00400690177145988
gs(sox2),Tair-Ps,,,,,-3.3249565783381035e-05,0.0037760386897119675
gs(sox2),VPD-CO2,,,,,0.055099227712651015,0.036096704622323006
gs(sox2),VPD-Ps,,,,,0.02599411103714425,0.03286068483273753
gs(sox2),CO2-Ps,,,,,0.001711679019445269,0.005137098737424908
gs(wue),PPFD,0.02039064414319636,0.0022119327658966033,0.059343040214522025,0.0032860037877458282,,
gs(wue),Tair,0.1584838691759878,0.0053354768819794144,0.3011007890047535,0.010633677897852552,,
gs(wue),VPD,0.6049526646902935,0.020268342053095155,0.7995550270840147,0.014817274180474868,,
gs(wue),CO2,0.008962491019861515,0.0034492149512450423,0.09728203986087564,0.003943723758223905,,
gs(wue),Ps,0.0004589297296460807,0.001025053224267308,0.014787181407991791,0.0010275194352377275,,
gs(wue),PPFD-Tair,,,,,0.005649008474833989,0.0030300145709935516
gs(wue),PPFD-VPD,,,,,0.014340397254355208,0.006963514030554575
gs(wue),PPFD-CO2,,,,,-0.00039289449613903044,0.0029030727673349213
gs(wue),PPFD-Ps,,,,,-0.0006601638339785138,0.002823782649305395
gs(wue),Tair-VPD,,,,,0.09809366415666243,0.016953050319511866
gs(wue),Tair-CO2,,,,,0.007933843970856367,0.00666673376041765
gs(wue),Tair-Ps,,,,,0.00011108654564713071,0.00642830096654415
gs(wue),VPD-CO2,,,,,0.048251869736058384,0.0367271498639346
gs(wue),VPD-Ps,,,,,-0.00419692158562653,0.03559440636813612
gs(wue),CO2-Ps,,,,,0.000732946588191068,0.005832768462390541
gs(cmax),PPFD,-0.00023686503356946728,0.0012648757525950331,0.02209661357347231,0.0018442810494511913,,
gs(cmax),Tair,0.006859680321575988,0.002027533334767237,0.05052960523647804,0.00327068321940721,,
gs(cmax),VPD,0.8547697710402288,0.029037306726656935,0.990457200509519,0.023462990920279703,,
gs(cmax),CO2,-0.0020851931930482817,0.003032222461254058,0.12256033540237515,0.0069633901266331535,,
gs(cmax),Ps,0.0007247310134299067,0.002012665881373465,0.04272143636815244,0.003831880822238274,,
gs(cmax),PPFD-Tair,,,,,0.0009967271247296374,0.0018340317669990034
gs(cmax),PPFD-VPD,,,,,0.004822376551316898,0.00889629202922874
gs(cmax),PPFD-CO2,,,,,0.0007599931799198557,0.0017849717039735134
gs(cmax),PPFD-Ps,,,,,0.0008361284427187733,0.0018358219613615826
gs(cmax),Tair-VPD,,,,,0.005852077763948249,0.010719199896032159
gs(cmax),Tair-CO2,,,,,0.0012806980018423646,0.0033067162987528444
gs(cmax),Tair-Ps,,,,,0.0005197662544404466,0.0032160793056975933
gs(cmax),VPD-CO2,,,,,0.0800460356601525,0.05771711468595659
gs(cmax),VPD-Ps,,,,,0.004343543479414065,0.053137553322586704
gs(cmax),CO2-Ps,,,,,0.002549860355454896,0.0036939504353043543
gs(pmax),PPFD,0.0023504559744371915,0.0011986929287410044,0.021977406556414454,0.0023725078610743987,,
gs(pmax),Tair,0.015542014128903452,0.0025613272160686863,0.08674637053371236,0.009943596468736236,,
gs(pmax),VPD,0.7545989447149806,0.033993970564550405,0.9515022426018593,0.0368806954431812,,
gs(pmax),CO2,0.008437486479152614,0.002093773746900186,0.07066578685426995,0.0053485667905677405,,
gs(pmax),Ps,0.025566742358898158,0.0029758879750833266,0.13097400139501644,0.011348961956628423,,
gs(pmax),PPFD-Tair,,,,,-0.0008957977603115969,0.0017485234376888254
gs(pmax),PPFD-VPD,,,,,-0.00344036908873091,0.008593069738007006
gs(pmax),PPFD-CO2,,,,,-0.0010954944715990816,0.0018153393606262368
gs(pmax),PPFD-Ps,,,,,-0.0010568042600308906,0.0017818494235035517
gs(pmax),Tair-VPD,,,,,0.026601142663691513,0.015841776551758082
gs(pmax),Tair-CO2,,,,,-0.0004704108803437867,0.003438068167895001
gs(pmax),Tair-Ps,,,,,-0.00027484582098206284,0.0033261784703378155
gs(pmax),VPD-CO2,,,,,0.035373803798040934,0.06001990478739063
gs(pmax),VPD-Ps,,,,,0.08377075988408317,0.06555695847260141
gs(pmax),CO2-Ps,,,,,-0.0006678282141943104,0.003411862937406466
gs(cgn),PPFD,0.005653810893706989,0.0015288310493235333,0.038371377338721126,0.00350302996582435,,
gs(cgn),Tair,0.04506839064813495,0.0034248794246455392,0.1413316220103306,0.006595294212811332,,
gs(cgn),VPD,0.722777501340177,0.02460338870719389,0.9096618468068352,0.022782444563228605,,
gs(cgn),CO2,-0.0008783578050996417,0.0020743796109537194,0.05049322701783435,0.002417266598830266,,
gs(cgn),Ps,0.02415099873357113,0.0031010004850882083,0.11006052448784212,0.009611840155723233,,
gs(cgn),PPFD-Tair,,,,,0.001959267295132905,0.0025602315095461605
gs(cgn),PPFD-VPD,,,,,0.008262306110235706,0.009356373967604149
gs(cgn),PPFD-CO2,,,,,0.0002645442959328631,0.0025246721818483506
gs(cgn),PPFD-Ps,,,,,0.0004748061353149202,0.0026845602384297272
gs(cgn),Tair-VPD,,,,,0.06654345066702838,0.014325332028098256
gs(cgn),Tair-CO2,,,,,0.0009705936800980587,0.004855321809260005
gs(cgn),Tair-Ps,,,,,0.0013866241563300456,0.004636988033211838
gs(cgn),VPD-CO2,,,,,0.023322492864858595,0.03965023234503628
gs(cgn),VPD-Ps,,,,,0.06107443438224175,0.046831587486071635
gs(cgn),CO2-Ps,,,,,0.003992247055505518,0.0033785843845070655
gs(pmax2),PPFD,0.008348036428475975,0.0016347137233605406,0.03779294246701825,0.002839302611382232,,
gs(pmax2),Tair,0.06199724175692464,0.006295475650977467,0.196170242280128,0.0371755636569159,,
gs(pmax2),VPD,0.6525937696469194,0.03177158506357724,0.8530825990154425,0.04634457691815694,,
gs(pmax2),CO2,0.038625109512143034,0.0038395582083464285,0.16144651589872808,0.019210619765615583,,
gs(pmax2),Ps,0.013128474380765892,0.002105073947447471,0.08333055869004267,0.03785508988462308,,
gs(pmax2),PPFD-Tair,,,,,0.0019135905135517634,0.0025493123032431487
gs(pmax2),PPFD-VPD,,,,,0.006637631987126413,0.010386873735873636
gs(pmax2),PPFD-CO2,,,,,7.321040608534307e-05,0.0026565815008301177
gs(pmax2),PPFD-Ps,,,,,-0.00012117241227112448,0.0024694027296666326
gs(pmax2),Tair-VPD,,,,,0.04092610024193988,0.026547705067564095
gs(pmax2),Tair-CO2,,,,,0.002750818546195459,0.006184102766621463
gs(pmax2),Tair-Ps,,,,,-0.0002837616758334105,0.006011729558017149
gs(pmax2),VPD-CO2,,,,,0.06080252710946433,0.04271534850759101
