doy,hod,A(std),A(tuz),A(sox1),A(sox2),A(wue),A(cmax),A(pmax),A(cgn),A(pmax2),A(lcst),A(cap),A(mes),E(std),E(tuz),E(sox1),E(sox2),E(wue),E(cmax),E(pmax),E(cgn),E(pmax2),E(lcst),E(cap),E(mes),gs(std),gs(tuz),gs(sox1),gs(sox2),gs(wue),gs(cmax),gs(pmax),gs(cgn),gs(pmax2),gs(lcst),gs(cap),gs(mes),gb(std),gb(tuz),gb(sox1),gb(sox2),gb(wue),gb(cmax),gb(pmax),gb(cgn),gb(pmax2),gb(lcst),gb(cap),gb(mes),Ci(std),Ci(tuz),Ci(sox1),Ci(sox2),Ci(wue),Ci(cmax),Ci(pmax),Ci(cgn),Ci(pmax2),Ci(lcst),Ci(cap),Ci(mes),Tleaf(std),Tleaf(tuz),Tleaf(sox1),Tleaf(sox2),Tleaf(wue),Tleaf(cmax),Tleaf(pmax),Tleaf(cgn),Tleaf(pmax2),Tleaf(lcst),Tleaf(cap),Tleaf(mes),Pleaf(std),Pleaf(tuz),Pleaf(sox1),Pleaf(sox2),Pleaf(wue),Pleaf(cmax),Pleaf(pmax),Pleaf(cgn),Pleaf(pmax2),Pleaf(lcst),Pleaf(cap),Pleaf(mes),Rublim(std),Rublim(tuz),Rublim(sox1),Rublim(sox2),Rublim(wue),Rublim(cmax),Rublim(pmax),Rublim(cgn),Rublim(pmax2),Rublim(lcst),Rublim(cap),Rublim(mes),Ps(std),Ps(tuz),Ps(sox1),Ps(sox2),Ps(wue),Ps(cmax),Ps(pmax),Ps(cgn),Ps(pmax2),Ps(lcst),Ps(cap),Ps(mes)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa]
89,9,12.51140811,9.305018136,11.3313708,12.05502234,11.94558954,12.90530097,12.08540229,12.18325286,12.14545233,12.1812678,5.526093098,7.376101046,2.653813967,1.343911204,2.174740133,2.373511376,2.314231264,2.941266769,2.390491823,2.446873005,2.425149693,2.445830476,2.228626325,2.623739995,0.160480785,0.078905421,0.130080004,0.142618734,0.13887607,0.179058836,0.143701784,0.147280346,0.145900459,0.147214092,0.13347896,0.158566238,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,22.14395154,16.10143424,20.78229616,21.15451763,20.92559972,23.0490083,21.21862799,21.42672095,21.34603184,21.42247416,28.15455205,27.27439719,21.04406958,21.06693339,21.05243162,21.04896215,21.04999686,21.03905221,21.04866576,21.04768165,21.04806082,21.04769985,21.05149106,21.04459451,-3.936132999,-3.564055207,-4.536258469,-3.828110414,-3.846114178,-4.068160602,-3.864117942,-3.882121706,-3.768097867,-5.688499372,-3.600062735,-4.038154329,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3
89,9,10.00029603,6.582069717,9.549397523,9.827572494,9.263635318,9.095230403,9.747821478,9.451443993,9.862580497,9.547293704,4.82928276,5.475509856,3.110162621,1.509920688,3.032404896,2.996379843,2.662759878,2.570395684,2.945775634,2.768303141,3.018137766,2.825098137,3.037820205,2.951297226,0.110216987,0.052331114,0.107333085,0.106001829,0.093774036,0.090404514,0.104153073,0.097635008,0.106820059,0.099717401,0.107546415,0.104356387,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,19.9247965,14.66562192,20.22511971,19.64000754,18.72149911,18.45261558,19.50713722,19.02399209,19.69619287,19.17943905,27.28840202,26.08682319,27.36952921,27.40279556,27.37114566,27.37189456,27.37882996,27.38075006,27.37294654,27.37663589,27.37144225,27.37545522,27.37103308,27.37283175,-4.068160602,-3.600062735,-5.406440401,-3.990144291,-3.942134253,-3.954136763,-4.020150565,-3.972140527,-3.90012547,-6.894751568,-3.720087829,-4.152178168,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3
89,9,5.725820452,4.980867541,6.45125896,6.053284049,5.126784835,6.179914233,6.097320205,5.341997602,6.07829668,6.217320545,4.467222779,4.103242218,1.672945675,1.191926835,2.759721404,1.997615446,1.26788404,2.156427015,2.050112987,1.393468157,2.027599604,2.208043385,2.71962156,2.498154721,0.062687908,0.044347478,0.105104039,0.075218495,0.047226349,0.081387828,0.077252788,0.052000293,0.076378819,0.083400159,0.103513678,0.094768478,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,20.57125619,17.35503612,25.18236808,22.24132198,17.92957719,22.93849843,22.48079192,18.82341772,22.37715999,23.15007923,28.1029134,28.09858914,26.76987017,26.77980266,26.74742949,26.76316611,26.77823423,26.75988683,26.7620821,26.77564107,26.76254697,26.75882102,26.74825751,26.75283055,-3.678079046,-3.534048933,-5.076371393,-3.744092848,-3.582058971,-3.834111669,-3.774099122,-3.612065245,-3.684080301,-5.250407779,-3.672077792,-3.996145546,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3
89,9,12.50247503,9.289724314,11.32707286,12.04384487,12.01647982,12.72026096,12.15128965,12.20894983,12.13531007,12.15527955,5.524300623,7.364835994,2.654970037,1.343288064,2.17845231,2.37367571,2.358706375,2.807121173,2.434753631,2.468752057,2.425149693,2.43735187,2.186960442,2.641462671,0.16054026,0.078860027,0.130300712,0.142615886,0.14167526,0.170349412,0.146496827,0.148657821,0.145886993,0.146661857,0.130847409,0.159687608,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,22.11994306,16.08422283,20.77298924,21.12945178,21.07214663,22.61202653,21.35636551,21.47938583,21.32242886,21.3648497,27.98991617,27.29935581,21.09455461,21.11749007,21.10288678,21.09947319,21.09973494,21.09189417,21.09840521,21.09781073,21.09857314,21.09835978,21.10273801,21.09479079,-3.936132999,-3.564055207,-4.536258469,-3.828110414,-3.858116688,-4.026151819,-3.876120452,-3.888122961,-3.768097867,-5.670495608,-3.594061481,-4.044155583,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3,-3.3
89,9,11.46173656,1.67912573,10.09114724,10.8583669,11.72760727,11.73390521,10.84501504,11.52581705,10.92982204,10.95945646,4.185304088,5.80765742,2.268417213,0.171016475,1.835172819,1.992974947,2.406076665,2.409329226,1.98773168,2.299660083,2.023111137,2.035155064,1.643114633,1.967197818,0.128407024,0.009261797,0.102918464,0.112147527,0.136612837,0.136807146,0.111846878,0.130270547,0.113924114,0.11463197,0.091777111,0.110642717,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,20.08599484,6.273587604,18.79001577,18.9492677,20.61015732,20.6227663,18.92476092,20.21087272,19.0802708,19.13490939,27.21093789,26.0654751,21.91497383,21.95271795,21.92277035,21.9199306,21.91249656,21.91243803,21.92002496,21.9144116,21.91938828,21.91917154,21.92622657,21.92039448,-4.507814632,-3.841332241,-5.210462735,-4.373484848,-4.564646464,-4.616311766,-4.404484029,-4.523314223,-4.301153426,-6.894751568,-4.078992629,-4.502648102,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8
89,9,3.909525335,1.202813567,4.532235397,4.214952074,3.761982223,4.305380498,4.212776971,3.794615787,4.228200032,4.267890618,3.358305486,2.801448416,0.764524493,0.123292452,1.831311381,1.048415881,0.675592522,1.179797304,1.045752259,0.693479794,1.065800964,1.121611114,1.442903505,1.408277217,0.04317514,0.006867907,0.105852047,0.059571536,0.038080007,0.067228095,0.059416817,0.03910326,0.06058224,0.0638318,0.082693259,0.080647802,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,20.48822304,7.492709233,27.86475268,23.54555098,19.21803468,24.5832558,23.52139291,19.48887602,23.69335469,24.14475403,28.26266783,29.20044636,21.81780954,21.82937938,21.79856137,21.81268725,21.81941415,21.81031672,21.81273531,21.81909141,21.81237357,21.81136658,21.80556946,21.80619423,-4.011827737,-3.830999181,-5.205296205,-4.084159159,-3.985995086,-4.156490581,-4.094492219,-3.991161616,-4.047993448,-4.833306033,-4.042826918,-4.275320775,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8
89,9,11.49677175,8.761580173,10.61899613,11.10575863,10.68092551,11.08484032,11.0604044,10.92517885,11.12629969,11.20639662,5.504069183,6.534651432,3.194768567,1.844442903,2.86455778,2.938838647,2.693117071,2.925068616,2.911335402,2.831387518,2.95176371,3.001749594,3.002280887,3.035592111,0.133922743,0.075647197,0.119426953,0.122678291,0.111978864,0.122083829,0.121483411,0.117993417,0.123251712,0.125441283,0.125464575,0.126925745,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,21.23229019,16.72414758,20.80178569,20.5362001,19.80204758,20.49910872,20.45634423,20.22113976,20.57180812,20.71293058,28.03700601,26.80699936,25.46328952,25.49018721,25.46986713,25.46838749,25.47328212,25.46866179,25.46893534,25.47052786,25.46813004,25.46713435,25.46712376,25.46646022,-3.952520353,-3.557755578,-4.939432291,-3.84149276,-3.816819961,-3.921679355,-3.872333758,-3.853829159,-3.755137965,-6.876246969,-3.594764775,-4.032706948,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2
89,9,11.47510546,8.764100147,10.59161283,11.06748984,10.67650702,11.13480404,11.05121042,10.91742714,11.1348083,11.12499931,5.48749245,6.500277856,3.234625976,1.880315169,2.896065609,2.967221343,2.739485373,3.008487882,2.956640888,2.876923258,3.009157245,3.002957908,3.002280887,3.053857699,0.133144581,0.075751076,0.118555179,0.121608131,0.11187829,0.12339421,0.121166933,0.117749579,0.12342299,0.123156474,0.123127371,0.125346278,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,21.14282993,16.70601694,20.69990877,20.42577095,19.75614582,20.54203179,20.39681397,20.16617363,20.54203174,20.5249473,27.88953408,26.71393252,25.44810355,25.47505355,25.45484071,25.45342475,25.45795656,25.45260357,25.4536353,25.45522163,25.45259025,25.45271361,25.45272709,25.45170074,-3.964856752,-3.563923777,-4.970273289,-3.847660959,-3.829156361,-3.946352153,-3.884670157,-3.866165558,-3.767474364,-6.882415169,-3.594764775,-4.038875147,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2
89,11.5,7.995255395,0.405207367,7.932795218,8.027935111,8.456793649,6.927072353,7.97139175,8.061250257,8.17363309,7.542353289,3.446109601,3.955863983,2.253540664,0.069379773,2.403592048,2.269195023,2.497179867,1.770594756,2.240930633,2.286183785,2.343671878,2.035155064,2.141108031,2.107853483,0.075019813,0.002243767,0.080170708,0.075547872,0.083402284,0.058561948,0.074586362,0.076138824,0.078113745,0.067550719,0.071168492,0.070031906,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,18.52121478,7.417782029,19.71012013,18.57792313,19.3078314,16.76749056,18.48126061,18.63272759,18.82314267,17.76719634,27.75778151,26.48390209,29.26220876,29.30943207,29.25896453,29.2618703,29.25694108,29.27265044,29.2624814,29.26150299,29.26026005,29.26693043,29.26463964,29.26535863,-4.502648102,-3.81549959,-6.099105923,-4.471648921,-4.600812175,-4.363151788,-4.497481572,-4.518147693,-4.394150969,-6.894751568,-4.171990172,-4.564646464,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8
