doy,hod,A(std),A(tuz),A(sox1),A(sox2),A(wue),A(cmax),A(pmax),A(cgn),A(pmax2),A(lcst),A(cap),A(mes),E(std),E(tuz),E(sox1),E(sox2),E(wue),E(cmax),E(pmax),E(cgn),E(pmax2),E(lcst),E(cap),E(mes),gs(std),gs(tuz),gs(sox1),gs(sox2),gs(wue),gs(cmax),gs(pmax),gs(cgn),gs(pmax2),gs(lcst),gs(cap),gs(mes),gb(std),gb(tuz),gb(sox1),gb(sox2),gb(wue),gb(cmax),gb(pmax),gb(cgn),gb(pmax2),gb(lcst),gb(cap),gb(mes),Ci(std),Ci(tuz),Ci(sox1),Ci(sox2),Ci(wue),Ci(cmax),Ci(pmax),Ci(cgn),Ci(pmax2),Ci(lcst),Ci(cap),Ci(mes),Tleaf(std),Tleaf(tuz),Tleaf(sox1),Tleaf(sox2),Tleaf(wue),Tleaf(cmax),Tleaf(pmax),Tleaf(cgn),Tleaf(pmax2),Tleaf(lcst),Tleaf(cap),Tleaf(mes),Pleaf(std),Pleaf(tuz),Pleaf(sox1),Pleaf(sox2),Pleaf(wue),Pleaf(cmax),Pleaf(pmax),Pleaf(cgn),Pleaf(pmax2),Pleaf(lcst),Pleaf(cap),Pleaf(mes),Rublim(std),Rublim(tuz),Rublim(sox1),Rublim(sox2),Rublim(wue),Rublim(cmax),Rublim(pmax),Rublim(cgn),Rublim(pmax2),Rublim(lcst),Rublim(cap),Rublim(mes),Ps(std),Ps(tuz),Ps(sox1),Ps(sox2),Ps(wue),Ps(cmax),Ps(pmax),Ps(cgn),Ps(pmax2),Ps(lcst),Ps(cap),Ps(mes)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa]
75,9,6.663062384,6.954482874,6.196848925,6.0159378,6.410808229,5.254909369,6.038468974,6.161240475,6.181614561,6.141910689,5.087162285,5.170203137,5.761086017,7.673340716,4.187489265,3.516361694,4.664570482,2.248457381,3.569888645,3.880838892,3.9360946,3.828961871,4.759631141,4.75360073,0.192686452,0.263525899,0.137101105,0.11410652,0.153710127,0.071758866,0.115929308,0.126549157,0.128445509,0.124771299,0.157043548,0.156831831,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,32.17827498,33.46917517,30.51342035,29.33059566,31.05930665,26.1115134,29.42741909,29.96203173,30.0511317,29.87762088,32.60655751,32.50871916,30.92001327,30.87729037,30.95517,30.97016409,30.94451123,30.99849115,30.96896821,30.96202107,30.96078657,30.96318009,30.94238742,30.94252214,-4.036893136,-0.743649413,-6.272203643,-2.449993311,-4.071020014,-1.97221702,-2.46705675,-2.671818018,-1.323806339,-0.64126878,-0.64126878,-0.777776291,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
75,9,6.358182269,6.657889824,5.978833319,5.829425397,6.175883943,4.974183587,5.8215576,5.905078569,5.943032344,5.975665174,4.716816801,4.825492579,5.16957054,6.940052325,3.983186685,3.409403824,4.422383032,2.022573633,3.390499409,3.596647716,3.696829168,3.786523673,4.472165873,4.365639219,0.179382773,0.247044047,0.13590712,0.115404715,0.151840105,0.067172403,0.114742679,0.12206874,0.125644178,0.128853827,0.153657143,0.149772101,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,32.05355872,33.39448205,30.7141992,29.69058538,31.23463656,25.98953132,29.65380453,30.02440913,30.19328806,30.33870931,32.89359958,32.64710686,31.46611249,31.42628242,31.49280226,31.5057105,31.48292177,31.53690966,31.50613579,31.50149812,31.49924437,31.49722653,31.48180182,31.48419832,-3.711712838,-0.805515858,-5.975843044,-2.478268771,-3.965160249,-1.903787972,-2.461372277,-2.596544229,-1.363100162,-0.737929881,-0.721033387,-0.839308846,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
75,9,6.664692849,6.963912549,6.180446408,5.996750035,6.315809737,4.976768288,5.957433411,6.063846619,6.134111966,6.139504519,5.25005016,5.282164347,6.166933127,8.30851674,4.389606433,3.688024321,4.618849944,2.05277176,3.592586647,3.857275588,4.048417948,4.063452741,5.051117472,4.977002998,0.198580295,0.275298258,0.138106417,0.114992497,0.145760951,0.062704993,0.111892874,0.120543004,0.126826062,0.127321577,0.16029619,0.157792486,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,32.33832102,33.64259485,30.58393632,29.42257036,30.80685588,25.14596114,29.24995924,29.70954912,30.0143693,30.03781676,32.54131914,32.42503763,31.02128589,30.97341057,31.06101822,31.07670216,31.05589346,31.1132584,31.07883568,31.07291853,31.06864552,31.06830942,31.04623007,31.04788691,-4.23190983,-0.682450749,-6.609702806,-2.439949905,-3.887302152,-1.716273782,-2.37102837,-2.543332209,-1.251053417,-0.561838062,-0.561838062,-0.699681133,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
75,9,5.195839329,5.246207475,5.124396312,5.051615352,4.99889222,4.779601782,5.054392025,5.054392025,4.991989161,4.935392297,4.811735215,4.711668465,3.345420931,3.914457207,2.991073375,2.364943963,2.138054283,1.531243671,2.379143625,2.379143625,2.111482454,1.916398073,3.809374031,3.568470386,0.186590134,0.221128473,0.165520375,0.129078339,0.116120455,0.082082116,0.129894377,0.129894377,0.114611171,0.103583419,0.214682914,0.200020843,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,33.32213495,33.97487089,32.83086233,31.53562399,30.91477261,28.51552354,31.56867405,31.56867405,30.83479861,30.19029933,34.20441854,34.0289877,28.42944716,28.41724233,28.4370473,28.45047669,28.45534308,28.46835811,28.45017213,28.45017213,28.455913,28.46009722,28.41949618,28.42466314,-2.3134858,-0.521824707,-3.934512503,-1.733328874,-1.886899825,-1.426186973,-1.716265435,-1.716265435,-0.846030047,-0.47063439,-0.573015024,-0.658332219,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
75,9,6.986165448,7.209789689,6.514401569,6.398850197,6.749720346,5.403911628,6.393801979,6.509515793,6.548652852,6.486624375,5.365627125,5.476846208,5.458844013,6.82386563,3.898133297,3.424389274,4.442595272,1.915282333,3.411968682,3.700264125,3.806842619,3.637929948,4.52216691,4.584475966,0.218702041,0.279623517,0.152284486,0.13278061,0.175095605,0.072546359,0.132289247,0.14412257,0.148524587,0.141554861,0.178459453,0.181099538,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,32.57849955,33.55324883,30.88035576,30.03206313,31.54531907,25.90059394,30.00775036,30.50467324,30.67343453,30.40622898,32.96287165,32.92854266,30.51242392,30.48217457,30.54700981,30.55750814,30.53494434,30.59095047,30.55778338,30.55139466,30.54903284,30.552776,30.53318101,30.53180022,-3.798004991,-0.692459097,-5.572602645,-2.364676117,-3.849195308,-1.716265435,-2.364676117,-2.552373945,-1.289679461,-0.624205341,-0.624205341,-0.760712852,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
75,9,7.150366604,7.356704489,6.635230701,6.519401152,6.832407615,5.851789706,6.500070727,6.648098958,6.626756309,6.533479175,5.701808195,5.782420526,5.770231387,7.187199664,3.962472217,3.449637457,4.350739523,2.300059281,3.404687993,3.778347118,3.720782311,3.483884659,4.570882205,4.805947668,0.233259375,0.297449326,0.155563304,0.134336601,0.171877574,0.087973524,0.132494817,0.147908364,0.145521894,0.135746502,0.181213607,0.191255723,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,32.77932798,33.71315787,30.89744686,29.97236811,31.35037606,27.14533054,29.8878699,30.53477025,30.44101834,30.03319054,32.72563877,32.91621208,30.12018393,30.0889023,30.16009284,30.17141441,30.15152127,30.19679302,30.17240674,30.16415767,30.16542849,30.17065835,30.1466613,30.14147189,-3.92176292,-0.613529213,-5.506958237,-2.302106834,-3.628846394,-1.905808005,-2.250415683,-2.491641057,-1.164901498,-0.51014691,-0.527377294,-0.682450749,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
75,9,5.95478525,6.278582654,5.599079617,5.402774741,5.657629849,4.260484721,5.423446324,5.442935906,5.546337296,5.552448584,4.656181209,4.674899998,5.669107687,7.889699509,4.38949426,3.620780786,4.389200965,1.791558724,3.673734653,3.726212418,4.024673393,4.041835609,5.02424607,4.950006357,0.168466403,0.241013148,0.128408422,0.104942106,0.128410521,0.050818332,0.106557505,0.108147636,0.117229488,0.117753699,0.14812606,0.145805503,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,32.08754564,33.55563797,30.79330691,29.55692589,30.72209029,24.47400426,29.64729762,29.73647761,30.21052531,30.23868672,32.77696841,32.67963628,32.18573728,32.13530639,32.21479803,32.23225594,32.21480469,32.27379861,32.23105333,32.22986153,32.22308331,32.22269355,32.20038245,32.20206848,-3.902292135,-0.695819697,-6.748679433,-2.444804663,-3.730823021,-1.57031218,-2.479098486,-2.513392309,-1.295961597,-0.61008514,-0.61008514,-0.747260432,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25
75,9,5.840253567,6.184477347,5.509095626,5.307116483,5.586436822,4.352571966,5.273278863,5.353855258,5.478923954,5.464695039,4.4917147,4.523020825,5.50709369,7.804838552,4.356070144,3.577580281,4.425146608,1.960036664,3.491125137,3.700264125,4.06514996,4.019936923,4.997024679,4.922660853,0.160624127,0.234117621,0.125295545,0.101959704,0.127399075,0.054819797,0.099403294,0.10561827,0.116535347,0.115177488,0.144849527,0.142566853,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,31.93124479,33.50212628,30.73895177,29.47132669,30.75836476,25.17167033,29.31261774,29.68346509,30.26083114,30.19511726,32.85114485,32.73964113,32.328005,32.27574614,32.35418336,32.37188898,32.35261232,32.40867766,32.37385528,32.36909872,32.36079992,32.36182822,32.33960578,32.34129708,-3.832131869,-0.743649413,-6.784106812,-2.46705675,-3.832131869,-1.750392313,-2.415866433,-2.552373945,-1.357933217,-0.658332219,-0.658332219,-0.79483973,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
75,9,6.214874113,6.558638956,5.804905906,5.60391762,5.934401806,4.533846007,5.595645004,5.647620236,5.730147993,5.801885673,4.734019626,4.781171287,5.850404865,8.163400918,4.42233913,3.669167963,4.64781916,1.960036664,3.648250422,3.777937074,4.000647249,4.210853155,4.997024679,4.922660853,0.170413807,0.244553692,0.126637302,0.10414301,0.133459261,0.054550009,0.103535433,0.107378373,0.114005074,0.120291509,0.144080429,0.141811276,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,31.89704934,33.4201334,30.42858645,29.17760884,30.64341596,24.57629253,29.13742277,29.36732522,29.73328143,30.05230908,32.55111826,32.41259531,31.67455222,31.62238047,31.70676355,31.72375202,31.70167764,31.76230305,31.72422384,31.72129863,31.7162752,31.71153381,31.69380099,31.69547834,-4.122210331,-0.760712852,-7.005931519,-2.535310506,-4.053956575,-1.750392313,-2.518247067,-2.603564262,-1.340869778,-0.675395658,-0.658332219,-0.79483973,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
