doy,hod,A(std),A(tuz),A(sox1),A(sox2),A(wue),A(cmax),A(pmax),A(cgn),A(pmax2),A(lcst),A(cap),A(mes),E(std),E(tuz),E(sox1),E(sox2),E(wue),E(cmax),E(pmax),E(cgn),E(pmax2),E(lcst),E(cap),E(mes),gs(std),gs(tuz),gs(sox1),gs(sox2),gs(wue),gs(cmax),gs(pmax),gs(cgn),gs(pmax2),gs(lcst),gs(cap),gs(mes),gb(std),gb(tuz),gb(sox1),gb(sox2),gb(wue),gb(cmax),gb(pmax),gb(cgn),gb(pmax2),gb(lcst),gb(cap),gb(mes),Ci(std),Ci(tuz),Ci(sox1),Ci(sox2),Ci(wue),Ci(cmax),Ci(pmax),Ci(cgn),Ci(pmax2),Ci(lcst),Ci(cap),Ci(mes),Tleaf(std),Tleaf(tuz),Tleaf(sox1),Tleaf(sox2),Tleaf(wue),Tleaf(cmax),Tleaf(pmax),Tleaf(cgn),Tleaf(pmax2),Tleaf(lcst),Tleaf(cap),Tleaf(mes),Pleaf(std),Pleaf(tuz),Pleaf(sox1),Pleaf(sox2),Pleaf(wue),Pleaf(cmax),Pleaf(pmax),Pleaf(cgn),Pleaf(pmax2),Pleaf(lcst),Pleaf(cap),Pleaf(mes),Rublim(std),Rublim(tuz),Rublim(sox1),Rublim(sox2),Rublim(wue),Rublim(cmax),Rublim(pmax),Rublim(cgn),Rublim(pmax2),Rublim(lcst),Rublim(cap),Rublim(mes),Ps(std),Ps(tuz),Ps(sox1),Ps(sox2),Ps(wue),Ps(cmax),Ps(pmax),Ps(cgn),Ps(pmax2),Ps(lcst),Ps(cap),Ps(mes)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa]
75,11,3.884000776,4.042313288,3.648637599,3.85400811,3.976250768,3.543275836,3.722707502,3.976250768,3.928953915,4.092683729,2.190286885,2.438815318,1.870942626,2.229214339,1.553375407,1.812486058,2.067363952,1.34642279,1.589913457,2.067363952,1.962210203,2.367765632,1.265311842,1.771205525,0.076740162,0.091992589,0.063370991,0.074267133,0.085079529,0.054741292,0.064905487,0.085079529,0.080608414,0.09794077,0.0513738,0.072527491,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,29.7649982,30.82139522,28.67097248,29.56709107,30.37887242,27.54048131,28.70316428,30.37887242,30.06350779,31.16020416,31.12023431,32.53504684,31.89159151,31.88349023,31.89877237,31.89291334,31.88715001,31.90345201,31.89794617,31.88715001,31.88952776,31.8803573,31.9052861,31.89384678,-2.450049115,-0.829756161,-5.513415482,-1.969024645,-1.943707567,-1.842439258,-2.120927109,-1.943707567,-1.639902638,-0.703170774,-0.627219542,-0.627219542,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45
75,11,3.329125497,3.523157727,3.189025702,3.384475764,3.435264568,2.942865523,3.224699388,3.435264568,3.426609987,3.614657305,1.790625219,1.973398394,1.853072839,2.305202615,1.677650703,1.967961695,2.081386928,1.267642421,1.661741749,2.081386928,2.061099562,2.581236347,1.255570993,1.757570114,0.059316296,0.074233344,0.053571076,0.063078299,0.06682558,0.040261701,0.053054989,0.06682558,0.066156304,0.083430797,0.03987194,0.056186043,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,28.91409004,30.28734696,28.38149613,29.30987605,29.66356354,26.24399065,28.18461159,29.66356354,29.60233463,30.9399091,30.77862248,32.3204764,32.99573816,32.98538012,32.99975698,32.99310612,32.99050761,33.00915004,33.00012145,32.99050761,32.99097238,32.97905634,33.00942659,32.99792607,-2.493454792,-0.878504074,-6.278495535,-2.165417927,-2.014016297,-1.812147458,-2.266352347,-2.014016297,-1.761680248,-0.777569655,-0.676635235,-0.676635235,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
75,11,3.468631273,3.355996096,3.341751563,3.545837236,3.712594456,3.164750323,3.400854956,3.663219471,3.61435449,3.81494318,1.00823734,1.084524553,1.652609888,1.480759542,1.529592631,1.786594259,2.140482897,1.243269042,1.546098622,2.025229552,1.920216091,2.414771604,0.674236278,0.943807669,0.0592813,0.052980791,0.054763712,0.06421032,0.077341259,0.044327539,0.055372197,0.073050897,0.069154557,0.087611527,0.023838945,0.033502409,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,28.52821017,27.77208257,28.13705848,29.05315039,30.1913785,26.50445007,28.07249536,29.85236772,29.5180609,30.89763313,31.22961777,32.80077677,32.50371279,32.50762504,32.50651333,32.50066258,32.49260616,32.51303161,32.50613757,32.49522995,32.49762062,32.48636186,32.52598589,32.51984898,-2.742436899,-1.145658253,-6.378179047,-2.472212821,-2.545910297,-2.251120393,-2.619607773,-2.447646995,-2.128291266,-1.170224079,-0.998263301,-0.998263301,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9
75,13,4.097771411,4.221035124,3.866245149,4.091076838,4.217403653,3.948102528,3.9775073,4.217403653,4.098502324,4.293433761,2.281896419,2.545634001,1.678293571,1.938045407,1.385095361,1.66504049,1.930167811,1.429870101,1.474011187,1.930167811,1.679222236,2.125196691,1.081616461,1.514065535,0.088869728,0.10321028,0.072876078,0.088142776,0.102773045,0.075310144,0.077709248,0.102773045,0.088923139,0.113642302,0.056541778,0.079890208,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,30.48346783,31.30769066,29.3941529,30.43894274,31.28321923,29.49477618,29.68774436,31.28321923,30.48784592,31.79619613,31.48594532,32.82254189,31.59499187,31.58914044,31.60159674,31.59529042,31.5893179,31.6005881,31.59959373,31.5893179,31.59497095,31.58492448,31.60843321,31.59869143,-2.244273883,-0.803579435,-4.771808001,-1.865143765,-1.865143765,-1.96624513,-2.016795812,-1.865143765,-1.486013647,-0.702478071,-0.626652047,-0.626652047,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.475,-0.475,-0.475,-0.475,-0.475,-0.475,-0.475,-0.475,-0.475,-0.475,-0.475,-0.475
75,13,2.031216431,2.110430149,2.176243461,2.285580948,2.206525224,1.818480813,2.195176307,2.206525224,2.362134417,2.451123761,0.647782122,0.627165877,1.319865482,1.46425721,1.673361093,1.868969971,1.669811002,1.011199913,1.643555678,1.669811002,2.096312084,2.414771604,0.674236278,0.943807669,0.028939559,0.032146937,0.036809213,0.041187521,0.036730488,0.022106476,0.036144047,0.036730488,0.046297492,0.053491268,0.014693703,0.020620206,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,26.76229128,27.48337072,28.51145288,29.08593315,28.35988664,24.85890485,28.25608776,28.35988664,29.78944322,30.61033496,30.97626313,33.14021839,35.64404983,35.64065162,35.63573043,35.63112684,35.63581398,35.65131417,35.63643189,35.63581398,35.62577642,35.61828158,35.65924449,35.65290022,-2.349383694,-1.145658253,-7.31168041,-2.570476122,-2.152857092,-1.980896314,-2.742436899,-2.152857092,-2.251120393,-1.170224079,-0.998263301,-0.998263301,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9
75,13,1.251049236,1.284952688,1.349630623,1.315298033,1.244638876,1.301015489,1.312736265,1.257785909,1.306670834,1.309944331,1.350632306,0.94014652,0.45757305,0.573468771,1.163192549,0.741370933,0.440629041,0.651457418,0.723743943,0.47676475,0.684693681,0.705008243,1.069033532,0.750824649,0.028306015,0.035579541,0.073263748,0.046193436,0.027246087,0.040498205,0.045074668,0.029507452,0.042600306,0.043886895,0.067169214,0.046793485,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,30.92699804,32.20725499,35.01036387,33.41770674,30.69317822,32.84022479,33.31314125,31.17555488,33.06722477,33.19964137,34.74148371,34.76500309,30.91334507,30.91075456,30.89757301,30.9070016,30.91372381,30.90901136,30.9073956,30.9129161,30.90826846,30.90781438,30.89967766,30.90679029,-1.002702385,-0.65060053,-3.995568153,-1.15360318,-0.85180159,-1.203903445,-1.279353843,-0.876951723,-0.95240212,-0.625450398,-0.700900795,-0.625450398,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55
75,13,1.944934116,2.278854139,2.062306794,2.164846732,2.016755342,1.689595076,2.077034089,2.044003847,2.193221264,2.259394384,1.21076662,1.286666722,1.44967082,2.449580137,1.799068808,2.020949023,1.608589962,1.023658329,1.761361922,1.675394332,2.117215463,2.367765632,1.444434003,1.771205525,0.029542983,0.050356823,0.036772889,0.041388464,0.032825055,0.020782538,0.035990631,0.034208262,0.043397189,0.048639854,0.029433008,0.03619489,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,27.45754609,30.71000027,28.99946832,29.59711996,28.15551395,25.02166561,28.74072649,28.41980472,29.87336223,30.51988203,31.41700808,32.29485288,36.09169708,36.06807428,36.08344257,36.07820066,36.08794262,36.1017616,36.08433339,36.08636437,36.07592638,36.07000714,36.0918208,36.08410084,-1.969024645,-0.855073239,-6.90585474,-2.171561264,-1.589268484,-1.488000174,-2.323463728,-1.639902638,-1.741170948,-0.703170774,-0.652536619,-0.627219542,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45
75,13,1.966487961,2.270482578,2.084696271,2.189382154,2.038376533,1.706659052,2.083100558,2.066396041,2.217647722,2.284980831,1.156229378,1.225662103,1.439430206,2.291551847,1.78412974,2.006890363,1.595106617,1.015131299,1.704056758,1.661309388,2.099315709,2.349360055,1.255570993,1.757570114,0.029728093,0.047682773,0.036956719,0.041651393,0.03298634,0.020885319,0.035273437,0.034375551,0.043607986,0.048910828,0.025886984,0.036398416,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,27.40607206,30.33574215,28.94618266,29.55488223,28.09755674,24.95441483,28.5270085,28.36655501,29.82476509,30.47597415,30.86041789,32.60012066,36.01682618,35.99671056,36.00868902,36.00343042,36.0131512,36.02684239,36.01057927,36.01158838,36.00124858,35.9953459,36.02116645,36.009316,-2.014016297,-0.878504074,-6.934569264,-2.215885137,-1.635512223,-1.534577803,-2.316819557,-1.685979433,-1.786913853,-0.75233605,-0.676635235,-0.676635235,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
75,13,4.561559302,4.581800907,4.289047331,4.517010198,4.612127669,4.480933874,4.421939924,4.651875807,4.528542432,4.561059459,2.731834068,3.067234,1.428956962,1.47159811,1.10593347,1.341671225,1.541367329,1.278465649,1.186828688,1.642044526,1.363558922,1.427136058,0.905816493,1.267977682,0.118542818,0.122257534,0.090756914,0.110986061,0.128355829,0.105525117,0.097661487,0.137206575,0.112870576,0.118386183,0.073844402,0.104622668,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,31.67340978,31.83288217,30.29435165,31.32493274,32.07407154,31.04817624,30.60110527,32.39407025,31.41524226,31.66936352,31.99748091,33.19892649,30.22099328,30.22005087,30.22813241,30.22292238,30.2185089,30.22431928,30.22634455,30.21628383,30.22243864,30.22103352,30.23255519,30.22455107,-1.943707567,-0.703170774,-3.614634676,-1.563951406,-1.538634329,-1.766488025,-1.665219716,-1.614585561,-1.260146477,-0.601902464,-0.576585387,-0.576585387,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45
