doy,hod,A(std),A(tuz),A(sox1),A(sox2),A(wue),A(cmax),A(pmax),A(cgn),A(pmax2),A(lcst),A(cap),A(mes),E(std),E(tuz),E(sox1),E(sox2),E(wue),E(cmax),E(pmax),E(cgn),E(pmax2),E(lcst),E(cap),E(mes),gs(std),gs(tuz),gs(sox1),gs(sox2),gs(wue),gs(cmax),gs(pmax),gs(cgn),gs(pmax2),gs(lcst),gs(cap),gs(mes),gb(std),gb(tuz),gb(sox1),gb(sox2),gb(wue),gb(cmax),gb(pmax),gb(cgn),gb(pmax2),gb(lcst),gb(cap),gb(mes),Ci(std),Ci(tuz),Ci(sox1),Ci(sox2),Ci(wue),Ci(cmax),Ci(pmax),Ci(cgn),Ci(pmax2),Ci(lcst),Ci(cap),Ci(mes),Tleaf(std),Tleaf(tuz),Tleaf(sox1),Tleaf(sox2),Tleaf(wue),Tleaf(cmax),Tleaf(pmax),Tleaf(cgn),Tleaf(pmax2),Tleaf(lcst),Tleaf(cap),Tleaf(mes),Pleaf(std),Pleaf(tuz),Pleaf(sox1),Pleaf(sox2),Pleaf(wue),Pleaf(cmax),Pleaf(pmax),Pleaf(cgn),Pleaf(pmax2),Pleaf(lcst),Pleaf(cap),Pleaf(mes),Rublim(std),Rublim(tuz),Rublim(sox1),Rublim(sox2),Rublim(wue),Rublim(cmax),Rublim(pmax),Rublim(cgn),Rublim(pmax2),Rublim(lcst),Rublim(cap),Rublim(mes),Ps(std),Ps(tuz),Ps(sox1),Ps(sox2),Ps(wue),Ps(cmax),Ps(pmax),Ps(cgn),Ps(pmax2),Ps(lcst),Ps(cap),Ps(mes)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa]
75,9,9.31066315,3.240549915,8.830984806,8.903036547,9.447844204,8.402066561,8.948502867,9.319737753,9.144904036,9.446327446,5.895887112,6.965874684,6.826055878,0.656102871,5.52708776,5.451635396,7.41101927,4.283990891,5.578064308,6.85618386,6.200905246,7.40353169,4.583515238,6.422556465,0.256842621,0.022548904,0.203871326,0.200844434,0.281386378,0.155135295,0.20593906,0.258099989,0.231104235,0.28106946,0.166720571,0.240175244,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,31.78032716,15.00738514,30.6812986,30.5253129,32.20502389,28.98861859,30.66012413,31.80836872,31.26696473,32.2003581,32.09305457,33.05591102,30.92450072,31.06224331,30.95349984,30.9551843,30.91144157,30.98125166,30.95236181,30.92382812,30.93845705,30.91160873,30.97456485,30.93350874,-1.717553904,-1.635163038,-2.587235264,-1.479535847,-1.836562932,-1.241517791,-1.479535847,-1.680935741,-0.966881572,-0.957727031,-0.747172597,-0.893645247,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
75,9,11.55633831,6.650941013,11.02025926,11.32058416,11.44835408,11.04531321,11.35531521,11.61056026,11.27662149,11.3625178,8.528893517,9.785514014,5.340168182,0.72518544,3.77201216,4.331699737,4.822611685,3.541962577,4.452779023,5.634972547,4.181863191,4.477997568,3.519693381,5.121846025,0.492198377,0.057231757,0.328864376,0.384951407,0.436322623,0.306436974,0.397609244,0.52505648,0.369884756,0.400216978,0.304278829,0.468402457,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,33.7042573,19.21276923,32.13629644,32.77952438,33.27441472,31.74066614,32.91080558,33.92235017,32.60778949,32.93877621,33.13370715,34.20687326,26.90678164,27.00257157,26.93933074,26.9277137,26.91752419,26.94410572,26.92520055,26.90066259,26.93082376,26.9246771,26.94456795,26.9113132,-1.271685883,-1.591454455,-1.647884203,-1.111801597,-1.177636303,-0.951917311,-1.111801597,-1.290495799,-0.660363614,-0.622743782,-0.53809916,-0.660363614,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35
75,9,10.14283424,4.64961596,9.62534573,9.796665065,10.0073018,9.504602283,9.860698546,10.15426458,9.906898639,9.989168843,7.567118682,8.42061662,6.862780003,0.785218456,5.216607046,5.413740157,6.220280044,4.560692893,5.639277378,6.917093966,5.811455657,6.139697534,4.846326955,6.334144252,0.358016912,0.036299485,0.262965688,0.274015279,0.320153426,0.226883898,0.286775475,0.361266427,0.296583349,0.315475847,0.242489685,0.32678976,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,33.0021761,17.42159153,31.71239743,31.84484965,32.54634996,30.88498771,32.05640068,33.04089448,32.21039143,32.48569484,32.67490475,33.49880407,29.98697942,30.12088609,30.02324948,30.01890605,30.00113559,30.03770121,30.0139368,29.98578272,30.0101432,30.00291106,30.03140785,29.99862683,-1.43691596,-1.590066406,-2.09737726,-1.20719029,-1.322053125,-1.025324135,-1.216762193,-1.408200251,-0.68073563,-0.623304213,-0.508441378,-0.632876116,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25
75,9,3.628167626,3.336825823,3.697307847,3.669924608,3.530089414,3.586452164,3.671127521,3.66026398,3.644649616,3.608403647,3.742833086,3.481375125,1.614188727,0.553699653,3.138827474,2.252560919,0.97298033,1.25821302,2.27990734,2.065308569,1.818336441,1.423875172,5.916720454,2.703179051,0.185285533,0.060660144,0.386893689,0.266196865,0.108549156,0.142144225,0.269776297,0.241974441,0.210649201,0.162048674,0.842163103,0.326267187,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,34.7108682,29.09628091,36.30052745,35.6297676,32.65744224,33.81731813,35.65608473,35.41563932,35.07146591,34.28409201,37.11257315,36.13226026,25.99953414,26.02111222,25.96851188,25.986545,26.012581,26.00677728,25.98598857,25.99035508,25.99538029,26.00340651,25.91198929,25.97737614,-0.518013281,-1.168902678,-1.302909319,-0.642448019,-0.412722349,-0.460581864,-0.632876116,-0.585016601,-0.384006641,-0.336147126,-0.565872796,-0.412722349,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25
75,9,8.425633863,2.668797876,8.046735741,8.034415606,8.525328144,7.263546409,8.079257898,8.42168533,8.281303816,8.641326528,5.459275714,6.338240033,7.222730641,0.656060229,6.137691393,5.817541145,7.658708543,4.030863046,5.951961645,7.200641865,6.640883144,8.230902912,5.149339631,6.948557799,0.217862788,0.018294416,0.18264374,0.172426041,0.232264503,0.116940311,0.176734289,0.217129842,0.198867423,0.25141499,0.151414209,0.208874138,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,31.43732986,14.69038054,30.60100367,30.20673093,31.75329925,27.77648898,30.34244085,31.42634132,30.98255041,32.11756316,32.00319795,32.87152644,31.94781833,32.09654091,31.9723924,31.9796432,31.93794426,32.02010805,31.97659883,31.9483186,31.96099607,31.92498515,31.99477669,31.95402782,-1.743321832,-1.577037596,-2.833407376,-1.493895478,-1.826463949,-1.142850981,-1.493895478,-1.687893753,-0.948852707,-0.95809072,-0.727140393,-0.874948602,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45
75,9,11.26996692,5.018471927,10.61912309,10.85496363,11.22579688,10.34725544,10.88883339,11.29484493,10.83328974,11.03657025,8.120130032,9.210790553,6.927229803,0.729168265,4.935281278,5.310146576,6.704963852,4.074674294,5.412690463,7.038777341,5.242922577,5.919798466,4.442473574,6.111168202,0.410026125,0.037649685,0.278958654,0.302712239,0.394860331,0.225983566,0.3093577,0.417797717,0.298498286,0.34230226,0.248405422,0.354936009,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,33.07851497,16.57711086,31.42909026,31.77694595,32.93704339,30.22488247,31.87932723,33.15601234,31.70690594,32.34064722,32.41328461,33.43141995,28.29869365,28.43091236,28.34118643,28.3331897,28.30343508,28.35954513,28.33100221,28.29631409,28.33462374,28.32018444,28.35169913,28.31610209,-1.505030667,-1.542984388,-2.045871202,-1.229866184,-1.467076945,-0.992655423,-1.229866184,-1.486053806,-0.689025648,-0.660560357,-0.537210761,-0.670048787,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
75,9,3.883312004,3.491575778,3.95980424,3.922251566,3.82228731,3.897594779,3.929711765,3.91200899,3.890225158,3.879100761,3.934590906,3.613635469,1.553115856,0.489934475,2.894377477,2.003402519,1.150336726,1.693516816,2.125384641,1.863321754,1.618436033,1.516546863,3.955377844,2.589724798,0.179688838,0.054075827,0.356591651,0.236662946,0.130700116,0.197184235,0.252442502,0.218649314,0.187798924,0.175164491,0.513530357,0.314388128,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,34.37602299,27.56996389,36.04183306,35.17486792,33.16429292,34.66780357,35.33234359,34.96472825,34.51698345,34.29075209,36.58864603,35.99687859,25.92723494,25.94882922,25.89999257,25.91808916,25.93541578,25.92438325,25.91561158,25.92093434,25.92590822,25.92797769,25.87844259,25.90618037,-0.708664366,-1.272183164,-1.429229387,-0.801044497,-0.643998275,-0.736378406,-0.81028251,-0.754854432,-0.57009417,-0.542380131,-0.662474301,-0.607046222,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45
75,9,9.129403784,3.182921044,8.669102464,8.702665221,9.14693461,8.21065592,8.771033462,9.125755177,8.931032753,9.199840977,6.097202355,7.015103739,7.279442771,0.691378212,5.905857261,5.721753888,7.347892011,4.501873318,5.933879162,7.253531818,6.477866692,7.587659981,5.036988577,6.730869992,0.257857932,0.022353563,0.205081368,0.19820795,0.260543316,0.153292869,0.20617175,0.256845586,0.226828299,0.269984912,0.172803824,0.236545607,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,31.92174573,15.2202432,30.85360433,30.60189255,31.97617251,29.09051835,30.81374883,31.91082865,31.30864839,32.13952799,32.09661324,32.94855,31.24838894,31.39608274,31.27918251,31.28330981,31.24685441,31.31065757,31.27855431,31.24896982,31.26635898,31.2414792,31.29866115,31.26068706,-1.69568649,-1.583828663,-2.627835043,-1.416041924,-1.705007975,-1.1736833,-1.434684895,-1.639757576,-0.884717248,-0.866074277,-0.670323081,-0.810145364,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
75,9,9.403801548,3.451844516,8.938640301,9.037407088,9.546881554,8.505290247,9.032988878,9.437213267,9.299326503,9.551320583,6.012644471,7.098801902,6.482841703,0.646094166,5.254961229,5.24786946,7.092675365,4.029485952,5.234799139,6.612998637,6.081669836,7.112808542,4.415073455,6.128181878,0.270199999,0.024496277,0.214518129,0.214208334,0.298722321,0.161220705,0.213651424,0.276242433,0.251766989,0.29967396,0.177767723,0.253891992,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,32.00696367,15.44193647,30.93890362,30.85857402,32.45729914,29.208109,30.84231853,32.11196652,31.67790856,32.47129848,32.33422942,33.21472869,30.85256275,30.98278737,30.87995819,30.88011641,30.83895665,30.90729997,30.88040803,30.8496588,30.86151336,30.83850746,30.89869706,30.86047562,-1.653472119,-1.616853957,-2.459071695,-1.442917685,-1.772481147,-1.195745088,-1.415454063,-1.635163038,-0.957727031,-0.93941795,-0.738018056,-0.875336166,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
