doy,hod,A(std),A(tuz),A(sox1),A(sox2),A(wue),A(cmax),A(pmax),A(cgn),A(pmax2),A(lcst),A(cap),A(mes),E(std),E(tuz),E(sox1),E(sox2),E(wue),E(cmax),E(pmax),E(cgn),E(pmax2),E(lcst),E(cap),E(mes),gs(std),gs(tuz),gs(sox1),gs(sox2),gs(wue),gs(cmax),gs(pmax),gs(cgn),gs(pmax2),gs(lcst),gs(cap),gs(mes),gb(std),gb(tuz),gb(sox1),gb(sox2),gb(wue),gb(cmax),gb(pmax),gb(cgn),gb(pmax2),gb(lcst),gb(cap),gb(mes),Ci(std),Ci(tuz),Ci(sox1),Ci(sox2),Ci(wue),Ci(cmax),Ci(pmax),Ci(cgn),Ci(pmax2),Ci(lcst),Ci(cap),Ci(mes),Tleaf(std),Tleaf(tuz),Tleaf(sox1),Tleaf(sox2),Tleaf(wue),Tleaf(cmax),Tleaf(pmax),Tleaf(cgn),Tleaf(pmax2),Tleaf(lcst),Tleaf(cap),Tleaf(mes),Pleaf(std),Pleaf(tuz),Pleaf(sox1),Pleaf(sox2),Pleaf(wue),Pleaf(cmax),Pleaf(pmax),Pleaf(cgn),Pleaf(pmax2),Pleaf(lcst),Pleaf(cap),Pleaf(mes),Rublim(std),Rublim(tuz),Rublim(sox1),Rublim(sox2),Rublim(wue),Rublim(cmax),Rublim(pmax),Rublim(cgn),Rublim(pmax2),Rublim(lcst),Rublim(cap),Rublim(mes),Ps(std),Ps(tuz),Ps(sox1),Ps(sox2),Ps(wue),Ps(cmax),Ps(pmax),Ps(cgn),Ps(pmax2),Ps(lcst),Ps(cap),Ps(mes)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa]
75,9,7.088748637,6.866944377,7.164086632,6.977088672,7.288099256,6.694978615,6.945519685,7.145148873,6.196522071,7.009599419,4.920735798,4.986417699,8.030517278,6.793508361,8.902713132,7.371718121,9.45431046,6.028518034,7.196290909,8.39521954,4.422938233,7.550988179,5.829599674,6.026843427,0.215417522,0.179750888,0.241120073,0.1962732,0.257678627,0.158181361,0.191253817,0.22610603,0.114058651,0.201468389,0.152631402,0.158134538,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,32.42007807,31.59660675,32.92527599,32.01304879,33.1496819,30.94931347,31.8906016,32.63025506,29.06604782,32.12938088,32.63996957,32.74936595,32.66055032,32.68883226,32.64060915,32.67561255,32.62799789,32.70632237,32.67962338,32.65221206,32.74303102,32.67151387,32.71087028,32.70636066,-0.834624083,-0.803129584,-0.872417481,-0.784232885,-0.91021088,-0.714944988,-0.787382335,-0.856670232,-0.629909841,-2.273922676,-0.705496639,-0.718094437,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
75,9,8.72876242,8.322611006,8.590636755,8.513474249,8.8798141,8.57099394,8.520632563,8.781609705,7.661842989,8.673439424,5.965655957,6.153178971,7.540324934,5.558990356,7.080119476,6.368739224,8.576436806,6.638605818,6.396253029,7.869673549,3.754120079,7.197114988,4.8922702,5.200121118,0.321020083,0.228820734,0.29898913,0.265691729,0.371837726,0.278298466,0.267033577,0.336990097,0.149987669,0.304617023,0.199150166,0.212768292,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,33.24797354,31.81749676,33.01014143,32.49600931,33.77264863,32.69321973,32.51559715,33.43159788,29.50897464,33.05309217,32.95243158,33.10581306,30.64987244,30.6938942,30.6600974,30.67590301,30.62685187,30.66990705,30.6752917,30.6425549,30.73399523,30.65749796,30.70870755,30.70186764,-0.863906952,-0.781125562,-0.824049245,-0.781125562,-0.916028568,-0.802587404,-0.796455449,-0.882302816,-0.646222555,-2.286520476,-0.707542104,-0.725937968,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45
75,9,9.24565528,8.523279402,8.833670347,8.695786581,9.379019789,8.899058632,8.702564188,9.050878334,7.956777301,8.924198425,5.758926052,5.999927061,7.833440221,4.758371313,6.092039207,5.281305252,8.780781739,6.029937763,5.303680653,6.72099141,3.530128548,6.136803682,4.374340012,4.786778632,0.340541374,0.196264074,0.256953055,0.219727172,0.388195187,0.254096777,0.22076264,0.286589429,0.142682231,0.259071453,0.179276549,0.197529283,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,33.23252838,30.68673811,32.10362007,31.29040752,33.70419943,32.00382726,31.31224171,32.54113494,28.75097093,32.09260414,32.61852103,32.88340166,29.68994106,29.75730766,29.72809054,29.74585157,29.66918732,29.72945101,29.74536138,29.71431186,29.78421521,29.72710987,29.76572077,29.75668534,-1.05893629,-0.895633806,-0.935051647,-0.887187126,-1.112431931,-0.935051647,-0.898449366,-0.985731728,-0.791458084,-2.286520476,-0.839322606,-0.864662646,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6
75,9,7.624544104,7.296315084,7.585045287,7.406374497,7.802566945,7.420550649,7.402584964,7.630218767,6.633501919,7.49662298,5.153939873,5.249786304,7.943560323,6.232576025,8.049058666,6.744304958,9.187135148,6.802176164,6.716942646,7.972546486,4.154947818,7.194855269,5.397415838,5.699193962,0.245905512,0.188807764,0.249461467,0.205569863,0.28898059,0.207540464,0.204720292,0.246885954,0.122682635,0.220611768,0.161818568,0.171506343,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,32.69471544,31.50581231,32.79280991,31.91601566,33.32943822,31.9587602,31.89324198,32.71674057,29.08433342,32.23484466,32.69107638,32.8824425,32.04725059,32.08604049,32.04485883,32.07443903,32.01905738,32.07312703,32.07505937,32.04659344,32.13314261,32.06422456,32.10497449,32.09813285,-0.885368794,-0.824049245,-0.879236839,-0.802587404,-0.952820297,-0.811785336,-0.814851313,-0.888434771,-0.667684397,-2.280388521,-0.735135901,-0.753531765,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45
75,9,8.692749587,8.094625251,8.427833877,8.305527776,8.829222456,8.45733608,8.271385901,8.626480367,7.573719787,8.493296482,5.589272678,5.767983234,7.588102797,4.949564921,6.489477585,5.684127477,8.509689179,6.311403378,5.547592433,7.181513006,3.685331503,6.484964117,4.519010774,4.902321255,0.317333771,0.198096995,0.266352969,0.230173696,0.361580026,0.258341239,0.22421945,0.298286338,0.144517411,0.26621628,0.179603248,0.19605505,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,33.2168176,31.11506191,32.55488491,31.86395859,33.68958715,32.39041227,31.73590285,32.98401766,29.30415101,32.51662053,32.78573947,33.04629135,30.70290423,30.76155542,30.72732521,30.74522707,30.68241859,30.73128356,30.74826206,30.71194218,30.78965765,30.72742553,30.77112606,30.76260558,-0.981955845,-0.851499381,-0.903681967,-0.851499381,-1.031239397,-0.894984869,-0.857297446,-0.955864552,-0.747134211,-2.280722411,-0.793518732,-0.816710991,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55
75,9,9.115844661,8.69196478,8.919846609,8.82918307,9.272073632,9.035307773,8.802765204,9.087579864,8.012567785,9.007979512,6.218147804,6.452583779,7.848027732,5.730434278,7.106445158,6.297604975,8.985065458,7.342558518,6.18106287,7.662931773,3.868885648,7.192537687,4.835853851,5.311451998,0.332304298,0.234146883,0.297106866,0.259735735,0.388012572,0.308235954,0.254455982,0.3234453,0.153361321,0.301170631,0.194713104,0.215533581,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,33.19468435,31.68048875,32.79257101,32.17094593,33.75211707,32.90663414,32.07489797,33.09350654,29.30774673,32.8085161,32.62478821,32.93107046,29.87076339,29.91731553,29.88706598,29.90484713,29.84576732,29.88187538,29.90740913,29.87483245,29.9582389,29.88517337,29.93698154,29.92652623,-0.882302816,-0.793389471,-0.827115223,-0.781125562,-0.940556388,-0.84244511,-0.784191539,-0.870038907,-0.65235451,-2.274256566,-0.704476127,-0.732069923,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45
75,9,8.623273807,8.42909004,8.672881551,8.613947033,8.799818463,8.562956106,8.588416465,8.817509349,7.710530972,8.721283183,6.382993681,6.55650228,7.634689394,6.549515476,8.323345382,7.574648651,8.869854537,7.254246541,7.408877127,9.012752211,4.143337213,8.276355288,5.413808326,5.946459472,0.312904123,0.263664475,0.345029074,0.310046007,0.371215927,0.295453712,0.302528626,0.378118445,0.160457715,0.342904042,0.213953805,0.237039755,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,33.1936512,32.51190646,33.57711321,33.16799892,33.80449103,32.98210207,33.07089774,33.8652183,29.98955328,33.53352157,32.9507849,33.28707434,30.80298449,30.82714213,30.78765395,30.80432109,30.77548782,30.81145373,30.80801142,30.77230669,30.88070735,30.78870002,30.85242471,30.84056708,-0.704600164,-0.6813854,-0.731131322,-0.684701795,-0.76429527,-0.674752611,-0.691334585,-0.780877244,-0.512249266,-2.283204081,-0.578577162,-0.608424715,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
75,9,8.262213382,7.975267953,8.11844848,8.046208724,8.171297819,8.160363248,8.020992652,8.153926027,7.577192148,8.324418798,6.22976172,6.497137397,5.713996023,3.714768724,4.939415857,4.067671747,4.882377986,4.796543449,3.934629028,4.749332815,2.515412515,6.471033884,3.632421788,4.236055524,0.353158779,0.218789587,0.299560965,0.24153097,0.295676135,0.289876484,0.232943015,0.28669679,0.144086786,0.40753533,0.21352606,0.252588049,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,33.88087522,31.82139162,33.29870052,32.31660962,33.21018164,33.13055125,32.13746487,33.08370913,29.27506205,34.34834255,33.0624814,33.59918709,28.23533583,28.27807139,28.25189329,28.27052773,28.25311253,28.25494733,28.27337165,28.25595651,28.30370888,28.21915336,28.27983165,28.26692835,-0.865994544,-0.773225504,-0.813811959,-0.767427439,-0.813811959,-0.808013894,-0.764528406,-0.810912926,-0.683355496,-2.245934021,-0.744235179,-0.779023569,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55
75,11,6.859857921,6.440111621,6.797069993,6.641244713,7.057162551,6.765570181,6.629614535,6.818967488,5.971767827,6.769252308,4.453251039,4.498899535,7.002868615,5.024933672,6.936025272,5.853380972,8.373914166,6.459222804,5.793406737,6.757898631,3.685331503,6.481664128,4.776412361,4.953123878,0.224968919,0.157258213,0.222584807,0.185139197,0.274025636,0.205996051,0.183142515,0.216379601,0.113354961,0.206773369,0.148997922,0.154865943,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,32.81484301,31.18092191,32.81140721,31.97836473,33.56346232,32.45366467,31.92428176,32.65975839,29.33715374,32.46771488,33.03696195,33.16776517,33.06796603,33.11340527,33.06950163,33.09437329,33.0364689,33.08045524,33.09575108,33.07359374,33.14418004,33.0799397,33.11911457,33.11505496,-0.944268422,-0.857297446,-0.929773259,-0.863095511,-1.0225423,-0.903681967,-0.871792609,-0.929773259,-0.747134211,-2.272025313,-0.808013894,-0.819610024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55
