doy,hod,A(std),A(tuz),A(sox1),A(sox2),A(wue),A(cmax),A(pmax),A(cgn),A(pmax2),A(lcst),A(cap),A(mes),E(std),E(tuz),E(sox1),E(sox2),E(wue),E(cmax),E(pmax),E(cgn),E(pmax2),E(lcst),E(cap),E(mes),gs(std),gs(tuz),gs(sox1),gs(sox2),gs(wue),gs(cmax),gs(pmax),gs(cgn),gs(pmax2),gs(lcst),gs(cap),gs(mes),gb(std),gb(tuz),gb(sox1),gb(sox2),gb(wue),gb(cmax),gb(pmax),gb(cgn),gb(pmax2),gb(lcst),gb(cap),gb(mes),Ci(std),Ci(tuz),Ci(sox1),Ci(sox2),Ci(wue),Ci(cmax),Ci(pmax),Ci(cgn),Ci(pmax2),Ci(lcst),Ci(cap),Ci(mes),Tleaf(std),Tleaf(tuz),Tleaf(sox1),Tleaf(sox2),Tleaf(wue),Tleaf(cmax),Tleaf(pmax),Tleaf(cgn),Tleaf(pmax2),Tleaf(lcst),Tleaf(cap),Tleaf(mes),Pleaf(std),Pleaf(tuz),Pleaf(sox1),Pleaf(sox2),Pleaf(wue),Pleaf(cmax),Pleaf(pmax),Pleaf(cgn),Pleaf(pmax2),Pleaf(lcst),Pleaf(cap),Pleaf(mes),Rublim(std),Rublim(tuz),Rublim(sox1),Rublim(sox2),Rublim(wue),Rublim(cmax),Rublim(pmax),Rublim(cgn),Rublim(pmax2),Rublim(lcst),Rublim(cap),Rublim(mes),Ps(std),Ps(tuz),Ps(sox1),Ps(sox2),Ps(wue),Ps(cmax),Ps(pmax),Ps(cgn),Ps(pmax2),Ps(lcst),Ps(cap),Ps(mes)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa]
44,7.95,0.721807437,0.789923292,0.876672142,0.873879345,0.74247291,0.845025693,0.87354556,0.81147071,0.877465516,0.886744244,1.583939772,0.650979945,0.101288903,0.153832107,0.427548571,0.375881417,0.113392012,0.253245697,0.374116757,0.182202999,0.399792682,0.478005783,0.589981328,0.369618629,0.012656946,0.019273079,0.054308275,0.047622582,0.01417787,0.031886451,0.047392758,0.022859934,0.050711059,0.060872417,0.075561294,0.046812314,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,30.9554331,33.47994927,37.39023568,37.0425195,31.6899386,35.75817729,37.02793862,34.34400583,37.20719824,37.635428,36.59840842,37.75494536,27.90301058,27.90189774,27.89610059,27.89719487,27.90275424,27.89979222,27.89723224,27.90129686,27.89668844,27.89503193,27.89266036,27.89732751,-1.200075019,-1.412787572,-2.20107527,-1.431556327,-1.212587522,-1.318943799,-1.412787572,-1.262637535,-1.250125031,-1.813187673,-3.552425609,-1.356481308,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125
44,8.066666667,0.73216355,0.799457182,0.886341915,0.883599673,0.75121787,0.851758258,0.885762099,0.82584916,0.887179598,0.899920369,1.590866538,0.659954878,0.102253184,0.154288585,0.426719859,0.375798477,0.113392012,0.245194415,0.389971222,0.190397495,0.399792682,0.513735675,0.589313839,0.379418368,0.012886323,0.019494914,0.054667344,0.048020929,0.014298064,0.031123552,0.049865595,0.024101193,0.051147043,0.066107955,0.076128241,0.048490146,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,30.97083433,33.45853291,37.3612677,37.01680027,31.64596544,35.60786497,37.11596615,34.51784661,37.18066982,37.76797779,36.59217672,37.78292142,27.87093814,27.86983677,27.86407055,27.86514834,27.87070238,27.86791268,27.86484836,27.8690725,27.86464049,27.8622288,27.86062913,27.86507172,-1.200075019,-1.412787572,-2.20107527,-1.431556327,-1.212587522,-1.312687547,-1.425300075,-1.268893786,-1.250125031,-1.869493937,-3.546169358,-1.36273756,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125
44,8.216666667,0.714449755,0.783216341,0.870135909,0.868272401,0.747395119,0.835474798,0.872626744,0.804677596,0.870782744,0.883057324,1.57884677,0.644604937,0.100909913,0.153870855,0.428963422,0.382989375,0.121438267,0.245194415,0.413680646,0.182202999,0.399792682,0.509796142,0.590644765,0.369618629,0.012502429,0.019114084,0.054022375,0.048121341,0.015061082,0.030596725,0.052057403,0.022665328,0.050274744,0.064463149,0.074991784,0.04641014,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,30.88721438,33.43160326,37.34592855,37.04088948,32.06811646,35.58420121,37.24028183,34.29115894,37.15573766,37.72267933,36.53268831,37.70777182,27.92331716,27.92219502,27.91636633,27.91734043,27.9228822,27.92026004,27.91669014,27.92159471,27.9169844,27.91465364,27.91294061,27.91762373,-1.200075019,-1.412787572,-2.207331522,-1.437812579,-1.218843774,-1.312687547,-1.44406883,-1.262637535,-1.250125031,-1.863237685,-3.558681861,-1.356481308,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125
44,11.78333333,8.923178645,8.320242317,7.316916887,7.628872806,8.954355328,7.806060585,7.650981258,8.46963299,8.575254569,8.286769359,3.283459215,5.771147054,1.744157168,1.400553496,1.123674675,1.12290473,1.761649552,1.185558336,1.130112586,1.474454373,1.530099839,1.385248298,0.446269117,1.39793277,0.132465108,0.105242193,0.083676996,0.083618765,0.1339025,0.088486158,0.084201473,0.111054427,0.115448866,0.104041833,0.032553341,0.105036566,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,28.8329296,27.03956815,25.75347094,25.15387084,28.92596076,25.62001472,25.20797452,27.46923359,27.77824371,26.94439932,23.84665267,30.96221541,33.92705897,33.93500206,33.94140267,33.94142047,33.9266546,33.93997211,33.94125385,33.93329369,33.93200734,33.93535587,33.95706227,33.93506264,-2.726600402,-4.872494691,-4.872494691,-2.044668981,-2.795419169,-2.113487748,-2.057181484,-2.395019069,-1.619243874,-4.872494691,-2.645269132,-2.069693987,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125
44,11.95,8.742633689,8.063937483,7.259110035,7.601371046,8.758759736,7.541516751,7.588688167,8.367160999,8.352307813,8.249161365,3.292064419,5.697163256,1.670775395,1.29849993,1.100693209,1.11515036,1.677650322,1.093321127,1.110122977,1.445311429,1.437659323,1.385248298,0.436797523,1.357293038,0.134597074,0.103333767,0.086983527,0.088166201,0.135222331,0.086412304,0.0877893,0.115584908,0.114943367,0.110558159,0.033785512,0.108225457,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,28.69725259,26.68912195,25.86092574,25.42238244,28.74309872,25.25763626,25.38350644,27.56196299,27.51839526,27.21826113,23.86391262,30.80597748,34.04828799,34.05690462,34.06148302,34.06114839,34.04812887,34.06165365,34.06126476,34.05350654,34.05368366,34.05489675,34.07684943,34.0555438,-2.632756628,-4.872494691,-4.872494691,-2.032156478,-2.682806641,-2.025900226,-2.038412729,-2.363737811,-1.587962616,-4.872494691,-2.601475371,-2.038412729,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125
44,14.75,7.387004174,7.31400461,6.016403791,6.096916452,7.373593169,5.347596793,6.14203005,6.754705259,7.15444885,6.569302963,2.524637973,4.640024878,1.84741869,1.795363813,1.263980836,1.18480493,1.835639741,0.928379895,1.202211527,1.474454373,1.694715186,1.38475666,0.470781591,1.485662027,0.094496575,0.091731628,0.06383368,0.059734292,0.09387149,0.046559266,0.060645599,0.074814826,0.086400688,0.070128085,0.023382512,0.075401702,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,27.39928464,27.17868277,24.94879474,23.72916149,27.35851836,21.76154239,23.84756205,25.543918,26.70271359,25.02121247,22.97026912,30.16514076,34.9020023,34.90321639,34.91560996,34.9174566,34.90227702,34.92343727,34.91705063,34.91070104,34.90556384,34.91279308,34.93410995,34.91043964,-2.864237937,-4.872494691,-4.872494691,-2.119744,-2.901775446,-1.875750188,-2.126000251,-2.395019069,-1.675550138,-4.859982188,-2.764137911,-2.138512754,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125
44,15.3,7.495517174,7.364039166,6.124350027,6.275538533,7.464392719,5.788370274,6.264753024,6.897428944,7.244366599,6.725522306,2.593010332,4.731795294,1.820882257,1.731505804,1.244910263,1.193747049,1.797114491,1.018762853,1.189244099,1.468660797,1.658335644,1.385248298,0.468283904,1.469885203,0.097050976,0.092104246,0.065487999,0.062723866,0.095735957,0.053333538,0.062495052,0.077662177,0.088066769,0.073114565,0.024219169,0.077729058,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,27.65081842,27.2511158,25.16806496,24.14717254,27.55527044,22.84321613,24.11399824,25.87918251,26.8927594,25.38968661,23.22535173,30.37434268,34.87747353,34.87955752,34.89090348,34.89209646,34.87802772,34.89617657,34.89220145,34.88568629,34.88126363,34.88763122,34.9090121,34.88565774,-2.826700427,-4.872494691,-4.872494691,-2.126000251,-2.845469182,-1.957081459,-2.113487748,-2.388762817,-1.663037635,-4.872494691,-2.751625408,-2.126000251,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125
44,17.1,9.393015697,9.271983638,7.316580649,7.418643593,9.039911286,7.169269868,7.56871413,8.409062018,8.557270634,8.073310899,3.19511803,6.103801806,2.15198008,2.052000667,1.255125115,1.154285699,1.884753686,1.079899313,1.202211527,1.531419798,1.60354881,1.385248298,0.485359107,1.586286067,0.121276052,0.115379387,0.069284343,0.063571253,0.105564845,0.059377881,0.066287579,0.085078257,0.089233292,0.076700053,0.026331218,0.088237606,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,27.83890038,27.39454988,23.51874727,21.77626946,26.57460949,21.15269575,22.1624917,24.53024694,24.98787208,23.54037426,21.25199466,29.30085193,32.17772995,32.17999782,32.19807365,32.20036103,32.18379155,32.20204837,32.19927391,32.19180636,32.19017023,32.19512202,32.21553456,32.1905618,-3.389763068,-4.872494691,-4.872494691,-2.132256503,-2.976850465,-2.013387723,-2.126000251,-2.457581585,-1.64426888,-4.872494691,-2.83921293,-2.219844025,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125
44,17.48333333,9.406530788,9.210580781,7.416096248,7.552290227,9.077990509,7.851734544,7.693336277,8.514851971,8.667847185,8.238121552,3.287063672,6.183281712,2.074399322,1.919437078,1.224592402,1.137325041,1.827204013,1.23688523,1.182736628,1.508846069,1.585229114,1.385003784,0.478157904,1.555683588,0.124986343,0.115212382,0.072252937,0.066962515,0.109425522,0.073005433,0.0697172,0.089652936,0.09436867,0.082044679,0.027709179,0.092542487,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,27.97265391,27.25332475,23.76923673,22.17491037,26.78349757,22.97821875,22.54770056,24.92294662,25.4078834,24.08172164,21.4638693,29.46092421,32.20394467,32.20746079,32.22322694,32.22520705,32.20955358,32.22294801,32.22417665,32.21677717,32.21504403,32.21958718,32.24016366,32.21571442,-3.233356779,-4.872494691,-4.872494691,-2.113487748,-2.889262943,-2.163537761,-2.107231497,-2.432556578,-1.638012629,-4.866238439,-2.801675421,-2.194819019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125,-1.125
