doy,hod,A(std),A(tuz),A(sox1),A(sox2),A(wue),A(cmax),A(pmax),A(cgn),A(pmax2),A(lcst),A(cap),A(mes),E(std),E(tuz),E(sox1),E(sox2),E(wue),E(cmax),E(pmax),E(cgn),E(pmax2),E(lcst),E(cap),E(mes),gs(std),gs(tuz),gs(sox1),gs(sox2),gs(wue),gs(cmax),gs(pmax),gs(cgn),gs(pmax2),gs(lcst),gs(cap),gs(mes),gb(std),gb(tuz),gb(sox1),gb(sox2),gb(wue),gb(cmax),gb(pmax),gb(cgn),gb(pmax2),gb(lcst),gb(cap),gb(mes),Ci(std),Ci(tuz),Ci(sox1),Ci(sox2),Ci(wue),Ci(cmax),Ci(pmax),Ci(cgn),Ci(pmax2),Ci(lcst),Ci(cap),Ci(mes),Tleaf(std),Tleaf(tuz),Tleaf(sox1),Tleaf(sox2),Tleaf(wue),Tleaf(cmax),Tleaf(pmax),Tleaf(cgn),Tleaf(pmax2),Tleaf(lcst),Tleaf(cap),Tleaf(mes),Pleaf(std),Pleaf(tuz),Pleaf(sox1),Pleaf(sox2),Pleaf(wue),Pleaf(cmax),Pleaf(pmax),Pleaf(cgn),Pleaf(pmax2),Pleaf(lcst),Pleaf(cap),Pleaf(mes),Rublim(std),Rublim(tuz),Rublim(sox1),Rublim(sox2),Rublim(wue),Rublim(cmax),Rublim(pmax),Rublim(cgn),Rublim(pmax2),Rublim(lcst),Rublim(cap),Rublim(mes),Ps(std),Ps(tuz),Ps(sox1),Ps(sox2),Ps(wue),Ps(cmax),Ps(pmax),Ps(cgn),Ps(pmax2),Ps(lcst),Ps(cap),Ps(mes)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa]
20,8.8,14.403532299412303,14.217247088159821,14.374237446504152,14.353477445667934,14.201074477577295,14.364997903247033,14.349711817821442,14.317599986974727,14.27495009102885,14.361338160586596,10.60358323840492,13.221038467506231,2.358297653596791,1.890264924993892,2.4375472871649406,2.2085034838267674,1.859553351504372,2.240960413602612,2.198741360876597,2.114181261817931,2.011786054724697,2.2313207686807046,2.027256929902939,2.770462968948949,0.3970227701851581,0.312609689283956,0.4116264365868812,0.3696753122452947,0.30717374368078226,0.3755892959665973,0.367917876952329,0.35262717891472334,0.33424295594056397,0.3738355363342018,0.33701144535824945,0.4739547944612049,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,33.13285424218104,31.685046658198978,33.348385197763946,32.73271881047771,31.564518302317225,32.82407164041643,32.70296067555823,32.45104991033561,32.121628238619074,32.79500501337134,34.00728271376878,34.495402735196215,18.47043999240735,18.4751093149846,18.46964935944379,18.47193441204107,18.475415708607766,18.471610605893062,18.472031803736794,18.472875416491927,18.473896960976028,18.47170677568829,18.473742615986147,18.4663280303694,-2.034193323273462,-1.8473077500765807,-3.369090274679756,-2.772577814832681,-1.8740056891047066,-1.994146414731273,-1.9807974452172101,-1.9540995061890842,-1.5402814512531329,-3.4358351222500705,-1.4334896951406295,-2.047542292787525,False,False,False,False,False,False,False,False,False,False,False,False,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3
20,8.9,14.413259807687492,14.226805529916653,14.38377735226817,14.384978812154403,14.209473539666076,14.401850997346447,14.387961529392681,14.34271382235482,14.283343071462943,14.313523872774567,10.608438845357842,13.230754856644708,2.361081735785757,1.892394412416254,2.439970424703431,2.273547601211659,1.859553351504372,2.325274550805018,2.2831382753736444,2.1564815121286696,2.011786054724697,2.082619235858564,2.027256929902939,2.770462968948949,0.3960442344469068,0.31183488853030356,0.4105251106645619,0.38008809022931134,0.3060443701937134,0.389520793602887,0.3818458734153347,0.3589241764210894,0.333006921520987,0.34565869847989605,0.3357644371101103,0.47214988102775396,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,33.17961837914851,31.72715645271429,33.394724336283865,32.951963365238605,31.59773174849443,33.08746119496108,32.975852712521686,32.61676465977528,32.15577345669817,32.388695300212476,34.04933023755438,34.538370664445715,18.465413902422625,18.4700887511917,18.4646270394718,18.46628699802573,18.470416319242986,18.465771055616845,18.466191337338817,18.467454655513276,18.46889789783541,18.468191383293366,18.46874358599855,18.461330593021003,-2.034193323273462,-1.8606567195906436,-3.369090274679756,-2.739683283674263,-1.8740056891047066,-2.020844353759399,-2.007495384245336,-1.9674484757031472,-1.5402814512531329,-3.275647488081315,-1.4334896951406295,-2.047542292787525,False,False,False,False,False,False,False,False,False,False,False,False,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3
20,9.08333333333333,14.294286449752825,14.180154361442328,14.241755469786316,14.209464854040192,14.067007140526623,14.108090394386505,14.164015869992767,14.108090394386505,14.11166422943576,14.262359132580064,10.211549447025867,12.838525046577166,2.881040353790785,2.568211327056092,2.9294113649237232,2.641134203670827,2.3249505219310183,2.4073684994735682,2.5306590269637472,2.4073684994735682,2.41411523357588,2.7854263298152775,2.390690426626847,3.1919621306639163,0.3357107762131194,0.29677698897479476,0.34179568559743184,0.30579034044318654,0.2669375198367382,0.27700415448824994,0.29214539549113056,0.27700415448824994,0.2778301570368915,0.32374994289878306,0.27496352561138465,0.3750845647405486,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,32.43728688205202,31.619694029984426,32.58288037498892,31.8263357602525,30.843036626291823,31.121276186979646,31.50690644900036,31.121276186979646,31.14568316628115,32.20494601611028,33.417259074659235,33.80116247384682,19.711361111811797,19.71464560275673,19.710853249259138,19.713879962399055,19.71719967492845,19.716334342501458,19.71503987623864,19.716334342501458,19.716263506405145,19.712364993706114,19.71650945086597,19.7080966456867,-2.309559697805902,-2.164557427141193,-3.9836768227529973,-3.0626619169415275,-2.1250113533235453,-2.1513754025353102,-2.1909214763529583,-2.1513754025353102,-1.690004541329418,-4.220953265658885,-1.5581842952705915,-2.270013623988254,False,False,False,False,False,False,False,False,False,False,False,False,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4
20,9.15,14.349556274886275,14.207778753122826,14.291933158853327,14.267509903380134,14.131714285210741,14.153252937687963,14.245689526665684,14.2107359421218,14.2019228653659,14.30050951322416,10.20033581576064,12.961410222743375,2.697057985458237,2.317773493861594,2.717208646882892,2.462146905944781,2.1595900845332574,2.2009947955616767,2.4073684994735682,2.3249505219310183,2.3051574167036657,2.5516153905301078,2.1921401636121534,3.004115340560105,0.35864165688171845,0.3046907435552402,0.36154857682230757,0.32507722170963516,0.2825474791394281,0.28832313638961177,0.31732658733126257,0.3057003560381021,0.3029168641181185,0.3378148255846711,0.2870867708184861,0.40326780711718735,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,32.49393955269175,31.452953895955574,32.571601400135016,31.884477803015542,30.91771620249254,31.06769271490371,31.725654325364392,31.47408074734841,31.41118735756352,32.127204532495,33.32637099651155,33.781784399280696,19.098905339337577,19.102790932633184,19.098698905178868,19.10131189414233,19.104411448125855,19.103987276109486,19.101873073451383,19.10271740731705,19.102920178478737,19.100395331109635,19.104077987697487,19.095759679478594,-2.243649574776489,-2.085465279505897,-3.772764429058875,-2.979695662054012,-2.0722832549000145,-2.085465279505897,-2.1513754025353102,-2.1250113533235453,-1.6768225167235353,-3.930948724329467,-1.5450022706647089,-2.2172855255647237,False,False,False,False,False,False,False,False,False,False,False,False,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4
20,9.31666666666667,14.054360522247844,14.008978999100352,14.082348311197265,14.011061889954812,13.795253250804949,13.818024934517194,13.974425040893156,13.920822469201223,13.920039823754568,14.143625751951463,10.891319151475553,12.624909304008183,3.178887691322024,3.051985601849022,3.4924332868488697,3.057668261571681,2.580245700501673,2.622940435659597,2.9629251728481685,2.8357648139090204,2.834825023102742,3.463905654487742,3.0865992581885,3.649534193674414,0.3105821610340893,0.29733421192812226,0.3436761245597566,0.29791812299394094,0.2487105328524089,0.25306872922793744,0.28807478030898415,0.27491890773234345,0.27482195952115523,0.3406521717979676,0.3009429255855729,0.36044170356973476,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,31.814218114269938,31.52242509249349,32.48936218988511,31.5358518580981,30.20589413047875,30.341855414661964,31.303294968769503,30.968248066526744,30.963392296295307,32.40069288200472,33.33896732033238,33.47381782976769,21.620254710050492,21.621682804951043,21.616726219164946,21.621618855039696,21.626991538245335,21.626511072290736,21.622685048058507,21.624116049399046,21.624126625351447,21.617047255378527,21.621293279559357,21.61495828134106,-2.1866617528237566,-2.092050351868054,-4.335692145960432,-3.1426844682369057,-1.9974389509123514,-2.0109548653345946,-2.1190821807125406,-2.0785344374458106,-1.5378978605560811,-4.8492968940056755,-1.4027387163336487,-2.1866617528237566,False,False,False,False,False,False,False,False,False,False,False,False,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2
20,9.4,13.983142379047997,13.941347865943955,14.024107597368646,13.949397463102192,13.672158876588036,13.867552636495223,13.95201770157398,13.848469872160024,13.896747875525627,14.097438419834848,10.884440090003324,12.539911745226142,3.1757159947619256,3.060466252374871,3.527122422245325,3.0819341377405323,2.4947296573842097,2.878196947700382,3.0896712034672773,2.8357648139090204,2.947357579526132,3.542601328569386,3.0865992581885,3.601117647713871,0.30874969328214774,0.296777720845892,0.34568066711491807,0.2989975074197919,0.23885383239471597,0.2779541510383246,0.29980818422389577,0.2735942694668821,0.2850783043017889,0.34732736137502807,0.29948922458902366,0.3535386640997439,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,31.768749509746776,31.50492571684083,32.51371476381572,31.555564106384857,29.88867832291391,31.048006959915146,31.57188652308399,30.931589146587154,31.227484316452525,32.508076396018076,33.27411154714872,33.366663344283694,22.02288467904782,22.024199065498937,22.018877001134154,22.023954231132507,22.03065111042291,22.0262777886228,22.02386599237247,22.026761713537443,22.025489033736758,22.01870046915821,22.023901026925863,22.01803310925389,-2.1866617528237566,-2.105566266290297,-4.376239889227162,-3.154652292328108,-1.9704071220678647,-2.092050351868054,-2.1596299239792702,-2.0785344374458106,-1.5514137749783243,-4.970940123805865,-1.4027387163336487,-2.1731458384015134,False,False,False,False,False,False,False,False,False,False,False,False,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2
20,10.8666666666667,19.741292428423897,19.444321493327784,18.169281142967705,18.907667578897524,19.749257477729422,18.619109053531297,18.580977220136322,18.978730489815078,19.27580026271344,18.12248578258654,11.404566717385231,14.221901549363086,6.7113651102607665,6.2081787564157365,5.184309326507749,5.477170182857465,6.721752769014064,5.147763742733465,5.109523337001705,5.563747157194691,5.95950228030421,4.666928728803791,4.845346199655397,5.251438049153887,0.33747130279890125,0.3103001185699208,0.2559213896338873,0.27133051276257913,0.3380714199632363,0.254036289890083,0.25203395874382867,0.2759367091904162,0.29697627447552133,0.22899139443743544,0.23825102322089475,0.25947406771157716,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,29.461102851700375,28.818977163511878,27.533856328130696,27.725531869296525,29.477687651188596,27.16689900154147,27.094685512800304,27.864957572536884,28.466727268699277,26.252193210991464,31.390733975130175,30.214442379501826,26.811795765660012,26.81831714190993,26.831586654749845,26.827791130847945,26.811661139928276,26.832060291406012,26.832555893227923,26.82666907930597,26.82154002912226,26.838291990688017,26.83597967150827,26.830716655684476,-3.5292779088485107,-3.2222516100250633,-8.481745598565862,-4.694106154835235,-3.5292779088485107,-2.9552722197438044,-2.941923250229742,-3.1021108843984972,-2.020844353759399,-9.282683769409639,-1.6203752683375106,-2.7550376770328606,False,False,True,False,False,False,False,False,False,True,False,True,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3
20,10.983333333333302,20.2144871482519,19.968171772491814,18.830133048617533,19.355772215040826,20.251842051705754,19.151966143144353,19.333011217200415,19.681929037867462,19.94641693436262,19.281743397847112,11.821195740711168,15.059776939583504,5.979712263497645,5.55958389116055,4.656539554842112,4.74913985612243,6.043881569116426,4.5278427063195394,4.723383934183287,5.147763742733465,5.526898526677387,4.666928728803791,4.444343341513885,4.842808859078409,0.37870077395669843,0.3499012852187785,0.2890557627111297,0.2952160340290819,0.38319906896957506,0.2805702474384618,0.2935453901204024,0.3219685567012612,0.3476710666426389,0.2897914975291022,0.2750527315795829,0.3015073268292683,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,30.095855179167994,29.52721244978658,28.278631474142646,28.20307196059498,30.182771413811903,27.78584398591624,28.15497462445156,28.89323244005029,29.478081798055207,28.049508804604088,31.99041584949096,30.79650513412376,26.346040598881043,26.351426653060933,26.363003699607912,26.361816561883803,26.345217947092912,26.364653595793374,26.362146753320875,26.356706195643262,26.351845680090733,26.362870510188852,26.365724059328908,26.360615723382725,-3.2489495490531892,-2.9953191282859937,-6.3859573848579805,-4.519321524843946,-3.275647488081315,-2.7416887075187977,-2.8084335550891124,-2.9552722197438044,-1.9674484757031472,-9.282683769409639,-1.5936773293093847,-2.634896951406294,False,False,False,False,False,False,False,False,False,False,False,True,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3
20,11.15,19.468869962193132,19.121590838832216,17.980630642834196,18.546446801063013,19.529653900167773,18.17659181700374,18.47778197715264,18.833358200838624,19.162025992971788,18.1349246885122,10.839155221046102,13.930812443823015,6.239367981137747,5.688346239064111,4.862236757666937,4.970105174799768,6.341311491220484,4.593132211674428,4.896016997860468,5.305300707058334,5.7469901040779225,4.55479755839916,4.565824527246732,4.92830189127791,0.34558941968625523,0.3127821887789825,0.2643921127222062,0.27064670291364845,0.35176326741652064,0.24890749229832845,0.2663866154971412,0.29023007688240665,0.31625492731484,0.24670520586757871,0.24733846558048334,0.26825801963690465,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,29.705728812679776,28.96557930612846,27.906529671242176,27.814736871523053,29.837402446083917,27.114576213306872,27.68124278456143,28.37756332353527,29.049864101449245,27.037739602669454,31.943453887451405,30.57239404074027,27.536893167745404,27.54414575673818,27.55501907093639,27.553599298838428,27.535551379713,27.55856104490792,27.55457445291228,27.549187430409177,27.54337388184212,27.559065608454432,27.558920470673502,27.554149516753228,-3.4695778631235745,-3.166391297188274,-7.397821195676601,-4.729833307954776,-3.509123936941222,-2.8763867558588556,-2.9818429527059167,-3.1268452233706254,-2.09864730411178,-9.296032738923701,-1.7031865659353005,-2.7709305590117945,False,False,True,False,False,True,False,False,False,True,False,True,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4
