doy,hod,A(std2),A(tuz),A(sox1),A(sox2),A(wue),A(cmax),A(pmax),A(cgn),A(pmax2),A(lcst),A(cap),A(mes),E(std2),E(tuz),E(sox1),E(sox2),E(wue),E(cmax),E(pmax),E(cgn),E(pmax2),E(lcst),E(cap),E(mes),gs(std2),gs(tuz),gs(sox1),gs(sox2),gs(wue),gs(cmax),gs(pmax),gs(cgn),gs(pmax2),gs(lcst),gs(cap),gs(mes),gb(std2),gb(tuz),gb(sox1),gb(sox2),gb(wue),gb(cmax),gb(pmax),gb(cgn),gb(pmax2),gb(lcst),gb(cap),gb(mes),Ci(std2),Ci(tuz),Ci(sox1),Ci(sox2),Ci(wue),Ci(cmax),Ci(pmax),Ci(cgn),Ci(pmax2),Ci(lcst),Ci(cap),Ci(mes),Tleaf(std2),Tleaf(tuz),Tleaf(sox1),Tleaf(sox2),Tleaf(wue),Tleaf(cmax),Tleaf(pmax),Tleaf(cgn),Tleaf(pmax2),Tleaf(lcst),Tleaf(cap),Tleaf(mes),Pleaf(std2),Pleaf(tuz),Pleaf(sox1),Pleaf(sox2),Pleaf(wue),Pleaf(cmax),Pleaf(pmax),Pleaf(cgn),Pleaf(pmax2),Pleaf(lcst),Pleaf(cap),Pleaf(mes),Rublim(std2),Rublim(tuz),Rublim(sox1),Rublim(sox2),Rublim(wue),Rublim(cmax),Rublim(pmax),Rublim(cgn),Rublim(pmax2),Rublim(lcst),Rublim(cap),Rublim(mes),Ps(std2),Ps(tuz),Ps(sox1),Ps(sox2),Ps(wue),Ps(cmax),Ps(pmax),Ps(cgn),Ps(pmax2),Ps(lcst),Ps(cap),Ps(mes)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa]
20,8.01666666666667,7.32213038512011,7.412151257671728,7.414561642166924,6.5094814080743735,7.333848488968672,7.356873835559275,7.374563956514832,7.374563956514832,7.360170796562439,7.3944325630026775,5.765092721691629,5.775719172123309,1.556400208253534,2.2762644150825593,2.5228180930623108,0.4965977843496564,1.6293380483808022,1.7765093978008801,1.9121371171526491,1.9121371171526491,1.7997703033217247,2.0955003066392535,0.8802169835639032,0.9351343539862591,0.19412214631349187,0.2899913981311434,0.3237686359922639,0.06008591329670139,0.20365739766900612,0.22301026542058536,0.24099349127406933,0.24099349127406933,0.22608432965539177,0.26553540366086814,0.10766905620444965,0.11456621167101681,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,33.62024071789289,35.54293285601217,35.96409241799552,22.456893592932197,33.858526901678566,34.33299261239664,34.70872234767906,34.70872234767906,34.40219624174449,35.143931338392406,31.142151856569665,31.634728313384347,15.481849260786085,15.470386955066905,15.466461112378267,15.498724359269207,15.480687880884009,15.478344490305405,15.47618490747234,15.47618490747234,15.477974109881076,15.473265238852065,15.492616039811972,15.491741597544802,-1.2811445909953416,-1.5972371551272586,-2.12405809534712,-4.042890019726023,-1.2961966178587663,-1.3112486447221907,-1.3564047253124647,-1.3564047253124647,-1.070416214907397,-2.605722954976708,-1.2961966178587663,-1.3112486447221907,False,False,False,False,False,False,False,False,False,False,False,False,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95
20,8.1,7.255353678491392,7.341580854027787,7.344839232603342,7.325761946565629,7.261867610020292,7.274010022599836,7.303783285470232,7.285010372699432,7.3237410019993225,7.302426525639916,5.72165638127986,5.752086134361739,1.5147270407010776,2.2061903844471873,2.4657266019913733,2.0442465132935626,1.5592246479461414,1.6299942467963495,1.8422076272663301,1.7021228679461413,2.023916316724581,1.8315067307338146,0.8802169835639032,0.8961704225701654,0.19532576519027492,0.2905357367052394,0.32731450433811526,0.26787383421876604,0.20133871390826538,0.210926179275497,0.23992254208170877,0.22073995317797837,0.26504926133577367,0.2384514569079457,0.11138434795146657,0.11345650334109512,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,33.671511763512065,35.550367551159624,35.9987504470956,35.186151290703755,33.80761873019821,34.059414533415314,34.69650508032766,34.291501590462374,35.141187235858915,34.666867765037686,31.444142032188942,31.546510354590396,15.310045929683374,15.299130486834386,15.295033447164144,15.301686933371009,15.309343490294225,15.308226321150435,15.304876319957659,15.307087698475701,15.302007865927687,15.305045244349081,15.320062307743658,15.319810466697719,-1.266092564131917,-1.582185128263834,-2.093954041620271,-1.7406351565579763,-1.2811445909953416,-1.2811445909953416,-1.34135269844904,-1.3112486447221907,-1.0854682417708215,-2.379942552025339,-1.2961966178587663,-1.2961966178587663,False,False,False,False,False,False,False,False,False,False,False,False,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95
20,8.26666666666667,7.50642894118245,7.572291905531221,7.58056795238318,7.577705901273854,7.498855497110124,7.5502752654266585,7.549102359556225,7.549102359556225,7.560725789351785,7.550507603037697,6.101415128261516,6.186817356211377,1.6181988005939243,2.1614910782870687,2.4845333546471373,2.2486489994692405,1.5851982566155547,1.9550314578544994,1.9443454728867011,1.9443454728867011,2.0566327142712537,1.9574899408850215,0.9543118287641406,1.0733040571245913,0.22584976009737504,0.30714048119024895,0.35686978314034906,0.32045102994435426,0.22101366469250122,0.27590804831948074,0.27430311130410645,0.27430311130410645,0.29122442961076084,0.27627745031482787,0.1303683676955801,0.14718408812404465,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,33.99026493690084,35.347225345227805,35.88760817674558,35.46822735110852,33.84582689968388,34.88019685788126,34.85567308449407,34.85567308449407,35.10094655565192,34.88510347996828,31.85990511541062,32.6102632302048,15.882551975260954,15.873730655499395,15.868485487597555,15.872315491095135,15.883087797989697,15.877082895913006,15.87725640195062,15.87725640195062,15.875433218183675,15.877042978053263,15.893331365111496,15.891399313914368,-1.1848173789753083,-1.4587588708641968,-1.9914228828703688,-1.619997199082196,-1.1848173789753083,-1.245693266061728,-1.2609122378333328,-1.2609122378333328,-0.9869707459444442,-2.371897177160492,-1.1543794354320984,-1.1848173789753083,False,False,False,False,False,False,False,False,False,False,False,False,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
20,8.36666666666667,7.373522792627295,7.433375663861604,7.444060776387596,7.442509385456513,7.377465445347999,7.350553466453928,7.398087134379169,7.398087134379169,7.409969516607962,7.399009285620753,6.005566901015946,6.122931153056773,1.5497756681832153,2.045331490173275,2.4005558323742275,2.1779133943393467,1.5851982566155547,1.4329819924653588,1.7306040264319977,1.7306040264319977,1.8287941946629889,1.737804491061742,0.9065962373259335,1.0245175090734735,0.22504049674058618,0.30208569600933216,0.35893791101902106,0.323139083809284,0.2304692110754207,0.20726776224006202,0.25285759390118073,0.25285759390118073,0.2681021587556845,0.25397203503315985,0.12884041580052266,0.14617069808226432,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,34.18459477662636,35.47454906748938,36.087049511691305,35.68599564560126,34.26895504914193,33.723392745089484,34.70163780404015,34.70163780404015,34.95739657613331,34.72130918020588,32.010641692028464,32.75445663831535,15.543187780836016,15.535273863193208,15.529601008462917,15.533156559301421,15.54262208987829,15.545052950186907,15.540299991668453,15.540299991668453,15.538731916246409,15.540185001829688,15.553459215091216,15.551576038279373,-1.1695984072037033,-1.428320927320987,-1.960984939327159,-1.5900072127438332,-1.1848173789753083,-1.1391604636604935,-1.215255322518518,-1.215255322518518,-0.9717517741728393,-2.1892695159012328,-1.1391604636604935,-1.1695984072037033,False,False,False,False,False,False,False,False,False,False,False,False,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
20,8.53333333333333,7.892119980366031,8.062163449383943,8.059388477299562,8.04854408224993,8.001544506835158,7.992657238326932,8.02211459997243,7.978410796746702,8.038637676587603,8.052634573344266,5.735458341309024,5.136733307834576,1.4036203524255388,2.3424513173850823,2.524919787705589,2.2344777080111213,1.8885832792675818,1.8353969215873565,2.024380117518602,1.7585446358229464,2.1489930187507276,2.2734991943592116,0.7314102596675527,0.6349352931125447,0.17728592613066121,0.30441839798285364,0.3299737365825924,0.28942063199087725,0.24205675366281673,0.2348611221539537,0.2605345539791511,0.22450454471672024,0.27762552189542733,0.29483237118943106,0.09056535435986092,0.07839792494990214,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,32.11992887526204,34.968670490695,35.294733057929434,34.719587209343274,33.890227306037026,33.73862890310666,34.24728675842874,33.4990504752309,34.54084586078473,34.795367619914224,29.187855605333674,28.86196810455569,17.124861151451515,17.108739836516747,17.105606544384838,17.110593925938943,17.11653351807862,17.117446817761305,17.114201656776316,17.118766501440806,17.112061842581134,17.10992386104535,17.136404135238962,17.138060773523385,-1.5169773721452726,-1.8824266246991685,-2.4232915184789348,-1.9685550429765164,-1.6193031628603634,-1.5900672226560517,-1.6485391030646752,-1.5900672226560517,-1.3561797010215584,-3.0811001730759475,-1.6777750432689869,-1.6046851927582075,False,False,False,False,False,False,False,False,False,False,False,False,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21
20,8.61666666666667,7.8481362391981335,8.004095207838223,8.006894434200156,7.994654151493027,7.945430783838056,7.95850242378403,7.956843407762055,7.956843407762055,7.972983502300741,8.008606582021171,5.734000287211815,5.193324238607428,1.3323729301737217,2.1750117722106954,2.4138027640460704,2.1080013145754948,1.7557093373354886,1.8353969215873565,1.8251312293241442,1.8251312293241442,1.9350747157753887,2.242266046750592,0.7085536890529417,0.6114191711454134,0.1816970364619007,0.3048994505492412,0.3410606423122529,0.2948444163964363,0.24274877441393694,0.2544289766509659,0.2529208632356147,0.2529208632356147,0.2691253572231362,0.3150290194558388,0.09472555182912468,0.08148969997695177,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,32.377504871992556,35.05417354056897,35.493556245954075,34.878202369898524,33.991320741456875,34.2214823381049,34.19209908337133,34.19209908337133,34.48109306054841,35.142734583566366,29.678933636369166,29.191419189059662,16.971497150025968,16.95712357744737,16.95305032627375,16.95826662904705,16.96427595837191,16.962916662765398,16.963091772985166,16.963091772985166,16.961216377972242,16.95597636686545,16.982138139606395,16.983795041678054,-1.5023594020431168,-1.838572714392701,-2.364819638070311,-1.9454053615903923,-1.5900672226560517,-1.5900672226560517,-1.6046851927582075,-1.6046851927582075,-1.3415617309194026,-3.051864232871636,-1.663157073166831,-1.5900672226560517,False,False,False,False,False,False,False,False,False,False,False,False,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21
20,10.0,13.204666043657287,13.660798121107845,13.129380886579233,13.30663072349827,13.438699338437374,12.811280587549033,13.12034137728166,13.264557747104359,13.32071373058588,13.327759240080407,9.002632279046146,6.985711637282577,5.37752378277501,8.000690461355978,5.868130482885825,5.83223485313255,6.495515497599825,4.290158013510204,5.126188986306173,5.657917743580331,5.900276772379644,5.93234206516894,2.7675043034160067,1.9514619220447111,0.256131306308944,0.393811752103009,0.2811892838192595,0.2793563517243953,0.31375570131751995,0.2017127456910496,0.24347829589743805,0.27048760804355265,0.28291555557171316,0.28456538799838305,0.12777205767235875,0.08923286092209506,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,30.885731343095344,33.545651725264676,31.655450065629935,31.438691648190915,32.19081974666973,28.94538849527066,30.455164779623114,31.21542374857588,31.522576327563666,31.561585670173507,27.979816724874695,26.814125905217747,25.24663585580454,25.189723361385585,25.235991602311255,25.23677039759128,25.22237979241751,25.270227455522527,25.25208884143375,25.240552399553078,25.23529415310364,25.234598461208876,25.303263107235143,25.320968046785744,-2.0218608264135787,-3.315473426999997,-3.8785753825493794,-2.8587981576018997,-2.2805833465308623,-1.7327003627530853,-1.960984939327159,-2.0827367134999983,-1.245693266061728,-9.890069232333323,-1.7327003627530853,-1.4587588708641968,False,False,False,False,False,False,False,False,False,False,False,True,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
20,10.1666666666667,13.208310794216814,13.67071141033648,13.131834703962237,13.290357993743227,13.467142715562145,12.821416826647168,13.105964980069416,13.301665315207902,13.312461987813338,13.320499769861101,8.983939053341208,6.935950719047637,5.435118794435451,8.08126267712421,5.921387392262503,5.802237914209207,6.687976563849827,4.361578849069311,5.126188986306173,5.855424004982871,5.900276772379644,5.93773114078683,2.8152198948542138,2.000248470095829,0.2557168759847574,0.39288817349392635,0.2802460095509445,0.2742200029296346,0.31958827563571846,0.20263255137992603,0.24034914772324734,0.27697359399087135,0.27924743241508154,0.28114810465463747,0.1284197538187861,0.09038005813961295,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,30.75228555891147,33.41064960459646,31.51129583455257,31.189911089146843,32.18074235065873,28.86725221168672,30.236463954900433,31.256804538287906,31.315126084078,31.358881019796115,27.944676241147555,26.941103041586413,25.315121058913565,25.257636965031704,25.304557495113364,25.30714586524214,25.28790432511886,25.3384423421624,25.3218321641598,25.30599046539588,25.305016096349373,25.304202448065205,25.372035014080463,25.389739226688977,-2.0370797981851836,-3.345911370543207,-3.9090133260925892,-2.9010861726322017,-2.3262402618456774,-1.7479193345246902,-1.960984939327159,-2.128393628814813,-1.245693266061728,-9.966164091191347,-1.7479193345246902,-1.4739778426358017,False,False,False,False,False,False,False,False,False,False,False,True,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
20,10.3166666666667,13.18699525723931,13.790412275670686,13.179208306949052,13.338747387963782,13.542767420704596,12.731205952573632,13.034448927804988,13.370674528364088,13.447488614682085,13.283913107395396,8.378894235599107,5.842887485775233,5.434265968513654,8.54482240702723,6.147970059832709,5.999893294679887,6.935011125424748,4.354437966725585,5.033313760075254,6.130784536307513,6.462835452344631,5.799021584780351,2.640650950691709,1.675449050892048,0.22677286927250523,0.369005452358245,0.25854199383997667,0.25191914212315564,0.29421413765692367,0.17966422464438936,0.20918537156772116,0.2578279594258479,0.27277404443250947,0.24300184928366414,0.10700210830938155,0.0672129649867541,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,30.028174380854992,33.30257368353783,31.16206786877336,30.78426626832462,31.86884296175131,27.973493521621595,29.313500374823498,30.952921463043133,31.354470956590596,30.512329383804055,26.95086336821624,25.67149762128242,25.61024455478909,25.542314043076008,25.594658184603123,25.597891988788476,25.577470230170626,25.633826595550463,25.619000830146927,25.59503349411131,25.587781933470286,25.602278765981524,25.67125347761085,25.692332233214835,-2.139110122210545,-3.659364835416431,-4.231341856226567,-3.0795611928342765,-2.500358766932736,-1.8531216118054772,-2.0487979610299973,-2.3046824177082157,-1.386508779039314,-9.921008010601073,-1.9885898535762987,-1.5972371551272586,False,False,False,False,False,False,False,False,False,False,False,True,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95
