doy,hod,A(std),A(tuz),A(sox1),A(sox2),A(wue),A(cmax),A(pmax),A(cgn),A(pmax2),A(lcst),A(cap),A(mes),E(std),E(tuz),E(sox1),E(sox2),E(wue),E(cmax),E(pmax),E(cgn),E(pmax2),E(lcst),E(cap),E(mes),gs(std),gs(tuz),gs(sox1),gs(sox2),gs(wue),gs(cmax),gs(pmax),gs(cgn),gs(pmax2),gs(lcst),gs(cap),gs(mes),gb(std),gb(tuz),gb(sox1),gb(sox2),gb(wue),gb(cmax),gb(pmax),gb(cgn),gb(pmax2),gb(lcst),gb(cap),gb(mes),Ci(std),Ci(tuz),Ci(sox1),Ci(sox2),Ci(wue),Ci(cmax),Ci(pmax),Ci(cgn),Ci(pmax2),Ci(lcst),Ci(cap),Ci(mes),Tleaf(std),Tleaf(tuz),Tleaf(sox1),Tleaf(sox2),Tleaf(wue),Tleaf(cmax),Tleaf(pmax),Tleaf(cgn),Tleaf(pmax2),Tleaf(lcst),Tleaf(cap),Tleaf(mes),Pleaf(std),Pleaf(tuz),Pleaf(sox1),Pleaf(sox2),Pleaf(wue),Pleaf(cmax),Pleaf(pmax),Pleaf(cgn),Pleaf(pmax2),Pleaf(lcst),Pleaf(cap),Pleaf(mes),Rublim(std),Rublim(tuz),Rublim(sox1),Rublim(sox2),Rublim(wue),Rublim(cmax),Rublim(pmax),Rublim(cgn),Rublim(pmax2),Rublim(lcst),Rublim(cap),Rublim(mes),Ps(std),Ps(tuz),Ps(sox1),Ps(sox2),Ps(wue),Ps(cmax),Ps(pmax),Ps(cgn),Ps(pmax2),Ps(lcst),Ps(cap),Ps(mes)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa]
20,8.2,15.86987857,17.25714988,15.53095424,16.67854211,17.23320479,16.76882204,16.55286976,16.55286976,16.92377768,17.08301563,6.46108129,7.834791685,2.301109759,3.372970381,2.331377191,2.812843972,3.345344147,2.885639713,2.717429355,2.717429355,3.022969523,3.179693948,1.698724507,1.9849608,0.162105708,0.24173457,0.164316506,0.19977891,0.239647648,0.205192903,0.192712126,0.192712126,0.215432437,0.227173406,0.118538055,0.139138307,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,23.2386753,27.38323956,23.78217516,25.49156838,27.29926215,25.76944201,25.11518337,25.11518337,26.26013754,26.78450974,30.36335523,30.04117215,15.72567721,15.71633918,15.72541352,15.72121899,15.71657986,15.72058479,15.72205024,15.72205024,15.71938838,15.718023,15.73092518,15.72843149,-1.997019786,-1.731727826,-3.475074993,-2.0955568,-2.330529679,-2.186514043,-2.125875881,-2.125875881,-1.686249204,-4.066297076,-1.428537014,-1.519494257,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-1.33,-1.33,-1.33,-1.33,-1.33,-1.33,-1.33,-1.33,-1.33,-1.33,-1.33,-1.33
20,8.283333333,13.11130451,13.48234209,13.33803779,13.39749715,13.16609512,13.20185458,13.33960577,13.16609512,13.32563782,13.2494192,7.960543696,9.613054487,1.849614696,2.366492957,2.324341434,2.219626487,1.908878791,1.950247058,2.131385975,1.908878791,2.111183913,2.008553289,1.838345302,2.321228558,0.167728119,0.216894937,0.212844193,0.202816273,0.173314464,0.177220533,0.194402273,0.173314464,0.192479688,0.182737174,0.166669794,0.21254751,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,26.23147601,28.74785039,28.6710851,28.13550394,26.57806769,26.80864687,27.7309641,26.57806769,27.63488935,27.12088958,31.18343207,31.53070711,15.73206179,15.72754001,15.72790876,15.72882484,15.73154333,15.73118143,15.72959679,15.73154333,15.72977352,15.73067136,15.73216038,15.727936,-1.591816484,-1.351902507,-3.023303213,-1.655793545,-1.607810749,-1.623805014,-1.67178781,-1.607810749,-1.319913977,-2.39152974,-1.183962723,-1.295922579,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08
20,8.383333333,13.99224841,14.59564114,13.99699744,14.19455062,14.10035868,14.27554072,14.10035868,14.00052292,14.27297338,14.16723589,7.94512037,9.581287277,2.397604195,3.300753623,2.6538199,2.628914937,2.515049039,2.737268914,2.515049039,2.40620391,2.734358988,2.595030985,2.119660331,2.660883745,0.160968974,0.224677895,0.178864749,0.177122354,0.169156545,0.184724963,0.169156545,0.161569219,0.184520418,0.174747871,0.141714004,0.179361665,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,25.11417504,28.56338911,26.48194395,26.18037191,25.67365005,26.63103821,25.67365005,25.15627425,26.61653234,26.0314616,30.16446985,30.53308489,15.69738702,15.68950082,15.69514977,15.69536724,15.6963615,15.69442111,15.6963615,15.69731193,15.69444651,15.69566311,15.69981399,15.69508809,-1.751759135,-1.45586523,-3.439154106,-1.7677534,-1.783747666,-1.855721859,-1.783747666,-1.751759135,-1.39188817,-2.871357694,-1.199956988,-1.327911109,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08
20,8.5,13.96786191,14.58513235,14.12248777,14.321598,14.30319376,14.41114514,14.30319376,14.10582006,14.32824742,14.28139974,7.296341945,8.942275587,2.005465373,2.741570913,2.364739269,2.359064268,2.337372355,2.474601021,2.337372355,2.127664004,2.367162708,2.311825307,1.772435983,2.236355722,0.158633697,0.219751756,0.188260786,0.187793835,0.185992559,0.197398965,0.185992559,0.168669897,0.188463942,0.183875303,0.139621604,0.177631959,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,24.82078989,28.22504492,26.87293641,26.67203732,26.56939962,27.1816089,26.56939962,25.5137016,26.70919536,26.44888606,30.66338467,30.91749204,16.0050202,15.99848888,16.00183243,16.00188279,16.00207526,16.00085765,16.00207526,16.00393596,16.00181093,16.00230193,16.00708783,16.00297156,-1.761369504,-1.519668746,-3.273948447,-1.823743894,-1.862727887,-1.909508679,-1.862727887,-1.800353498,-1.472887954,-2.798343728,-1.301358383,-1.410513564,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2
20,8.583333333,14.00096639,14.62327193,14.16209723,14.35355512,14.31324519,14.44386125,14.31324519,14.13762379,14.41287827,14.32895952,7.326039425,8.983191696,2.00683878,2.750358998,2.372208242,2.358529885,2.311297829,2.474601021,2.311297829,2.127664004,2.433655177,2.329692325,1.772435983,2.236355722,0.157567372,0.218833191,0.187469486,0.186347085,0.182459466,0.195921489,0.182459466,0.167414807,0.192538707,0.183971911,0.138588822,0.176307764,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,24.95782646,28.41763849,27.05365517,26.8157894,26.59054135,27.33313663,26.59054135,25.6489512,27.15355469,26.67790546,30.83252179,31.08490274,16.08849485,16.08186898,16.08523886,16.08536076,16.08578166,16.08432639,16.08578166,16.08741812,16.08469128,16.08561774,16.09058372,16.08644951,-1.761369504,-1.519668746,-3.289542044,-1.823743894,-1.854931089,-1.909508679,-1.854931089,-1.800353498,-1.480684752,-2.813937325,-1.301358383,-1.410513564,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2
20,9.916666667,15.75996027,18.62227643,15.82801025,16.59360395,18.50147146,15.19971882,16.28540296,16.47567591,17.80277206,16.33875878,7.665938984,7.193434818,3.57580502,5.824982,3.939249449,4.055428775,5.682258432,3.296179685,3.866668445,3.981745435,4.966816845,3.898483206,3.257089389,2.807210517,0.148040279,0.246658047,0.163670691,0.168689374,0.240266983,0.136090172,0.16054874,0.165516068,0.208506647,0.161920897,0.134424339,0.115344892,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,21.82253192,26.63024466,23.36092527,23.08107347,26.39370123,21.02386811,22.60464412,22.89684783,25.09555699,22.68607795,29.86433504,29.03798981,25.24218879,25.21413573,25.2376557,25.23620664,25.21591586,25.24567644,25.23856097,25.23712566,25.22483927,25.23816416,25.246164,25.25177516,-2.252567821,-1.893915082,-5.870282405,-2.31494221,-3.032247688,-2.166803036,-2.346129405,-2.385113398,-1.784759901,-5.870282405,-1.387123168,-1.465091155,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2
20,10,15.71587686,18.60009075,15.78645101,16.45134774,18.49385951,15.5278666,16.29910917,16.33668829,17.74460358,16.27398735,7.648651323,7.166761158,3.586871731,5.862118935,3.952360888,4.005364234,5.735864625,3.487715809,3.912859067,3.935874637,4.966816845,3.897803589,3.257089389,2.807210517,0.147575521,0.246717734,0.163194503,0.16547462,0.241097528,0.143359549,0.161509923,0.162496861,0.207169901,0.160864566,0.133576903,0.114620912,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,21.7621774,26.59208376,23.30192694,22.86346733,26.38438892,21.4910842,22.62951033,22.68690992,24.99723946,22.59124393,29.77318326,28.9578905,25.24724682,25.21886461,25.24268758,25.2420264,25.22043955,25.24848372,25.24318034,25.24289324,25.23003291,25.24336815,25.25136064,25.25697258,-2.252567821,-1.893915082,-5.870282405,-2.299348613,-3.055638084,-2.229177425,-2.361723002,-2.369519801,-1.784759901,-5.862485607,-1.387123168,-1.465091155,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2
20,10.18333333,16.25703852,18.74051624,16.02922206,16.70537399,18.38085364,16.07661708,16.40380125,16.55469796,17.83528975,16.45947513,8.54576138,8.092795697,3.972246439,6.190719055,4.188062891,4.259604001,5.741854925,3.86216791,4.062278307,4.159075373,5.168354002,4.097582688,3.65902057,3.168062847,0.162095452,0.258233073,0.171257974,0.174306326,0.238439968,0.15743855,0.1659202,0.17003486,0.213406776,0.167420019,0.148862022,0.1282742,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,22.67005988,26.97378825,23.7340157,23.36566088,26.27001611,22.39779713,22.89435973,23.12831697,25.26257442,22.98030322,29.66140463,28.77680366,25.42963307,25.40183124,25.42692847,25.42603191,25.40745639,25.43101257,25.42850479,25.42729174,25.41464349,25.42806236,25.43355841,25.43971107,-2.231587089,-1.799741931,-5.870282405,-2.231587089,-2.871357694,-2.207595691,-2.263575619,-2.29556415,-1.679784942,-5.85428814,-1.287925447,-1.375893905,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08
20,10.35,14.69940358,18.22310504,15.24497245,15.95767043,18.36598247,15.07070231,15.6740339,15.86691874,17.29044072,15.60135049,6.559155302,5.926187975,3.237519069,5.697619377,3.808830901,3.88241132,5.864165567,3.410066892,3.722351766,3.8303955,4.803563482,3.68318981,2.862488981,2.375964499,0.1285273,0.231617706,0.152028902,0.155079325,0.238775433,0.135602367,0.148462393,0.152929576,0.193586433,0.146845477,0.113236713,0.093558723,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,20.47427484,26.00366526,22.68144164,22.25165773,26.27369769,20.98175572,21.83591453,22.11745264,24.35066456,21.73093417,29.61789625,28.77904654,25.4911675,25.46029691,25.48399839,25.48307506,25.458207,25.48900228,25.48508357,25.48372779,25.47151598,25.485575,25.49587357,25.50197873,-2.292630827,-2.019759097,-5.870282405,-2.421486922,-3.338639128,-2.36084876,-2.459385774,-2.497284625,-1.906062542,-5.862702635,-1.496754946,-1.557393109,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-1.33,-1.33,-1.33,-1.33,-1.33,-1.33,-1.33,-1.33,-1.33,-1.33,-1.33,-1.33
