doy,hod,A(std2),A(tuz),A(sox1),A(sox2),A(wue),A(cmax),A(pmax),A(cgn),A(pmax2),A(lcst),A(cap),A(mes),E(std2),E(tuz),E(sox1),E(sox2),E(wue),E(cmax),E(pmax),E(cgn),E(pmax2),E(lcst),E(cap),E(mes),gs(std2),gs(tuz),gs(sox1),gs(sox2),gs(wue),gs(cmax),gs(pmax),gs(cgn),gs(pmax2),gs(lcst),gs(cap),gs(mes),gb(std2),gb(tuz),gb(sox1),gb(sox2),gb(wue),gb(cmax),gb(pmax),gb(cgn),gb(pmax2),gb(lcst),gb(cap),gb(mes),Ci(std2),Ci(tuz),Ci(sox1),Ci(sox2),Ci(wue),Ci(cmax),Ci(pmax),Ci(cgn),Ci(pmax2),Ci(lcst),Ci(cap),Ci(mes),Tleaf(std2),Tleaf(tuz),Tleaf(sox1),Tleaf(sox2),Tleaf(wue),Tleaf(cmax),Tleaf(pmax),Tleaf(cgn),Tleaf(pmax2),Tleaf(lcst),Tleaf(cap),Tleaf(mes),Pleaf(std2),Pleaf(tuz),Pleaf(sox1),Pleaf(sox2),Pleaf(wue),Pleaf(cmax),Pleaf(pmax),Pleaf(cgn),Pleaf(pmax2),Pleaf(lcst),Pleaf(cap),Pleaf(mes),Rublim(std2),Rublim(tuz),Rublim(sox1),Rublim(sox2),Rublim(wue),Rublim(cmax),Rublim(pmax),Rublim(cgn),Rublim(pmax2),Rublim(lcst),Rublim(cap),Rublim(mes),Ps(std2),Ps(tuz),Ps(sox1),Ps(sox2),Ps(wue),Ps(cmax),Ps(pmax),Ps(cgn),Ps(pmax2),Ps(lcst),Ps(cap),Ps(mes)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa]
70,7.6,7.693896434744102,7.62360396137501,6.994636908313364,6.427859723908863,7.43262215646156,7.298359204286881,7.242112259766067,7.154150576842699,7.035241731596193,6.929694954486688,5.533814256564009,5.230701205889874,0.6399104786301925,0.6266700923655733,0.5714011466923264,0.4506021198851145,0.594882763599585,0.572449175591588,0.5636519674201255,0.5500081199705109,0.5319900174409384,0.5168311774528255,0.779875787246236,0.7698053263088256,0.0699466997287879,0.06846445357813881,0.06225587055927503,0.04882033747483605,0.06489477453761823,0.06238192655702601,0.06139796750013398,0.05987351855197945,0.05786330621387515,0.05617471169987731,0.08581958644335777,0.0846710864364718,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,22.491919068490805,22.289085154290547,22.16011138410381,19.134528266022073,21.750347081202833,21.3807422238668,21.227979393757785,20.991445756600154,20.676074172121524,20.400134470903033,29.676257893541166,30.115540651774467,27.85733874359528,27.857806555131546,27.859759326740047,27.86402741810691,27.858929670334273,27.859722297608144,27.86003312203481,27.86051518872897,27.86115180733333,27.861687401996587,27.852393465962223,27.85274927716802,-1.220985816303318,-0.9218376542769128,-1.909436380966826,-1.9389647600332012,-1.1800066160257283,-1.1431253357758975,-1.1513211758314155,-1.1390274157481386,-1.1185378156093435,-3.187987429627626,-1.1472232558036564,-1.081656535359513,True,True,True,True,True,True,True,True,True,True,True,True,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999
70,7.7666666666666675,7.734226715568154,7.639946449539042,7.067182270462763,7.251116795055678,7.4236493680542885,7.451897572480139,7.339982517656846,7.251685826482114,7.131038435075367,7.060686159755058,5.570630015316876,5.268988463826376,0.6252637725244669,0.6079124645573662,0.5623883734588316,0.5453145254743494,0.5726609359297178,0.5771436975378702,0.559121467385921,0.545425145666224,0.5272733248018122,0.5168311774528255,0.7644327023502713,0.7698053263088256,0.07142152808037516,0.06938894967110143,0.064039689708126,0.062045114776364936,0.06525231488530678,0.06577755277464686,0.06366731701434018,0.06206609351128265,0.059947285515996394,0.05873010747079742,0.08793000367757342,0.08857153067074623,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,22.649187906900394,22.375915502426714,22.36114772006238,21.292304272507092,21.765130652877797,21.843765440824427,21.534139047746578,21.293325871617238,20.968973684441295,20.78222826883674,29.743148989120836,30.363460087516238,27.902570894855593,27.903184281028015,27.90479360339408,27.905397181077305,27.904430457988155,27.90427198786072,27.904909091806566,27.905393270542362,27.906034955650114,27.906404096051887,27.897651133339764,27.89746120568405,-1.2086920562200412,-0.9136418142213949,-1.876653020744754,-1.7664849254944301,-1.1595170158869332,-1.1472232558036564,-1.1472232558036564,-1.1349294957203795,-1.1144398955815846,-3.187987429627626,-1.1390274157481386,-1.081656535359513,True,True,True,True,True,True,True,True,True,True,True,True,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999
70,10.5,6.9694842283376435,6.985227650198101,6.961514964409948,6.969087020424261,6.478119115674253,5.741385840306683,6.3967964730383615,6.225018116196881,6.288571201580803,6.004229352019235,4.9898367945396345,4.573660143292641,0.6765944464606223,0.6785463362641345,0.6875061314076695,0.6776265822766695,0.5904725024139759,0.4797469583701769,0.5771395301142503,0.5500081199705109,0.559913442027329,0.5168311774528255,0.8339265843821138,0.7969749260609017,0.06144199077961055,0.06164911641674995,0.06244634025511535,0.061528004021323225,0.05345907221215661,0.04324380479571293,0.052224238863814894,0.049715503721182455,0.05063078278095232,0.04665510457079099,0.07623927732901993,0.07275302635150464,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,22.21435164770578,22.25116936450596,22.534778951552713,22.21436152510789,20.998554425480858,19.23094370523578,20.800486072277614,20.38455759957419,20.53805292180836,19.85476993140581,29.802837044221928,30.23064536023765,29.919216217760443,29.91914598114915,29.918823572759276,29.919179077486447,29.922315221350143,29.92629955846958,29.922794993717982,29.923771287720164,29.92341485558256,29.924965123566484,29.91355479353702,29.914884458386677,-1.2578670965531487,-0.9382293343879486,-2.487243104880841,-1.8124333642577368,-1.1759086959979692,-1.065264855248477,-1.1636149359146923,-1.1390274157481386,-1.1431253357758975,-3.187987429627626,-1.1759086959979692,-1.0939502954427898,True,True,True,True,True,True,True,True,True,True,True,True,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999
70,10.566666666666666,7.113161071190612,6.932559545858718,7.199173384106889,7.1480283552993615,6.781468077239296,6.24351239745524,6.612845093716691,6.553705569653996,6.587238660040055,6.395190747595777,5.076600474844683,4.659323084507001,0.634266083953169,0.6011176899146988,0.658198862983708,0.6418695193443248,0.5771395301142503,0.4948362051355364,0.5500081199705109,0.5408245526769018,0.5460320684860255,0.5168311774528255,0.7953188721422011,0.7516922598074414,0.06786228728240927,0.06425280310999625,0.07048438171982156,0.06868767170817813,0.06162030924154112,0.052629650773187424,0.05864886318768072,0.05764478498579905,0.058214038622323584,0.05502555999922032,0.08579328540447069,0.08091980533536962,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,22.525715764331462,22.071092544095702,22.955469401564436,22.61431153862211,21.69633389458243,20.383976794962795,21.281373126063304,21.136625190888996,21.218648887484015,20.75064277922743,29.752088511773334,30.021260711438945,29.883412572912448,29.884604922988373,29.882551709159564,29.88313907680415,29.88546741909076,29.888427875506032,29.886443337830812,29.8867736713953,29.88658635668367,29.88763671479755,29.87761949274084,29.879188745069303,-1.216887896275559,-0.9136418142213949,-2.3069346236594463,-1.753116884003611,-1.1636149359146923,-1.0775586153317538,-1.1390274157481386,-1.1308315756926206,-1.1308315756926206,-3.187987429627626,-1.1554190958591743,-1.073460695303995,True,True,True,True,True,True,True,True,True,True,True,True,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999
70,11.833333333333336,5.730955348242884,6.183595052339115,5.973668045914069,5.903849648143202,4.775553433651982,4.078183085966283,5.36645757356115,4.535054032780862,5.231552045883435,4.799877613346924,4.335269826759969,3.8798640541817138,0.6885825225008733,0.7880559024418908,0.7543946937048989,0.7262993084862109,0.5128474057257536,0.4069985457118725,0.6166813720056517,0.47453009256423784,0.5916881900118396,0.5168311774528255,0.9265850937579043,0.8513141255650538,0.04621256235857516,0.05305491488537391,0.050716856360278874,0.048789305606364804,0.03424429008460396,0.027091181420571826,0.04130512087936158,0.031649669073595704,0.039601561780997496,0.034514386809672455,0.06264139999773644,0.057422620192249446,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,20.637062995418816,21.79931147151965,21.613507397284998,21.080492604763325,18.253529621386306,16.57390063766495,19.715300910940023,17.668861258827842,19.378336789023024,18.312988582334018,29.26187860077677,29.54471715605175,30.985570870285862,30.98196033769495,30.9831821207616,30.98420188407965,30.991949434750648,30.99579137476533,30.98818062826675,30.993340217973735,30.989087792557264,30.991804837898066,30.976932217002403,30.979664287471618,-1.2701608566364255,-0.9751106146377795,-3.069147748822616,-1.915034682269785,-1.1062440555260666,-1.0078939748598512,-1.2004962161645232,-1.073460695303995,-1.1718107759702103,-3.187987429627626,-1.225083736331077,-1.1185378156093435,True,True,True,True,True,True,True,True,True,True,True,True,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999
70,12.083333333333336,5.792161897503144,6.258138608725308,6.014231031639476,5.7792905344377425,4.962377979167998,4.267095382532515,5.414956577224118,4.640794770866112,5.279694693050311,4.846852772219471,4.364112769267758,3.9093964951767544,0.6907713906440869,0.7931631303744897,0.7520943696427198,0.6888736303560593,0.5362062770325221,0.4281818545416006,0.6166813720056517,0.4842196892186579,0.5916881900118396,0.5168311774528255,0.9265850937579043,0.8603706588157461,0.047033265484262586,0.05418234578441021,0.05129156993507041,0.046893115506131705,0.036345408084734715,0.02892901280662333,0.041901885456469785,0.03277025845304428,0.04017331672259128,0.035011661246851816,0.06355429280293051,0.05889369122183203,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,20.64827754462361,21.83911313198523,21.57358252957543,20.61714798067469,18.58303270015846,16.908518338959396,19.699482404904664,17.802559055020602,19.36354958963935,18.301463425088304,29.2236319083832,29.602541278971433,30.88856333350062,30.88484946807448,30.886339078964753,30.888632167435265,30.894169586827704,30.898087756095308,30.891250663156,30.896055199784506,30.892157194432258,30.894872343833754,30.880010100971212,30.882411774204723,-1.2742587766641846,-0.9751106146377795,-3.0445602286560622,-1.9417969717946053,-1.1267336556648615,-1.0242856549708872,-1.2004962161645232,-1.081656535359513,-1.1718107759702103,-3.187987429627626,-1.225083736331077,-1.1226357356371026,True,True,True,True,True,True,True,True,True,True,True,True,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999
70,14.366666666666667,5.80206769902466,6.299932226258095,5.9468367380986145,5.687010293219207,4.8154763214246215,4.151126210756095,5.296465434850838,4.5221987809237945,5.257936394589262,4.726411115587016,4.351430399363676,3.8991568885931587,0.7168917540407251,0.8292878356916557,0.7650757466854898,0.6935485403903145,0.5315702545589691,0.4281818545416006,0.6166813720056517,0.4842196892186579,0.6094650393853789,0.5168311774528255,0.9497497211018521,0.8784837253171304,0.04637852640203578,0.05383166475806461,0.04955332041237478,0.04483120435839925,0.03421245639914868,0.027477111166181435,0.0397870350416954,0.031122823499212256,0.03931332824494768,0.033249833498222955,0.061865928865192585,0.05710607534248745,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,20.36513367220074,21.61800939194589,21.167305394651265,20.08052681895178,17.9576813514256,16.39256942405626,19.118041399090398,17.261509745834296,19.024221218409174,17.745370269050248,28.97181101930217,29.31775539386484,30.676700202896534,30.672631635736746,30.674956015668453,30.677545191717027,30.683408559235293,30.68715106202396,30.680327666269186,30.685122577662906,30.68058888653133,30.683942091402955,30.668271098751937,30.670850819377428,-1.2988462968307384,-0.9874043747210564,-3.187987429627626,-1.9734299875434904,-1.1226357356371026,-1.0242856549708872,-1.2004962161645232,-1.081656535359513,-1.188202456081246,-3.187987429627626,-1.237377496414354,-1.1308315756926206,True,True,True,True,True,True,True,True,True,True,True,True,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999
70,14.45,5.729856758104384,6.241567319563089,5.899771801996669,5.601190665133535,4.705504472081949,4.064929902702844,5.285281836719992,4.345394212930088,5.153824077300547,4.674484425728046,4.3178116587943345,3.8636433860838815,0.714404287905133,0.8305033710235904,0.7680494024812696,0.688147536255348,0.5222447114050792,0.4229162740085987,0.6252840304941139,0.46476609635031985,0.60061079754458,0.5168311774528255,0.9574712635498345,0.8784837253171304,0.04539128949344802,0.05294888334297073,0.04886282561037317,0.043683710788934925,0.033007493076631,0.026655245645844823,0.0396346259977822,0.029327309070030207,0.03804422806936099,0.032660373815412466,0.06126416846518885,0.056084148718174034,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,20.358354859894956,21.654456137517613,21.22136320477488,20.03807932668095,17.84518144037732,16.32798195002755,19.253430653294046,16.987402270351357,18.93110756574576,17.77080442038756,29.118290180230826,29.3873211987652,30.798458547983053,30.794252054182024,30.796514881970726,30.799409880759193,30.805420860222256,30.809019721168884,30.801687546871555,30.80750342135388,30.802581505709696,30.80561700300306,30.78965176244418,30.792513633365203,-1.2988462968307384,-0.9874043747210564,-3.187987429627626,-1.9834228640145488,-1.1144398955815846,-1.020187734943128,-1.2086920562200412,-1.065264855248477,-1.1800066160257283,-3.187987429627626,-1.241475416442113,-1.1308315756926206,True,True,True,True,True,True,True,True,True,True,True,True,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999
70,16.816666666666666,6.503540925417728,6.7708636914687546,6.507807083139217,6.261077269952507,5.8102201177838495,4.9946576236815154,5.94198263567653,5.525545676324245,5.872075176503202,5.429158089321302,4.7354302088861,4.304472587627204,0.7021034952005245,0.7562044286753635,0.7196486157714784,0.6564282462148949,0.5771395301142503,0.4542105188208688,0.5992760964131764,0.5315702545589691,0.5872010931203574,0.5168311774528255,0.8956989239659743,0.8332010590636701,0.054148818683286554,0.0584436982683699,0.05552374165424199,0.0505409189688056,0.04433381326212972,0.03474604812437606,0.0460688356666158,0.04077036313166644,0.04512209676239397,0.039620140324523795,0.06955548317078084,0.06456394943274815,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,21.404860423436205,22.071342029197865,21.869856303839637,20.8067916166389,19.707975976832675,17.780188593797284,20.025990773085184,19.027254520939273,19.857042599495628,18.79869975581996,29.581654617465972,29.827539859849878,30.17000429756887,30.16805447711023,30.16937196402412,30.171650452805125,30.174508051572147,30.17893846498252,30.17371024038699,30.17615038748128,30.174145428598102,30.176681590036157,30.163027036670368,30.165279486078926,-1.2865525367474615,-0.9628168545545026,-2.724922466490862,-1.9187874286453352,-1.1636149359146923,-1.044775255109682,-1.1841045360534872,-1.1226357356371026,-1.1677128559424514,-3.187987429627626,-1.2086920562200412,-1.1103419755538257,True,True,True,True,True,True,True,True,True,True,True,True,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999,-0.7333333329999999
