doy,hod,A(std2),A(tuz),A(sox1),A(sox2),A(wue),A(cmax),A(pmax),A(cgn),A(pmax2),A(lcst),A(cap),A(mes),E(std2),E(tuz),E(sox1),E(sox2),E(wue),E(cmax),E(pmax),E(cgn),E(pmax2),E(lcst),E(cap),E(mes),gs(std2),gs(tuz),gs(sox1),gs(sox2),gs(wue),gs(cmax),gs(pmax),gs(cgn),gs(pmax2),gs(lcst),gs(cap),gs(mes),gb(std2),gb(tuz),gb(sox1),gb(sox2),gb(wue),gb(cmax),gb(pmax),gb(cgn),gb(pmax2),gb(lcst),gb(cap),gb(mes),Ci(std2),Ci(tuz),Ci(sox1),Ci(sox2),Ci(wue),Ci(cmax),Ci(pmax),Ci(cgn),Ci(pmax2),Ci(lcst),Ci(cap),Ci(mes),Tleaf(std2),Tleaf(tuz),Tleaf(sox1),Tleaf(sox2),Tleaf(wue),Tleaf(cmax),Tleaf(pmax),Tleaf(cgn),Tleaf(pmax2),Tleaf(lcst),Tleaf(cap),Tleaf(mes),Pleaf(std2),Pleaf(tuz),Pleaf(sox1),Pleaf(sox2),Pleaf(wue),Pleaf(cmax),Pleaf(pmax),Pleaf(cgn),Pleaf(pmax2),Pleaf(lcst),Pleaf(cap),Pleaf(mes),Rublim(std2),Rublim(tuz),Rublim(sox1),Rublim(sox2),Rublim(wue),Rublim(cmax),Rublim(pmax),Rublim(cgn),Rublim(pmax2),Rublim(lcst),Rublim(cap),Rublim(mes),Ps(std2),Ps(tuz),Ps(sox1),Ps(sox2),Ps(wue),Ps(cmax),Ps(pmax),Ps(cgn),Ps(pmax2),Ps(lcst),Ps(cap),Ps(mes)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa]
70,7.733333333333332,9.120246515673331,9.104022201075596,8.63752862826423,8.85756804015102,8.878320093540884,8.998507818584843,9.064988797880112,9.087909957413713,8.94161326698306,8.8251117082626,5.8388846903498415,6.358977727673251,1.206867572674746,1.1933146172640738,1.0048232655891318,1.0408414988661652,1.0524999211165313,1.1276741657778597,1.1740689941042945,1.1906443902615746,1.0908321197591169,1.0221766289855843,0.8217562985190086,1.0007223583271192,0.17152156776718397,0.16951849043169331,0.1410641751177758,0.1464452200603773,0.1482397024817322,0.1595536907941379,0.1665880313492376,0.16911083575725125,0.15399593948213403,0.14370502675240657,0.11414612609793964,0.1405066856623139,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,30.555958808753132,30.478004952012284,29.31817277192692,29.361921983459666,29.451623929847973,29.989844907380636,30.29540925644488,30.402125004972344,29.732834022094142,29.218931907661545,30.9868987152779,31.878905644469633,27.859865295699084,27.86034423957833,27.867005279657015,27.865732441973535,27.865320448440816,27.862663888062183,27.861024354957987,27.860438601939915,27.863965838220274,27.866392034284978,27.873474629013902,27.867150200404776,-1.6233233636458877,-1.4433292156146058,-2.103307758395973,-2.0737873368260953,-1.5833246640833807,-1.6433227134271413,-1.6166569137188032,-1.663322063208395,-1.5833246640833807,-1.4299963157604367,-2.0699755087605505,-2.14330645795848,False,False,True,False,False,False,False,False,False,False,True,True,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667
70,7.8,9.137223207676048,9.152766876025467,8.631824392888035,8.96023167083872,8.928957946771122,9.063074590697347,9.03983040411378,9.063074590697347,8.991811069207264,8.893816031156863,5.825906099899246,6.351361114362325,1.237445983089662,1.248326290562711,1.0240183537159244,1.121489769056554,1.1013847009028854,1.1906443902615746,1.1740689941042945,1.1906443902615746,1.141497290262633,1.0804746632769033,0.8363006577848318,1.0168630415259439,0.16731690813556713,0.16895218992768538,0.1367618292567533,0.15062609443253588,0.14780128749714533,0.16060604215669624,0.1582182135107497,0.16060604215669624,0.1535393022760464,0.14482066276590647,0.11053869624988795,0.13579709779390942,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,30.598302135344614,30.670573499267658,29.29189717686382,29.78015205768454,29.638444298226347,30.24871262098514,30.141286460326892,30.24871262098514,29.921579495490427,29.48225713034087,31.013012644587825,31.91140597113042,27.823994411462174,27.823610084217176,27.831533357673646,27.82809035566137,27.828800530945763,27.82564759334859,27.826233089333485,27.82564759334859,27.827383626047027,27.829539140325462,27.838164146839596,27.831786106176192,-1.6366562635000568,-1.4499956655416903,-2.1166406582501422,-2.0431438017717376,-1.5966575639375498,-1.663322063208395,-1.6166569137188032,-1.663322063208395,-1.5966575639375498,-1.4366627656875213,-2.0833084086147196,-2.156639357812649,False,False,True,False,False,False,False,False,False,False,True,True,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667
70,9.933333333333334,8.928527070792724,8.862123696941236,8.783539338582022,9.026272831613502,8.858286378714295,8.792277651576125,9.001064137105454,9.01266492633316,8.814319913857174,8.887523267102452,5.356697874065921,5.732153924795868,1.3341548402007772,1.2856390859568285,1.1931079894458259,1.4105576996181999,1.2935100349904205,1.2529467595657187,1.3875494448170547,1.395751791171288,1.266608240042723,1.3116688471047617,0.8726615559493898,1.0330037247247683,0.1737275210483957,0.16726690865955748,0.15409262082250613,0.1844038459243725,0.1683632459156963,0.1627066989320219,0.18157834205212228,0.1827377614836658,0.16460887066963345,0.1709039886054399,0.11092014079492077,0.13248509118089877,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,30.257740640212496,30.029435423759384,29.398448093792368,30.581405189503474,30.016341300804434,29.801331490758894,30.484719517835774,30.522965889396698,29.873002578804122,30.111906860214646,30.88668040338394,31.650220650603007,29.71204316506063,29.713785557342472,29.717108714343805,29.709299236729848,29.713502880487074,29.714959667857023,29.710125553999546,29.709830975357963,29.71446903015567,29.712850725850537,29.728617210937703,29.722858690603818,-1.663322063208395,-1.4499956655416903,-2.296634806281424,-2.107593666840931,-1.6499891633542259,-1.6833214129896485,-1.676654963062564,-1.72998656247924,-1.6299898135729722,-1.4633285653958594,-2.1166406582501422,-2.169972257666818,True,True,True,True,True,True,True,True,True,True,True,True,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667
70,10.183333333333334,9.006576136274733,9.026489404012166,8.811442322647274,9.063947499510801,8.888623568177172,8.849916391773975,9.001200418521366,9.10124421894108,8.927229564433155,8.87969711919622,5.362746665534525,5.751468687691288,1.3866246958267705,1.3933044063180229,1.2247318627972632,1.434211059383179,1.3171453361256458,1.294113284475569,1.3875494448170547,1.4558665985757522,1.3406198566755672,1.3116688471047617,0.9017502744810357,1.0572147495230053,0.16582784296398406,0.16695787367714726,0.14520984496782155,0.17188711574984925,0.1572000753809115,0.1542652860177348,0.16621512259666305,0.1750268933998548,0.16019853208640936,0.15650160959645285,0.10533315367630225,0.12448423393507381,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,30.444937996192,30.500424355235005,29.46908208825068,30.635963622246514,30.04735213931186,29.921089197506852,30.416495066384428,30.746889692445336,30.173625159425864,30.018211771919574,31.12250786456959,31.839783262742568,29.673351716056096,29.67311190393497,29.67916392359639,29.671643290699013,29.67584613443641,29.676673021345263,29.673318516111703,29.670865822754145,29.675003362197565,29.67604274901277,29.690759471020318,29.685178051650617,-1.676654963062564,-1.4633285653958594,-2.3299670559168466,-2.1475039880818954,-1.6566556132813104,-1.6966543128438176,-1.676654963062564,-1.7499859122604937,-1.6499891633542259,-1.4633285653958594,-2.14330645795848,-2.1899716074480717,True,True,True,True,True,True,True,True,True,True,True,True,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667
70,12.033333333333333,8.134903035888629,8.411481613121257,8.045341229621913,8.248493873443733,8.046196415038745,7.771043008449452,8.251612592075542,8.23262956085454,8.162394787763397,8.239915973179462,4.803422819689017,5.095829481133749,1.4642348144480208,1.6596171728981688,1.3481901700842418,1.5502520235468182,1.4108509601988652,1.2529467595657187,1.5489271987770128,1.535017724233223,1.48629860787598,1.5396896251360028,0.9817442504430633,1.1379181655171275,0.13559537902235333,0.1550856806391815,0.12422074861429479,0.14401440214623493,0.13049369355581153,0.11514336805830423,0.14408022564121478,0.14270455065646442,0.1378985366747929,0.14316643520746064,0.08923464416106465,0.1040848050609372,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,29.292754409445976,30.199180225536082,28.565172339420464,29.66966775364195,28.99342338792565,28.10255099701519,29.667873676970746,29.605231159765715,29.373970273048265,29.62931696401905,30.398721232410214,31.143747898694503,30.559979473599345,30.552911750417863,30.564177249844665,30.556867903918352,30.56191057069115,30.56762256632945,30.556915827870192,30.557418986479064,30.55918134225566,30.557249986050497,30.57743299279685,30.5717835881696,-1.6966543128438176,-1.496660815031282,-2.4699625043856215,-2.2513737561115432,-1.6833214129896485,-1.6833214129896485,-1.7233201125521556,-1.7766517119688316,-1.689987862916733,-1.4899943651041974,-2.21663740715641,-2.2566361067189167,True,True,True,True,True,True,True,True,True,True,True,True,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667
70,12.2,8.06421073616208,8.422467546733536,7.963586638185459,8.141491208316912,7.914807561758323,7.670354027321806,8.094126854493616,8.189722040740772,8.070521660017912,8.194104931721105,4.738635774948016,5.02489080090915,1.5022231924442468,1.7656149846427684,1.3818275848037884,1.562114375509777,1.4108509601988652,1.2735667287331194,1.5261196697990163,1.5936365059880138,1.5102771843476084,1.5962026261957822,1.0035607893417982,1.178269873514189,0.12936655931990013,0.15372575243353648,0.11841851371779517,0.13478586030784315,0.12117618194281754,0.10881573171004767,0.13165475131589113,0.13783544692317357,0.13020910516820883,0.13807098895193412,0.08487710602662746,0.10031099806707419,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,29.25367323971056,30.436432388930893,28.50477171724645,29.51132103298142,28.75608092389904,27.96471726602656,29.34371742609828,29.659466289889103,29.26600468374498,29.67403418687322,30.41529698569833,31.293528531172058,30.653790513292243,30.644255090937037,30.658149126592154,30.65162230705804,30.657098409938246,30.662068432423794,30.652925402794768,30.650481129403502,30.6534989392314,30.650388229621807,30.671843302965584,30.66551840994986,-1.7099872126979865,-1.5033272649583664,-2.5099612039481287,-2.293652460473494,-1.6833214129896485,-1.689987862916733,-1.716653662625071,-1.7966510617500853,-1.6966543128438176,-1.496660815031282,-2.2366367569376635,-2.2899683563543394,True,True,True,True,True,True,True,True,True,True,True,True,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667
70,14.833333333333336,8.022188233294647,8.452910403561482,7.8738165448092134,8.059921772249412,7.847610026729092,7.515027342963136,8.058516315921574,8.111977009418435,8.04065639156098,8.140117728465034,4.672042543662621,4.954404055801712,1.565334263006164,1.8964313533411303,1.4235283989638712,1.59811579698985,1.4572055484953734,1.2735667287331194,1.5942978258542944,1.6323640925568745,1.5817011678698518,1.652519725327638,1.0399216875063557,1.1944105567130134,0.1257700735114794,0.1543021694302675,0.11377046463359163,0.12851437481664146,0.11671667245428774,0.10134763046347849,0.12832130679587106,0.13156369454152805,0.12725029182195613,0.1332840695165215,0.08207868387628366,0.09478409630596969,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,28.77171133760063,30.176298599070645,27.946000970455966,28.896587540876535,28.20207479915058,27.146497998198587,28.881934182044173,29.055553711436946,28.824062856156914,29.147188677337887,29.98784492068157,30.697393368960377,30.48854335626499,30.47657612792119,30.493668811018363,30.487358495044237,30.49245157852017,30.499089050588132,30.48749649242846,30.48612061894867,30.487951788131348,30.485392110402923,30.50753395584818,30.50195008444508,-1.72998656247924,-1.52332661473962,-2.5632928033648046,-2.337360427709079,-1.6966543128438176,-1.689987862916733,-1.7366530124063246,-1.8099839616042543,-1.716653662625071,-1.5033272649583664,-2.2699690065730858,-2.3033012562085085,True,True,True,True,True,True,True,True,True,True,True,True,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667
70,15.25,8.07062540523088,8.53031518314204,7.921856574206696,8.093536773285654,7.963013038465682,7.508511264306113,8.13384298847119,8.156190289561104,8.08306416272198,8.184461869381213,4.698424686264132,4.987847516200372,1.5692986407260427,1.9235603315305727,1.4272014427553856,1.5914712714780708,1.5032303669611267,1.2529467595657187,1.6168613690728264,1.6323640925568745,1.5817011678698518,1.652519725327638,1.0471938671392678,1.1944105567130134,0.12312888235109852,0.15291520864298322,0.11139733851610033,0.12492731393676039,0.11775458674403161,0.09730248628022055,0.1271578820695445,0.12844655834301777,0.12424032010738062,0.1301240975991853,0.08075149001173586,0.09256993716525928,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,29.205340156229042,30.727220089788908,28.357623184289785,29.28328297924766,28.845840733730856,27.383193717728957,29.405599644434023,29.479260199141947,29.23863832701483,29.572569329568754,30.50071526709618,31.156320692018898,30.62114492547996,30.608326988912285,30.626286302369724,30.620342672846114,30.623535415234386,30.63259120502706,30.619424005463035,30.618863084168403,30.620696175839978,30.618133810783664,30.640035779453804,30.634709168539782,-1.72998656247924,-1.52332661473962,-2.5699592532918896,-2.346893053490131,-1.7099872126979865,-1.6833214129896485,-1.7433194623334092,-1.8099839616042543,-1.716653662625071,-1.5033272649583664,-2.2766354565001707,-2.3033012562085085,True,True,True,True,True,True,True,True,True,True,True,True,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667
70,16.35,8.424013422951047,8.875617528039095,8.116130523448367,8.361927214556415,8.282690306202884,7.901835328090169,8.422860290827963,8.500051586325666,8.333111720965933,8.474361301278474,4.868982161214728,5.197969177463366,1.6127150129601184,1.962067736607124,1.4106334021885807,1.578793613256729,1.5261196697990163,1.3145866248382365,1.6168613690728264,1.670812231860345,1.5579782333275138,1.652519725327638,1.0326495078734446,1.2186215815112502,0.12942461378363104,0.1595306750363446,0.11238204850121872,0.12652394819012963,0.12217770982333362,0.10446402779691567,0.12985756894195877,0.13444705863045914,0.12486843643735293,0.1328889887633237,0.08125826769131286,0.09651409885118942,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,29.05183221307787,30.52063459190674,27.96633022187268,28.853926553923436,28.59290992877402,27.392852671660606,29.041868249744265,29.29079486368156,28.753939513581326,29.20781529893152,30.006328332242198,30.932553854689854,29.94260068536043,29.93003063100919,29.949871780327904,29.943821210660733,29.945716470915887,29.953327637774645,29.942451495392326,29.940510290324696,29.94457016848857,29.94116847268817,29.963472012339363,29.956780554350896,-1.7433194623334092,-1.5299930646667046,-2.5499599035106355,-2.3568176103612712,-1.716653662625071,-1.703320762770902,-1.7433194623334092,-1.8233168614584234,-1.7099872126979865,-1.5033272649583664,-2.2633025566460017,-2.323300605989762,True,True,True,True,True,True,True,True,True,True,True,True,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667,-1.316666667
