doy,hod,A(std),A(tuz),A(sox1),A(sox2),A(wue),A(cmax),A(pmax),A(cgn),A(pmax2),A(lcst),A(cap),A(mes),E(std),E(tuz),E(sox1),E(sox2),E(wue),E(cmax),E(pmax),E(cgn),E(pmax2),E(lcst),E(cap),E(mes),gs(std),gs(tuz),gs(sox1),gs(sox2),gs(wue),gs(cmax),gs(pmax),gs(cgn),gs(pmax2),gs(lcst),gs(cap),gs(mes),gb(std),gb(tuz),gb(sox1),gb(sox2),gb(wue),gb(cmax),gb(pmax),gb(cgn),gb(pmax2),gb(lcst),gb(cap),gb(mes),Ci(std),Ci(tuz),Ci(sox1),Ci(sox2),Ci(wue),Ci(cmax),Ci(pmax),Ci(cgn),Ci(pmax2),Ci(lcst),Ci(cap),Ci(mes),Tleaf(std),Tleaf(tuz),Tleaf(sox1),Tleaf(sox2),Tleaf(wue),Tleaf(cmax),Tleaf(pmax),Tleaf(cgn),Tleaf(pmax2),Tleaf(lcst),Tleaf(cap),Tleaf(mes),Pleaf(std),Pleaf(tuz),Pleaf(sox1),Pleaf(sox2),Pleaf(wue),Pleaf(cmax),Pleaf(pmax),Pleaf(cgn),Pleaf(pmax2),Pleaf(lcst),Pleaf(cap),Pleaf(mes),Rublim(std),Rublim(tuz),Rublim(sox1),Rublim(sox2),Rublim(wue),Rublim(cmax),Rublim(pmax),Rublim(cgn),Rublim(pmax2),Rublim(lcst),Rublim(cap),Rublim(mes),Ps(std),Ps(tuz),Ps(sox1),Ps(sox2),Ps(wue),Ps(cmax),Ps(pmax),Ps(cgn),Ps(pmax2),Ps(lcst),Ps(cap),Ps(mes)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa]
70,7.316666667,2.48678258,2.516121038,2.630350332,2.613597706,2.4163504,2.514469632,2.623162883,2.564617338,2.592017901,2.596700042,2.757194341,2.182776391,0.451894449,0.496609883,0.855544138,0.74435399,0.372056009,0.493890428,0.78362431,0.594684822,0.669875451,0.684902878,1.323946788,0.794257456,0.046047481,0.050695779,0.088629928,0.076760983,0.03778972,0.0504126,0.080938607,0.060950374,0.068867919,0.070456143,0.139851691,0.082072733,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,31.88362478,32.56626398,35.68128523,34.99868165,30.33025467,32.52725524,35.25212581,33.74389763,34.43768373,34.55834199,37.23561427,36.18723579,27.64605935,27.64511808,27.63756243,27.639903,27.64773996,27.64517532,27.63907635,27.64305358,27.6414708,27.64115446,27.62770244,27.63885252,-1.290284528,-0.970379177,-3.561612521,-1.578199344,-1.207109137,-1.32867317,-1.584597451,-1.392654241,-1.079146997,-2.032464943,-1.475829632,-1.2646921,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9
70,7.416666667,2.477390968,2.501748501,2.618248639,2.604812511,2.412566965,2.480635615,2.610762157,2.560420868,2.578681492,2.588540653,2.74828591,2.17566679,0.438216701,0.474627716,0.834358683,0.73703658,0.364342898,0.442679534,0.762100358,0.594684822,0.646004016,0.677654016,1.294954611,0.766565726,0.046967824,0.050949396,0.090963276,0.080017118,0.03892745,0.04745515,0.082825065,0.064165975,0.069857131,0.073379571,0.144053671,0.083326445,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,31.93507886,32.50397597,35.67616865,35.08736947,30.49215008,32.00999829,35.24605595,33.93861222,34.40448378,34.65996139,37.18708958,36.11769378,27.63818497,27.63741864,27.62984753,27.63189583,27.63973976,27.63809104,27.63136832,27.63489185,27.63381176,27.63314563,27.62015356,27.63127434,-1.277488314,-0.96398107,-3.43365038,-1.571801237,-1.20071103,-1.283886421,-1.56540313,-1.392654241,-1.07274889,-2.019668729,-1.463033418,-1.251895886,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9
70,9.666666667,9.859693582,9.995548475,8.775876125,8.94018215,9.877274192,8.62535538,8.881334163,9.248259181,9.562280984,9.145764454,5.539445386,6.510860014,1.995160037,2.131442512,1.393358558,1.360485439,2.009190309,1.217421339,1.331569096,1.527517132,1.737905241,1.468171871,1.12043851,1.479453623,0.173680005,0.186504897,0.118772938,0.115842274,0.175048906,0.103184522,0.113303195,0.130859925,0.149978106,0.125517511,0.094649527,0.126531433,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,31.13361729,31.63585135,28.50716383,27.99306648,31.19495209,27.00642361,27.80331124,28.99364707,30.06443134,28.65497622,31.07788994,32.1365564,29.82341792,29.82044319,29.83655387,29.83727142,29.82311167,29.84039418,29.8379026,29.8336255,29.82903321,29.83492087,29.84251109,29.83467461,-2.800237785,-1.20071103,-4.732466105,-2.10284412,-2.70426618,-1.981280086,-2.090047906,-2.211611939,-1.367061813,-4.719669891,-1.386256134,-1.584597451,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9
70,9.833333333,9.575598627,9.742798372,8.510556106,8.627448851,9.571478164,8.369944062,8.588353168,8.951202969,9.259708815,8.801255572,5.351212298,6.253626122,2.033333353,2.203446781,1.43206069,1.377821743,2.026117125,1.257993884,1.35804962,1.554490307,1.761464655,1.468171871,1.135016367,1.492982659,0.169703084,0.185024288,0.117136243,0.112497715,0.169112985,0.102341396,0.11084688,0.127710638,0.145718954,0.120273408,0.091963945,0.122406747,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,30.29046106,30.88431598,27.80252131,27.17362105,30.27284222,26.38835178,27.05038873,28.18946702,29.20196159,27.71241959,30.22787144,31.2954019,29.91463278,29.91091378,29.92777775,29.92896351,29.91479054,29.93158318,29.92939577,29.9251012,29.92057635,29.92698829,29.9342717,29.92644588,-2.851422641,-1.207109137,-4.732466105,-2.122038441,-2.723460501,-2.019668729,-2.115640334,-2.237204367,-1.37345992,-4.719669891,-1.392654241,-1.590995558,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9
70,11.63333333,9.146208148,9.39985417,8.135485565,8.16642767,9.214837111,7.511033347,8.128649107,8.434029152,8.881350988,8.280202385,5.069121267,5.882111171,2.087091675,2.351171289,1.506751834,1.410246551,2.150561428,1.12853264,1.390933862,1.554490307,1.855607062,1.468579481,1.193266375,1.547014069,0.155010826,0.176082304,0.109970877,0.102633377,0.160078172,0.081477334,0.10120332,0.113654673,0.136898494,0.107099298,0.086315336,0.11308287,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,30.00802229,30.8892431,27.71629705,26.84960729,30.24090005,24.91029594,26.73115858,27.67330101,29.11332737,27.19490945,30.258603,31.27130838,30.53069644,30.52486911,30.54350256,30.5456321,30.52929588,30.55184856,30.54605826,30.54244913,30.53580452,30.54434489,30.55042011,30.54261411,-2.921801819,-1.226303458,-4.732466105,-2.147630869,-2.870616962,-1.898104695,-2.147630869,-2.237204367,-1.399052348,-4.732466105,-1.418246669,-1.616587986,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9
70,12.01666667,9.29545554,9.439149237,8.368173008,8.514235024,9.383218715,7.819011515,8.398699412,8.764738081,9.077659786,8.677727089,5.244980357,6.096977151,1.927958087,2.066375591,1.410737202,1.378151567,2.009190309,1.073214893,1.318272723,1.520745568,1.737905241,1.468171871,1.12043851,1.465916304,0.167685911,0.180685351,0.120486512,0.117561872,0.175327201,0.090634514,0.112277063,0.130438406,0.150205019,0.125698004,0.094776675,0.125495016,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,30.60536008,31.11220745,28.45900806,27.99750127,30.9119959,25.86343233,27.62779943,28.80075782,29.84661986,28.51729543,30.82560857,31.84095696,30.56132444,30.55826889,30.57274201,30.57346133,30.55953125,30.58019276,30.57478315,30.57031359,30.56551983,30.57147415,30.57915031,30.57152394,-2.717062394,-1.187914816,-4.732466105,-2.10284412,-2.70426618,-1.846919839,-2.077251692,-2.205213832,-1.367061813,-4.719669891,-1.386256134,-1.578199344,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9
70,14.03333333,9.184114281,9.520357724,8.074634804,8.030958434,9.188069817,7.058937465,7.968982914,8.327438643,8.813903143,8.101416716,5.015995286,5.826980397,2.220997933,2.590831812,1.571316925,1.433928789,2.221481409,1.052358112,1.404018351,1.587946427,1.902619302,1.468171871,1.236887078,1.614355366,0.148485659,0.175011737,0.103220886,0.093854265,0.14855366,0.068202913,0.09184572,0.104388724,0.126136505,0.096206708,0.080554209,0.106199826,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,29.7512182,30.91289527,27.24957871,26.11380472,29.76177633,23.35430264,25.9281575,27.00179726,28.52642747,26.32035674,29.89774245,31.01719688,30.3571852,30.34904834,30.37147909,30.37450182,30.35717457,30.38289691,30.37515989,30.37111322,30.36418998,30.37374843,30.37883701,30.37053219,-3.107346922,-1.2646921,-4.732466105,-2.179621404,-2.960190461,-1.827725518,-2.160427083,-2.269194902,-1.411848562,-4.719669891,-1.43744099,-1.648578521,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9
70,14.35,9.261195331,9.578728324,8.158328376,8.124528181,9.286943,7.443539173,8.1258086,8.464428608,8.960844087,8.229134364,5.075563404,5.901356627,2.189900681,2.536301857,1.54782872,1.416737483,2.211581663,1.135415488,1.417062409,1.594602146,1.92611022,1.467963103,1.236887078,1.587445934,0.152417165,0.178319543,0.105801221,0.096492484,0.154059195,0.076753672,0.096540311,0.109172499,0.133097066,0.100149241,0.083846989,0.108660911,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,29.82874347,30.92755297,27.33089308,26.23421261,29.91325323,24.27386061,26.23523747,27.25748052,28.82748958,26.54337946,30.07591775,31.00924701,30.271092,30.26348149,30.28519846,30.28807857,30.27061567,30.29425927,30.28807143,30.28417084,30.27688754,30.28695313,30.29202992,30.28432807,-3.062560173,-1.258293993,-4.732466105,-2.160427083,-2.947394247,-1.904502802,-2.173223297,-2.275593009,-1.418246669,-4.713271784,-1.43744099,-1.635782307,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9
70,15.83333333,9.448278887,9.739876954,8.285533923,8.252916935,9.431715632,7.730558407,8.275725958,8.643202018,9.037499221,8.395562447,5.178870786,6.045100802,2.205435341,2.525936648,1.531718579,1.399881894,2.186492288,1.183387347,1.410545471,1.601245846,1.855607062,1.468579481,1.222353373,1.587445934,0.154927259,0.17911764,0.1055699,0.096136943,0.153547921,0.080795658,0.096914545,0.110604842,0.129094628,0.101065354,0.083546218,0.109609244,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,2.840000033,29.93452026,30.96324208,27.26253236,26.12353356,29.87479074,24.61414096,26.18943609,27.30341135,28.55476888,26.5476768,29.99198069,31.01855071,29.96515225,29.95814288,29.97988646,29.98276973,29.96556654,29.98750448,29.98253652,29.9783659,29.97280301,29.98126732,29.98665229,29.9786677,-3.088152601,-1.251895886,-4.732466105,-2.154028976,-2.915403711,-1.949289551,-2.16682519,-2.281991116,-1.399052348,-4.732466105,-1.431042883,-1.635782307,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9
