doy,hod,A(std),A(tuz),A(sox1),A(sox2),A(wue),A(cmax),A(pmax),A(cgn),A(pmax2),A(lcst),A(cap),A(mes),E(std),E(tuz),E(sox1),E(sox2),E(wue),E(cmax),E(pmax),E(cgn),E(pmax2),E(lcst),E(cap),E(mes),gs(std),gs(tuz),gs(sox1),gs(sox2),gs(wue),gs(cmax),gs(pmax),gs(cgn),gs(pmax2),gs(lcst),gs(cap),gs(mes),gb(std),gb(tuz),gb(sox1),gb(sox2),gb(wue),gb(cmax),gb(pmax),gb(cgn),gb(pmax2),gb(lcst),gb(cap),gb(mes),Ci(std),Ci(tuz),Ci(sox1),Ci(sox2),Ci(wue),Ci(cmax),Ci(pmax),Ci(cgn),Ci(pmax2),Ci(lcst),Ci(cap),Ci(mes),Tleaf(std),Tleaf(tuz),Tleaf(sox1),Tleaf(sox2),Tleaf(wue),Tleaf(cmax),Tleaf(pmax),Tleaf(cgn),Tleaf(pmax2),Tleaf(lcst),Tleaf(cap),Tleaf(mes),Pleaf(std),Pleaf(tuz),Pleaf(sox1),Pleaf(sox2),Pleaf(wue),Pleaf(cmax),Pleaf(pmax),Pleaf(cgn),Pleaf(pmax2),Pleaf(lcst),Pleaf(cap),Pleaf(mes),Rublim(std),Rublim(tuz),Rublim(sox1),Rublim(sox2),Rublim(wue),Rublim(cmax),Rublim(pmax),Rublim(cgn),Rublim(pmax2),Rublim(lcst),Rublim(cap),Rublim(mes),Ps(std),Ps(tuz),Ps(sox1),Ps(sox2),Ps(wue),Ps(cmax),Ps(pmax),Ps(cgn),Ps(pmax2),Ps(lcst),Ps(cap),Ps(mes)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa]
124,7.45,6.272762757856997,6.285911436451901,5.607684421362417,6.018560191379504,5.775616259062815,5.3086436896364795,6.1402637391934425,6.086590802640039,5.8290008002294815,5.289013999816891,4.6732791976043835,5.076027654989762,1.272356066851682,1.2893030739413331,0.795073047348762,1.0144181890838133,0.8476519005576559,0.6368065954003126,1.1240890348823787,1.0731496311956683,0.8797728176812631,0.6302066050665791,1.0124144577256358,1.1672131027712245,0.08670670059976168,0.08788365437397928,0.05381687948789769,0.06887710775692134,0.05741892618918038,0.043008532258023466,0.07644269093650159,0.07292596668117204,0.05962178788677189,0.042558830656695405,0.06873959196958014,0.07942383498179426,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,27.128425854363375,27.232160377964167,23.087145449008723,25.219152439270864,23.540594587029833,20.64730316950896,26.112413607522342,25.713962374572134,23.898294455252994,20.534107182198383,27.71996068975745,28.22691428488598,13.128820977578995,13.128704660900357,13.132096834802926,13.130591347832459,13.131735957065667,13.133183104958652,13.129838616187326,13.130188241476162,13.131515493453724,13.13322840434105,13.130605100548513,13.129542631868702,-5.704911238260522,-1.5435587483229316,-12.71976257844103,-10.053708290340989,-4.317793741614658,-3.247731672773564,-5.11043231112658,-4.912272668748599,-2.4749090674994396,-4.258345848901264,-1.5831906767985278,-2.197485568170267,True,True,True,True,True,True,True,True,True,True,True,True,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
124,7.68333333333333,6.040189187108451,6.053047636242262,5.307107084866629,6.0950059604666995,5.877465938278639,5.446774977628545,6.131954935612813,5.992663599414969,5.836506795524261,5.397267468673191,3.9688959802643735,4.566771802215337,0.9524395218548669,0.9616799823686195,0.6339040953349007,0.9929630526612603,0.848759188545387,0.6527619240053245,1.022411180442931,0.919878483746942,0.8257983740463232,0.6353360843531075,0.8633634484025732,0.9873166560178857,0.06747379189322257,0.06813835575042823,0.04469711574782738,0.07038686542031307,0.060037194914609425,0.046039956642902724,0.07250653835576656,0.06513627894821747,0.058393246693142005,0.044799393775315346,0.06108341106118481,0.0699813536926054,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,24.628501760161843,24.71523820563832,20.920179875743546,25.000101229248084,23.561828761426924,20.97141464175219,25.254354671129562,24.311568066422396,23.30144034886842,20.693068767291972,27.803243224167172,27.75497365672723,13.635058601379757,13.634993078721784,13.637317286190271,13.634771255370868,13.635793782381612,13.63718356828127,13.634562443309852,13.635289486600257,13.635956593920387,13.637307132180466,13.635690225862739,13.634811293084951,-5.324195706098302,-2.2151141105114336,-12.71976257844103,-9.688459278424412,-5.195417178470444,-4.165188957447576,-5.600149693872285,-5.195417178470444,-3.226945399016036,-5.158623313433913,-2.3254957056210266,-2.840609816132461,True,True,True,True,True,True,True,True,True,True,True,True,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7
124,8.2,6.296906426339428,6.38844216068706,5.5024367319293,6.161230118724632,5.972518800258114,5.412905722826509,6.19385801539646,6.092589111293637,5.964311022002073,5.484359106676415,4.280483618854541,4.805306735182624,1.1744653047856781,1.2593034021317275,0.7636780307658944,1.0671234905961724,0.9452798781811718,0.6961768123897234,1.091439022962929,1.019675864224325,0.9405848039394773,0.7216022008263265,0.9914029813181691,1.1453672771644121,0.06750640434354989,0.07245728433622518,0.043679309858601315,0.061257634549987554,0.05418433171317425,0.039786669268021414,0.0626721478249159,0.05850096618094134,0.05391217052186696,0.04125227538765859,0.056859597601434046,0.06581142403493122,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,25.967453896911408,26.616668910616777,21.816938274750036,25.039503331070833,23.811174744327555,20.533016569067605,25.25922640864622,24.584726579752907,23.759290185049725,20.924508601779294,28.30311262078131,28.584548067916597,13.92428018383506,13.923667569422713,13.927246471532985,13.925055297191879,13.92593512777923,13.927733896646489,13.924879715159303,13.925397915669382,13.925969030827948,13.927550300362707,13.925602073660764,13.924490300181953,-5.8976686037879205,-2.08031962074103,-12.71976257844103,-10.099935590046186,-5.292940052018117,-4.026789646750089,-5.557508793417407,-5.274042284775311,-3.138594586338188,-5.33073558650373,-2.1181151552266426,-2.7228437069964473,True,True,True,True,True,True,True,True,True,True,True,True,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4
124,8.83333333333333,6.536114381490376,6.631860215305941,5.769982640611445,6.093334062452379,5.862740551561661,4.7089398111126135,6.142516059371349,6.037321294836895,5.891956693742532,5.471264334449459,4.701737234241836,4.987737824755664,1.6203657151590551,1.7482373221478276,1.0542302564557184,1.2034226843482405,1.0558939259731641,0.6158170050103283,1.2398339928753546,1.1645906636439018,1.0726442352100984,0.8651665711587879,1.258647040798897,1.3559090250668049,0.07991221443804417,0.08633394383261297,0.05168839334758659,0.05909430636307544,0.05177131734869734,0.030057568777706156,0.06090558981284448,0.05716489077309977,0.052601685731658035,0.04233652244975368,0.061841783907143094,0.06668764630868089,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,26.109384705070795,26.741304741196313,22.322312416084948,23.400843493251443,22.111188878410605,16.6038299470661,23.686023612251173,23.080667821868065,22.270492875324237,20.081202095461908,26.886320674388653,27.035953388320365,14.957032436679576,14.95605112769802,14.961377058785187,14.96023213011088,14.961364291495574,14.964741518428795,14.959952703388018,14.96053013380057,14.961235746705333,14.96282796643261,14.95980832878186,14.959061923375893,-7.1712925918575765,-1.801166283414306,-12.71976257844103,-10.690558942802278,-5.189696168077772,-3.1684678158223716,-5.5661994885959345,-5.2689600250289645,-2.831596423779805,-5.5661994885959345,-1.7615343549387101,-2.4154611747860457,True,True,True,True,True,True,True,True,True,True,True,True,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
124,9.03333333333333,6.099584630523784,6.195674611422142,5.278388492945953,5.948633261652657,5.897553039667273,5.017918964543662,5.9797905440605295,5.84011856342554,5.794412255396169,5.46232435833822,3.9383959477974,4.409815036983471,1.1628421036991812,1.236012325214977,0.7883969930724058,1.0623813707217618,1.0319239695468398,0.6672271733707388,1.082075473945312,0.9992686162944411,0.9745150195682201,0.8210886047901539,1.015647848239945,1.1304050884289436,0.061945494149608246,0.06589789826919291,0.041823109917101184,0.05653036332050482,0.054891340638836605,0.0353477448607614,0.057591369018395934,0.05313488806575241,0.051804306371123356,0.043573565485216535,0.054015727016319875,0.0601961810406961,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,23.486393237316648,24.051150106621872,19.96809495424128,22.627514191860087,22.3443548489872,17.968186305545842,22.802170045505868,22.030168040961776,21.783307025238695,20.068746053298074,26.789743986257697,26.73847140360135,14.910882963654918,14.910323028152108,14.913748406822235,14.91165173993941,14.911884815361185,14.914675659501187,14.911501030711497,14.912134710622727,14.91232413765113,14.913498234092597,14.912009368464606,14.91113118808391,-6.170454601938515,-2.3622895706575577,-12.71976257844103,-10.394609565409462,-5.98648527675586,-4.220379755002373,-5.839309816609736,-5.508165031280957,-3.5028993867900184,-6.225645399493311,-2.4358773007306196,-3.00618220879685,True,True,True,True,True,True,True,True,True,True,True,True,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7
124,9.81666666666667,6.652967091824,6.794135495073633,5.81010106181885,6.2046637334079655,6.265517445470492,4.796036127596315,6.275792437311264,6.130832615094717,6.10575567012442,5.883215495338887,4.420012457965528,4.762158868921109,1.4381051025030072,1.5639246317145312,0.995404942138774,1.1356849648957128,1.1703946951359792,0.6265414895432562,1.1762575132997368,1.096190667775032,1.0832558284709397,0.9781022570027477,1.2000393619153362,1.2760817034845129,0.06693971771606977,0.07288778532955506,0.04613130780423935,0.052705434113595954,0.05433526006496497,0.02893177490475166,0.05461059878080322,0.05085312691009028,0.05024666194634491,0.04532214796204867,0.05572780542567062,0.05930359002476873,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,24.892504108619555,25.675424376476954,21.5293604711707,22.56758387854194,22.870029756186128,16.481875792811685,22.92147178607611,22.205960037994476,22.084369843076715,21.03214738697578,27.494725666241077,27.364180162380595,16.70978725481799,16.708729635717553,16.713508522480492,16.712329350754075,16.712037586241024,16.716609130433497,16.711988304317053,16.712661333581025,16.712770061798295,16.713653966120308,16.71178839785184,16.711149197932805,-7.012636871113498,-2.2503995259262877,-12.71976257844103,-10.846609866093091,-6.27562394864405,-3.762220905350799,-5.8976686037879205,-5.576406560660212,-3.4031633277374773,-6.842556965928241,-2.2692972931690942,-2.8740258449388985,True,True,True,True,True,True,True,True,True,True,True,True,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4
124,10.6333333333333,7.008779712788302,7.162925105744295,6.1416634645364825,6.00609705240059,6.140859053756577,3.3944321182021904,6.1145874502452235,5.952263950334292,6.012806146140591,5.977001255322527,4.833467793231038,4.90494994316243,2.066938979381419,2.2597453836030157,1.4302138180555926,1.282918735890518,1.358476128263325,0.4686729325184155,1.3433238987406777,1.2547603921483066,1.2866422288372343,1.2677346999598629,1.5869143278328062,1.5616643789309594,0.07639414843222776,0.08364959372763131,0.05259460195158863,0.047123309809101566,0.04992880054101607,0.01710506915859596,0.04936598950957236,0.04607910118194196,0.04726181304725895,0.046560333681385124,0.058430225956380685,0.057489026573421885,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,25.351007362471076,26.1263052280456,22.18334813379801,20.826228018556886,21.388976472379543,11.851353547386926,21.278288126937195,20.60493421996272,20.853982882699263,20.706398487018653,26.545313245757924,26.217743998908514,18.563160960921135,18.561399530022015,18.568977922125992,18.570323573013788,18.569633299648025,18.577762318232477,18.569771726612522,18.570580820572218,18.57028955611712,18.57046229055364,18.567546345613046,18.567777022806453,-9.747367942771323,-2.078589782743479,-12.71976257844103,-11.5791141194985,-6.517365772010241,-2.6136208171640263,-5.982334737589694,-5.625647381309329,-3.227915708535766,-8.122458875271883,-1.9993259257922866,-2.653252745639622,True,True,True,True,True,True,True,True,True,True,True,True,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
124,10.816666666666698,6.382068651569206,6.520770102762493,5.521134128880306,5.798026593102987,6.121266411279108,3.9069216432408016,5.853935958774452,5.6791242084320555,5.911887907625893,5.956101981977607,4.040298360984767,4.258748526752496,1.4693590704937762,1.5705806878218362,1.0680568350593445,1.1362811746011034,1.304899646514752,0.5463330841366645,1.1633052765450922,1.082075473945312,1.1919897499768517,1.2147103289923742,1.2693754357662175,1.3051409391307576,0.05885181296055082,0.06296157815743401,0.04263119373270558,0.04538103787751676,0.052191373443620355,0.02170972017204619,0.04647149290599322,0.04319639192693255,0.04762911345705497,0.04854645402404359,0.05075501977851471,0.05220113265175083,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,22.42796930122102,23.045869872546216,19.764761815388198,19.980932931886855,21.30589241061438,13.375660243564495,20.205221183668762,19.51053566642117,20.439790386859617,20.62022826536762,26.15239129167761,25.893510496185826,18.569771813862218,18.56884707858104,18.573438010326143,18.572814729889863,18.5712742738672,18.57820434752012,18.572567844479714,18.57330993956108,18.572305790332543,18.572098220827343,18.57159881413718,18.571272069478447,-7.513430675771897,-2.5462588958402126,-12.71976257844103,-11.260682103290998,-7.255873620516179,-3.7604564420457356,-6.170454601938515,-5.839309816609736,-3.9076319021918593,-9.003582209751402,-2.619846625913275,-3.2085484664977706,True,True,True,True,True,True,True,True,True,True,True,True,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7
124,11.516666666666698,6.790402380117067,7.018364102674334,5.840772940965362,5.68733467669999,6.225128264107579,2.0711629330185497,5.8122545536981445,5.626972638871592,5.923091934484102,6.182036881950946,4.368442941570443,4.427818722626561,1.861828362088847,2.0613943759146616,1.346374161901463,1.2070287086489497,1.4777031507268186,0.2812180962947462,1.2639121734954322,1.1809223200400356,1.3169970237738309,1.4532293370555396,1.5389619501426417,1.504638457061616,0.05982170941076905,0.06632725722656418,0.04310430578402668,0.0386057918332122,0.047352722950680576,0.008936934536697168,0.040441474266634476,0.0377641970876402,0.04215563211682801,0.046560509406342064,0.0493368479899755,0.048224927581063136,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,23.61547757487754,24.589551442180728,20.83974091256249,19.34061486741646,21.341805035418528,8.69808726827311,19.79272120779165,19.124768065898156,20.20012537110175,21.176000881212275,26.845465278755913,26.429606608432483,20.36345276160101,20.36149894918613,20.368499216136634,20.369863450814186,20.36721346510177,20.378927420342702,20.369306544266383,20.370119040356684,20.368786827318957,20.367453071235467,20.366613722688093,20.366949760200786,-9.299266707493071,-2.5149682673255773,-12.71976257844103,-11.779747974740834,-7.768547560825754,-2.458274965597158,-6.256726181401243,-5.9165663710307275,-3.8378119743220247,-12.492989371527353,-2.5149682673255773,-3.138594586338188,True,True,True,True,True,True,True,True,True,True,True,True,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4
