doy,hod,A(std),A(tuz),A(sox1),A(sox2),A(wue),A(cmax),A(pmax),A(cgn),A(pmax2),A(lcst),A(cap),A(mes),E(std),E(tuz),E(sox1),E(sox2),E(wue),E(cmax),E(pmax),E(cgn),E(pmax2),E(lcst),E(cap),E(mes),gs(std),gs(tuz),gs(sox1),gs(sox2),gs(wue),gs(cmax),gs(pmax),gs(cgn),gs(pmax2),gs(lcst),gs(cap),gs(mes),gb(std),gb(tuz),gb(sox1),gb(sox2),gb(wue),gb(cmax),gb(pmax),gb(cgn),gb(pmax2),gb(lcst),gb(cap),gb(mes),Ci(std),Ci(tuz),Ci(sox1),Ci(sox2),Ci(wue),Ci(cmax),Ci(pmax),Ci(cgn),Ci(pmax2),Ci(lcst),Ci(cap),Ci(mes),Tleaf(std),Tleaf(tuz),Tleaf(sox1),Tleaf(sox2),Tleaf(wue),Tleaf(cmax),Tleaf(pmax),Tleaf(cgn),Tleaf(pmax2),Tleaf(lcst),Tleaf(cap),Tleaf(mes),Pleaf(std),Pleaf(tuz),Pleaf(sox1),Pleaf(sox2),Pleaf(wue),Pleaf(cmax),Pleaf(pmax),Pleaf(cgn),Pleaf(pmax2),Pleaf(lcst),Pleaf(cap),Pleaf(mes),Rublim(std),Rublim(tuz),Rublim(sox1),Rublim(sox2),Rublim(wue),Rublim(cmax),Rublim(pmax),Rublim(cgn),Rublim(pmax2),Rublim(lcst),Rublim(cap),Rublim(mes),Ps(std),Ps(tuz),Ps(sox1),Ps(sox2),Ps(wue),Ps(cmax),Ps(pmax),Ps(cgn),Ps(pmax2),Ps(lcst),Ps(cap),Ps(mes)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa]
124,7.866666667,3.248847312,3.141358578,2.76378741,3.081720654,2.875367201,2.860837618,3.126464725,3.088508054,2.974618646,2.79239296,2.112147544,2.437110673,0.740582116,0.615749267,0.395382155,0.562534173,0.43022495,0.422888122,0.601737958,0.568284273,0.485936976,0.391682049,0.536542872,0.668584015,0.041483081,0.03444054,0.02205792,0.031444522,0.024011614,0.023600114,0.033651341,0.031768077,0.027138626,0.021850649,0.029982565,0.037418829,5,5,5,5,5,5,5,5,5,5,5,5,28.65090684,27.00928457,22.67254854,26.14447453,23.37580352,23.19279481,26.79036176,26.24133531,24.66649665,22.3499916,29.67891465,30.34939913,13.63507825,13.63596342,13.63752601,13.63634076,13.63727894,13.63733097,13.63606277,13.63629999,13.6368839,13.63755224,13.63652506,13.63558878,-3.01697678,-1.260127256,-5.811204118,-2.657240925,-2.121820118,-2.121820118,-2.581947374,-2.556849524,-1.502739809,-2.715802576,-1.117906104,-1.352152707,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8
124,8.05,3.047177416,2.971548475,2.572454021,2.972970278,2.802874601,2.778175176,3.020108925,2.981528219,2.891338473,2.723073541,1.844310591,2.185652586,0.576713631,0.514619172,0.332627524,0.515670948,0.412427867,0.400423488,0.553084512,0.522179066,0.461062978,0.375711512,0.469234411,0.576977135,0.035676266,0.031809628,0.020512057,0.031874944,0.025459375,0.024714512,0.034204241,0.032280072,0.028479512,0.023181877,0.028987313,0.035692846,5,5,5,5,5,5,5,5,5,5,5,5,25.52170667,24.50268547,20.43291921,24.52137105,22.37947421,22.08453191,25.15193263,24.63464894,23.46849208,21.44019645,28.32354756,28.62317536,13.72762198,13.72806479,13.72936264,13.72805729,13.72879355,13.72887916,13.72779048,13.72801088,13.72844672,13.72905539,13.72838845,13.7276201,-2.766894974,-1.431532216,-5.811204118,-2.758946386,-2.321774055,-2.305876879,-2.695357683,-2.67151192,-1.717681379,-2.902020967,-1.328200574,-1.526915271,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05
124,8.383333333,3.069543711,3.010630407,2.643489158,3.054325456,2.932709486,2.913547061,3.099051284,3.068070956,2.999680542,2.85454284,1.775485695,2.133448643,0.495080934,0.457575559,0.316214532,0.484879605,0.415216952,0.405757049,0.516098384,0.494122306,0.451208392,0.379074768,0.428182703,0.530376643,0.033081307,0.030559282,0.021076604,0.032395063,0.027713904,0.02707891,0.03449603,0.033016973,0.030131361,0.025288773,0.028584501,0.035457489,5,5,5,5,5,5,5,5,5,5,5,5,24.7835347,24.05417346,20.63256466,24.59298654,23.1225803,22.89901565,25.15747525,24.76509634,23.92102553,22.22375921,28.72441791,28.96263475,14.49452511,14.49480525,14.49586109,14.49460131,14.49512163,14.49519229,14.49436813,14.49453227,14.4948528,14.49539158,14.49502479,14.49426149,-2.678048732,-1.538719501,-5.811204118,-2.80891763,-2.48559447,-2.4778963,-2.739634096,-2.739634096,-1.854344491,-3.086051768,-1.454039626,-1.638795717,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2
124,9.416666667,3.445233508,3.33272817,2.967564288,3.126358094,2.978059631,2.863848839,3.19784145,3.155204113,3.072349884,2.95799094,2.183668522,2.442974048,0.90038204,0.771505258,0.53784247,0.605903638,0.520944942,0.46765078,0.655733,0.625249341,0.572474893,0.510920705,0.64944864,0.749516422,0.040790728,0.03490923,0.024281994,0.027372568,0.02351545,0.021099019,0.029637912,0.028251877,0.025854228,0.023060749,0.029352108,0.033907141,5,5,5,5,5,5,5,5,5,5,5,5,27.77535376,26.37609918,22.97912986,23.99367059,22.4117547,21.25918799,24.79372665,24.31349028,23.40584367,22.20525315,29.08448305,29.3799809,15.86823582,15.86927427,15.87115706,15.87060865,15.87129322,15.87172265,15.87020713,15.87045276,15.87087801,15.87137399,15.87025777,15.86945145,-3.577495437,-1.377250558,-5.811204118,-2.807828027,-2.406262422,-2.26404127,-2.749266376,-2.740900426,-1.628229061,-3.359980734,-1.184833705,-1.419080308,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8
124,9.566666667,3.17561857,3.120326435,2.708523342,2.946612946,2.879910533,2.686861728,3.02749265,2.967510307,2.933121027,2.87392584,1.88620879,2.151712475,0.720221505,0.673618809,0.460279487,0.556077359,0.519723295,0.432645082,0.606236043,0.568406249,0.548458131,0.516641608,0.576394955,0.672926906,0.033506235,0.03132397,0.021358567,0.025828278,0.024131153,0.020070885,0.028171936,0.026404161,0.02547252,0.023987342,0.026777361,0.031291583,5,5,5,5,5,5,5,5,5,5,5,5,24.54256347,23.92764755,20.47396994,22.08901828,21.41807154,19.57503565,22.92808405,22.30309392,21.95182213,21.35876592,27.67071221,27.87781985,15.86996889,15.87034441,15.87206344,15.87129153,15.87158446,15.87228611,15.87088736,15.87119218,15.87135292,15.87160929,15.87112781,15.87034998,-3.235861657,-1.550761034,-5.811204118,-2.902020967,-2.663563332,-2.409208521,-2.862278028,-2.822535089,-1.844858784,-3.712776927,-1.391789277,-1.606401149,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05
124,9.966666667,3.243016851,3.200205348,2.850153366,3.109014016,3.086038937,2.925547832,3.177638203,3.135311457,3.093751879,3.091343933,1.860262398,2.133878149,0.600364227,0.573414133,0.428377444,0.522236885,0.510579154,0.438921382,0.560050532,0.536202919,0.514510676,0.513274309,0.518903666,0.595335861,0.032078879,0.030629664,0.022844468,0.027879674,0.027253751,0.023409706,0.029911278,0.028629847,0.027464837,0.027398454,0.027700722,0.031808582,5,5,5,5,5,5,5,5,5,5,5,5,24.14188361,23.71163276,21.13697962,22.81790445,22.59748709,21.1078,23.48760991,23.07252671,22.67127965,22.64821948,28.49442777,28.49627646,17.21168848,17.21192036,17.21316828,17.2123607,17.21246101,17.21307756,17.21203535,17.21224054,17.21242718,17.21243782,17.21238938,17.21173175,-3.009070063,-1.631097547,-5.811204118,-2.939786528,-2.793521289,-2.585670686,-2.878201165,-2.878201165,-1.946722537,-3.902057838,-1.507926819,-1.692682911,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2
124,11.38333333,3.305428771,3.27252081,2.845528957,2.7197282,2.840415821,2.082696235,2.832763837,2.740464851,2.894838103,2.850596213,1.912813759,2.020246787,0.973075469,0.945408436,0.700483797,0.608754596,0.66695153,0.38049336,0.662980848,0.618391128,0.695289989,0.672151612,0.777173968,0.797503156,0.029782207,0.028930237,0.021400287,0.018586597,0.020371422,0.01159971,0.020249607,0.018882088,0.021241,0.020530965,0.023755489,0.024380181,5,5,5,5,5,5,5,5,5,5,5,5,23.30370656,23.0334637,20.51868345,18.82227884,19.6925559,14.61144808,19.63661708,18.97001285,20.09345079,19.76714099,27.20608769,26.90865991,20.3713985,20.37166937,20.37406726,20.37496532,20.37439555,20.37720006,20.37443442,20.37487097,20.37411811,20.37434464,20.37331644,20.37311741,-4.269178076,-1.757424318,-5.811204118,-3.092787075,-3.156375778,-2.242288176,-3.045095548,-2.989455434,-2.059470656,-5.811204118,-1.511018095,-1.709732791,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05
124,11.66666667,3.222565133,3.252750334,2.823582634,2.789028399,2.962520968,2.192311993,2.896352539,2.797439578,2.957418956,2.926032481,1.827917666,1.949068279,0.809099504,0.829570137,0.621206372,0.578241285,0.658796914,0.374702627,0.6265846,0.581949227,0.656247401,0.640817591,0.700183795,0.725069487,0.026852679,0.027536301,0.020588731,0.019158816,0.021840683,0.012396759,0.02076792,0.019282261,0.021755759,0.021241858,0.023219721,0.024049327,5,5,5,5,5,5,5,5,5,5,5,5,22.56341119,22.802299,20.39348077,19.32185127,20.57845409,15.35752968,20.09311532,19.38159931,20.54075788,20.30986856,27.84201777,27.54753784,20.83723758,20.83703389,20.83910718,20.8395347,20.83873314,20.84155998,20.83905367,20.83949781,20.83875851,20.83891205,20.83832133,20.83807371,-3.748094429,-1.823551809,-5.811204118,-3.147637131,-3.301600541,-2.377820083,-3.093749938,-3.032164574,-2.15457314,-5.788109606,-1.615701206,-1.800457297,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2
124,12.76666667,3.266145107,3.254926095,2.806088878,2.517856937,2.690046124,1.192478815,2.641083965,2.497981018,2.768241039,2.605503332,1.873401934,1.914741646,1.093633525,1.083984678,0.812743229,0.631746231,0.713790181,0.219162662,0.689471021,0.623081776,0.754797534,0.672151612,0.870788831,0.854926978,0.026829787,0.026591795,0.01990845,0.015459759,0.017475294,0.005351308,0.016877683,0.015247053,0.018483353,0.016452176,0.021337119,0.020946654,5,5,5,5,5,5,5,5,5,5,5,5,22.86861566,22.78421227,20.43843269,17.6611441,18.78918224,10.08443337,18.46448497,17.53336787,19.31442784,18.23051195,27.21259348,26.74903731,22.20605839,22.20615878,22.20898093,22.21086413,22.2100105,22.21515689,22.21026353,22.21095428,22.20958383,22.21044373,22.20837699,22.20854203,-5.366083198,-1.86075596,-5.811204118,-3.180221542,-3.323296123,-1.733578554,-3.132530015,-3.005352609,-2.146905122,-5.811204118,-1.56665821,-1.757424318,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05
