doy,hod,A(std2),A(tuz),A(sox1),A(sox2),A(wue),A(cgn),A(pmax),A(cmax),A(lcst),A(cap),A(mes),E(std2),E(tuz),E(sox1),E(sox2),E(wue),E(cgn),E(pmax),E(cmax),E(lcst),E(cap),E(mes),gs(std2),gs(tuz),gs(sox1),gs(sox2),gs(wue),gs(cgn),gs(pmax),gs(cmax),gs(lcst),gs(cap),gs(mes),gb(std2),gb(tuz),gb(sox1),gb(sox2),gb(wue),gb(cgn),gb(pmax),gb(cmax),gb(lcst),gb(cap),gb(mes),Ci(std2),Ci(tuz),Ci(sox1),Ci(sox2),Ci(wue),Ci(cgn),Ci(pmax),Ci(cmax),Ci(lcst),Ci(cap),Ci(mes),Tleaf(std2),Tleaf(tuz),Tleaf(sox1),Tleaf(sox2),Tleaf(wue),Tleaf(cgn),Tleaf(pmax),Tleaf(cmax),Tleaf(lcst),Tleaf(cap),Tleaf(mes),Pleaf(std2),Pleaf(tuz),Pleaf(sox1),Pleaf(sox2),Pleaf(wue),Pleaf(cgn),Pleaf(pmax),Pleaf(cmax),Pleaf(lcst),Pleaf(cap),Pleaf(mes),Rublim(std2),Rublim(tuz),Rublim(sox1),Rublim(sox2),Rublim(wue),Rublim(cgn),Rublim(pmax),Rublim(cmax),Rublim(lcst),Rublim(cap),Rublim(mes),Ps(std2),Ps(tuz),Ps(sox1),Ps(sox2),Ps(wue),Ps(cgn),Ps(pmax),Ps(cmax),Ps(lcst),Ps(cap),Ps(mes)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa]
117,6.8,12.79448951869547,11.44926853798555,11.666786997377578,12.010723245451848,13.452327693987616,12.771800983416027,12.771803034741223,13.138770491318748,11.947300028161848,0.06338745259159151,2.0253856065210507,4.357923144559702,3.7108144536050345,3.902230357786878,3.85075797541143,1.7369215119409511,1.5475169578828931,1.5461962350916487,1.6510919836379387,1.3475443769364588,0.004273890169087217,0.18386524901713314,0.10594067329115879,0.08479376790372754,0.0913955651414166,0.08981959639479425,0.11576701134183486,0.10274130022946198,0.10265082749138038,0.10985176584229721,0.08909838109790628,0.0002750091030294933,0.011873649969667532,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,20.281243762045953,17.87506682071889,19.81872405290458,18.840374473173995,21.554453277268596,20.217727097004584,20.217721981064287,20.925406535224173,18.723898340870118,4.1130008415606545,5.980458271729989,19.873412326872305,19.924563245740504,19.90658813819337,19.91033306494716,20.05429784578102,20.068380648015776,20.068478847755316,20.060679531158147,20.08324921505656,20.183125444046972,20.169772282596835,-6.555339570150544,-6.555339570150544,-60.69767847142879,-5.844972570061369,-3.694472239826663,-3.0686575113183143,-3.0686575113183143,-3.515668031681421,-3.7242729411842035,-0.7144021040726213,-4.469290475122714,True,True,True,True,True,True,True,True,True,True,True,-0.625,-0.625,-0.625,-0.625,-0.625,-0.625,-0.625,-0.625,-0.625,-0.625,-0.625
117,8.33333333333333,12.534825097663065,11.248177380936749,11.743468992869696,12.765931705197094,12.949498025912318,12.58580838804276,12.446430326418286,12.81440777357253,12.352596318560606,1.8213674295632796,1.7486256503840714,4.651890697873342,3.9680247068085794,4.36090237144401,4.688182543582828,1.6713236556678674,1.574251630477495,1.5385493838064874,1.6279015934064993,1.5139324122008608,0.16776895192366326,0.16784200609914565,0.10421139875065552,0.08391588047501493,0.09527824756159771,0.10535939943850305,0.10931820148616082,0.10275857295985721,0.10035272677215334,0.10638064921611759,0.0986959782684524,0.010635923806251254,0.010640571087446229,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,19.918290235823925,17.866800283313303,20.051105089767614,20.311484858636987,20.66768361053427,20.04640349686928,19.813432151997244,20.434673603387033,19.658116690522686,12.889180368095559,6.409349594742772,22.47393998944038,22.522269077986287,22.494542558093652,22.471364116094783,22.676195351665477,22.683182950214707,22.68575292819295,22.679321030136357,22.68752494762636,22.784426705095754,22.784421446389658,-6.555339570150544,-6.555339570150544,-67.78490504360649,-5.726745462224633,-3.5878322484668534,-3.1427061502142997,-3.083356003780626,-3.4988070288163424,-4.270358932454102,-4.507759518188798,-4.507759518188798,True,True,True,True,True,True,True,True,True,True,True,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65
117,8.35,12.504702182501958,11.23354469385882,11.726064772403666,12.80292898954114,12.848401907737335,12.48050134308911,12.480485405921877,12.757472192813562,12.339581203176298,1.7660605155691589,1.7313586037020532,4.656631498782875,3.98072837892041,4.3721384926382045,4.730412049025892,1.6569566860821348,1.5570984057131931,1.555769505669701,1.6279015934064993,1.5225087142516092,0.1535731175301225,0.1730063755175809,0.10377309319984043,0.08380148955631715,0.09507862049673639,0.1061231455398232,0.10759757231385143,0.10090187117054686,0.10081295411641526,0.10564648263826441,0.09858907329882677,0.00966757411312835,0.010895227914345006,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,19.886906591018615,17.86838586795114,20.04192094037556,20.393126536499395,20.513053297413787,19.891750252041845,19.891745283530305,20.357709605380265,19.658778363949825,10.997232042832138,6.421254097516636,22.572586086235592,22.620286019716623,22.592699957470366,22.567296341391405,22.77592868291812,22.783105275972794,22.78320078107049,22.77801680796422,22.785591160354034,22.883973524434705,22.882576899299693,-6.555339570150544,-6.555339570150544,-67.95788207110662,-5.756177071533201,-3.5581571752500163,-3.113031076997463,-3.113031076997463,-3.4988070288163424,-4.300034005670939,-4.181333712803592,-4.6264598110561455,True,True,True,True,True,True,True,True,True,True,True,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65
117,9.6,11.46324023666337,10.584008418561423,11.346787167610206,11.417756307869535,9.095098252901433,11.037965785303973,11.30014419653297,11.037830363928428,11.963273528767642,0.05976531687179443,1.9415843057894557,4.7759690404818,4.28926948500391,4.833660949305176,4.655669279226046,1.1738093340458153,1.6056521039710683,1.6737921850460948,1.600762522407516,1.8638872269990308,0.005891229443744262,0.24759288907874566,0.09097814561521254,0.07845846036802655,0.09254727272297389,0.0877910549390397,0.06037151730531821,0.08320037115385201,0.08683373909788346,0.08293997828955255,0.09701550202904106,0.00029702246370778905,0.012534267941348858,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,19.279458793691674,17.99361896402525,20.396145940562974,19.21540661914788,16.021395777912417,18.754139085464555,19.14457615485912,18.75412622388422,20.15978558775291,5.648601316854957,7.569145411066248,25.368632084318374,25.401321460303663,25.364711802787568,25.37670401826775,25.602882508473602,25.573524959022205,25.56889265777949,25.573857362717593,25.555969610357476,25.68227995564395,25.665848585433796,-6.555339570150544,-6.555339570150544,-74.95843721287716,-6.001067126006925,-2.5417206614569645,-3.084917205490682,-3.205627548609286,-3.3263378917278894,-6.253563712354034,-0.640532757338953,-4.352375808236023,True,True,True,True,True,True,True,True,True,True,True,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55
117,11.1,11.038280905990636,10.150780355387674,11.44527026968453,10.709416775910084,6.578051769847731,10.589092572537844,10.642444337273595,10.320413582887769,11.423933486439276,3.23856042458413,3.163775047899766,4.8810493377098485,4.3735558441723565,5.236042731378641,4.598756578127228,0.8455633813408204,1.706531507106747,1.723000659480485,1.6323731513711186,1.9420180519740262,0.4639763718809759,0.49936684353776634,0.0874002295656675,0.07508326962657362,0.09671054936222515,0.08040073274737823,0.03888863760679504,0.07955301166669876,0.0803416356643317,0.07600701317183126,0.09086834159425636,0.021212682539190005,0.022843247011305606,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,19.32035278133657,18.036795585476053,21.137730849408435,18.840966356805147,13.393386730097015,18.79082755230349,18.86906848710251,18.399645367875223,20.042654196795702,16.038573936272932,9.353677408111693,26.473062882336425,26.506339948264635,26.449673014089907,26.491636631093083,26.730043516241768,26.673073873852232,26.671984121870583,26.67798087897823,26.65749189834448,26.755292854537633,26.752951092451504,-6.555339570150544,-6.555339570150544,-80.9992713621755,-6.112237148411667,-1.8228423126981155,-3.0910278522768704,-3.1219592069007427,-3.2147532707723587,-6.555339570150544,-3.709654944754312,-3.957105781745289,True,True,True,True,True,True,True,True,True,True,True,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
117,12.1,11.4024683937374,10.445373605573856,11.697465890398686,10.944950664958775,6.746635290575838,10.788737939003642,10.842257109787168,10.464594978545808,11.574378945400149,4.019315668314689,3.999260783885319,4.944774329880375,4.401516358496273,5.238935212398423,4.58800080312648,0.8710732752077897,1.7407420153810147,1.7573184761152019,1.647937219896238,1.9649457721592116,0.6691107055119464,0.6704077937475362,0.09051694315131094,0.07703462949024098,0.0983829164484009,0.0815176894248073,0.03954919125192431,0.08009942851151658,0.0808829444375925,0.07572025419022553,0.09073095658389944,0.030285950680128456,0.030345261113883,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,19.48508990679058,18.08740642199654,21.185235812126884,18.811393292716527,13.277851535262634,18.692127468606852,18.77061279202201,18.22123698478525,19.86938290560854,19.25975060096186,10.025101922926526,25.881884385503408,25.917995644213875,25.862238586071477,25.905631128537973,26.144768557900893,26.08642277350507,26.085310664308352,26.09264901613991,26.07138101858226,26.158318159034252,26.158231137819115,-6.555339570150544,-6.555339570150544,-80.99330863636524,-6.168641678563147,-1.8155827125481183,-3.094069759664562,-3.125252370569841,-3.1876175923803998,-6.555339570150544,-3.8112698104859817,-3.8112698104859817,True,True,True,True,True,True,True,True,True,True,True,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35
117,13.1166666666667,11.335152172118871,10.260359368582064,11.743521414124226,11.082531081884634,7.611080425200893,10.861103743921346,10.914046530409635,10.754547770290724,11.739409858132376,3.6918791936756343,3.65726468547469,4.957889730996311,4.350089995851781,5.314057781593254,4.712445173309117,0.9769298481432951,1.6964226139210488,1.7130992958810094,1.6563997159059554,1.9534818948054355,0.5187290266916459,0.5501441230036951,0.09067929471933658,0.07560037493744508,0.10032080227907848,0.08440051049471901,0.04672488496266333,0.08209288189787771,0.08292252785938604,0.08010363257312489,0.09493174478910439,0.024627154432130902,0.026131818560185358,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,19.674440791414636,18.10566273114199,21.505855341548827,19.302304681581404,14.62387496312188,19.100484199487408,19.179038131406507,18.94336175145412,20.435880109484653,16.648845817766148,9.84782111313657,26.33177090259779,26.371740201701414,26.308235291998553,26.347922118872628,26.585804652492282,26.538062615327057,26.536956031900797,26.54071833999224,26.521005412912544,26.61620862830326,26.61412407545295,-6.555339570150544,-6.555339570150544,-82.1748949899062,-6.099763015306118,-2.0210200865225065,-3.0459005177535015,-3.076957500518077,-3.232242414340955,-6.555339570150544,-3.5428122419867107,-3.7291541385741644,True,True,True,True,True,True,True,True,True,True,True,-0.375,-0.375,-0.375,-0.375,-0.375,-0.375,-0.375,-0.375,-0.375,-0.375,-0.375
117,14.15,11.922937232164497,10.773087405487415,11.819996998022805,11.843298483037715,10.14784892809329,11.70037748744248,11.700341149457007,11.597713455798162,12.154178588872476,2.6034876310591235,2.5210131111852707,4.890686411088952,4.261210560019573,4.954775321522452,4.7425314357987665,1.306960864057966,1.6769292830810372,1.6754981138055158,1.650614617707527,1.8014318668486795,0.29880701717337393,0.317266041171247,0.09611021264190406,0.07940029071975892,0.09793192330953257,0.09201722463432768,0.07020315613815074,0.09067670581716,0.09059698130043815,0.08921148106570384,0.09762798649878264,0.015765455509163733,0.016744824264560428,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,19.809377334399517,18.095434755488174,20.954271453700436,19.69072588209435,17.294171264595278,19.57209368220768,19.57208953376582,19.414985024807198,20.279116671547648,14.370018480310788,8.054996557074137,25.026391780333494,25.068953025895944,25.022011527913143,25.036404056906594,25.260757126726176,25.235443054340777,25.235540978165552,25.237243563005332,25.226924307183967,25.32973728325695,25.328474275265947,-6.555339570150544,-6.555339570150544,-76.76287587152706,-5.970702102365414,-2.716029088758742,-3.14261914224672,-3.14261914224672,-3.355914168990709,-5.245098691580326,-3.9957992492226757,-4.209094275966665,True,True,True,True,True,True,True,True,True,True,True,-0.4916666670000001,-0.4916666670000001,-0.4916666670000001,-0.4916666670000001,-0.4916666670000001,-0.4916666670000001,-0.4916666670000001,-0.4916666670000001,-0.4916666670000001,-0.4916666670000001,-0.4916666670000001
117,15.166666666666698,11.068157520005395,10.22137937943704,11.512921194882875,10.827153642823426,6.687063947873538,10.553227048753454,10.55317726368906,10.390230903362433,11.449076503414773,3.2626454520162604,3.17484719801962,4.882641696944481,4.400174177311085,5.250396443354104,4.641433069141099,0.8637876197140522,1.6885037584945533,1.687062711024549,1.6323731513711186,1.9420180519740262,0.5116748774014501,0.4819975620234092,0.08599191984864428,0.07445180560043788,0.0954872668933833,0.08010351229679995,0.03907958444479,0.07737268118239084,0.0773049137752295,0.07473529821688685,0.08934200555936346,0.02302449406898773,0.02167921535077639,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,19.54874642807361,18.314643174211152,21.449317031488878,19.19713763383988,13.680927123411728,18.92443447442587,18.924431396425167,18.686032188886184,20.275292289335308,18.46600480921369,9.485519691267406,26.7291099499065,26.76052082547027,26.705056540575573,26.74482472663913,26.98314121029607,26.928987743918018,26.929082367646167,26.932673456859362,26.912341194732505,27.006262045036014,27.00821075129377,-6.555339570150544,-6.555339570150544,-81.22022042350225,-6.140751670237548,-1.8537736673219878,-3.0600964976529985,-3.0600964976529985,-3.2147532707723587,-6.555339570150544,-4.049899845616905,-3.8333803632498005,True,True,True,True,True,True,True,True,True,True,True,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
